bill_length_mm,flipper_length_mm,Adelie,Gentoo,Chinstrap
4.172500000000000142e+01,1.720000000000000000e+02,5.575639027982202955e-02,2.739134748172549760e-01,6.703301349029230360e-01
4.206875000000000142e+01,1.720000000000000000e+02,4.446776917427922027e-02,2.352499648196253734e-01,7.202822660060953508e-01
4.241250000000000142e+01,1.720000000000000000e+02,3.582428145918258033e-02,2.023303020435265887e-01,7.618454164972907616e-01
4.275625000000000142e+01,1.720000000000000000e+02,2.925311137957643803e-02,1.749461567949137097e-01,7.958007318255099216e-01
4.310000000000000142e+01,1.720000000000000000e+02,2.426340280851779427e-02,1.524983306236968872e-01,8.232382665677854261e-01
4.344375000000000142e+01,1.720000000000000000e+02,2.046226668892191236e-02,1.342453207325009501e-01,8.452924125785771237e-01
4.378750000000000142e+01,1.720000000000000000e+02,1.754836033320562177e-02,1.194524500532671563e-01,8.629991896135272844e-01
4.413125000000000142e+01,1.720000000000000000e+02,1.529634539099907278e-02,1.074639762581584002e-01,8.772396783508425999e-01
4.447500000000000142e+01,1.720000000000000000e+02,1.353996534336373604e-02,9.772724854720268861e-02,8.887327861094336257e-01
4.481875000000000142e+01,1.720000000000000000e+02,1.215718719214958429e-02,8.979163356104827298e-02,8.980511792468022225e-01
4.516250000000000142e+01,1.720000000000000000e+02,1.105839430954278294e-02,8.329650475374165974e-02,9.056451009367154636e-01
4.550625000000000142e+01,1.720000000000000000e+02,1.017749178492561961e-02,7.795607444026921018e-02,9.118664337748051407e-01
4.585000000000000142e+01,1.720000000000000000e+02,9.465400215860689248e-03,7.354476254384735567e-02,9.169898372402919273e-01
4.619375000000000142e+01,1.720000000000000000e+02,8.885369485890526331e-03,6.988454320569552347e-02,9.212300873084138253e-01
4.653750000000000142e+01,1.720000000000000000e+02,8.409625964753126778e-03,6.683459399329651218e-02,9.247557800419503593e-01
4.688125000000000142e+01,1.720000000000000000e+02,8.016976239296114484e-03,6.428308479027876332e-02,9.276999389704251309e-01
4.722500000000000142e+01,1.720000000000000000e+02,7.691089909097675523e-03,6.214077438033451667e-02,9.301681357105677783e-01
4.756875000000000142e+01,1.720000000000000000e+02,7.419262681978394149e-03,6.033606095472745373e-02,9.322446763632941114e-01
4.791250000000000142e+01,1.720000000000000000e+02,7.191519395169790503e-03,5.881117045068682408e-02,9.339973101541433342e-01
4.825625000000000142e+01,1.720000000000000000e+02,6.999958451407433703e-03,5.751922181621359903e-02,9.354808197323788432e-01
4.860000000000000142e+01,1.720000000000000000e+02,6.838268629864186626e-03,5.642196271374176619e-02,9.367397686563940784e-01
4.894375000000000142e+01,1.720000000000000000e+02,6.701369792613250630e-03,5.548801607386954354e-02,9.378106141335171841e-01
4.928750000000000142e+01,1.720000000000000000e+02,6.585143305678207472e-03,5.469151580160637460e-02,9.387233408927153633e-01
4.963125000000000142e+01,1.720000000000000000e+02,6.486227941841409342e-03,5.401103948990214343e-02,9.395027325682565600e-01
4.997500000000000142e+01,1.720000000000000000e+02,6.401863973987265664e-03,5.342876858156184183e-02,9.401693674444510096e-01
5.031875000000000142e+01,1.720000000000000000e+02,6.329773033440543213e-03,5.292982348403116322e-02,9.407404034825282979e-01
5.066250000000000142e+01,1.720000000000000000e+02,6.268064737455267266e-03,5.250173395281023531e-02,9.412302013097344489e-01
5.100625000000000142e+01,1.720000000000000000e+02,6.215163522757347070e-03,5.213401465248675842e-02,9.416508218247559014e-01
5.135000000000000142e+01,1.720000000000000000e+02,6.169750859294326553e-03,5.181782298620342397e-02,9.420124261545023137e-01
5.169375000000000142e+01,1.720000000000000000e+02,6.130719267661414486e-03,5.154568166885649394e-02,9.423235990634821757e-01
5.203750000000000142e+01,1.720000000000000000e+02,6.097135468567154749e-03,5.131125256721578987e-02,9.425916119642171465e-01
5.238125000000000142e+01,1.720000000000000000e+02,6.068210652906978579e-03,5.110915138431170596e-02,9.428226379627812070e-01
5.272500000000000142e+01,1.720000000000000000e+02,6.043276346226034157e-03,5.093479507977516363e-02,9.430219285739988022e-01
5.306875000000000142e+01,1.720000000000000000e+02,6.021764700575722197e-03,5.078427568007327919e-02,9.431939596193510411e-01
5.341250000000000142e+01,1.720000000000000000e+02,6.003192314664598274e-03,5.065425548150059160e-02,9.433425522038347832e-01
5.375625000000000142e+01,1.720000000000000000e+02,5.987146884451195923e-03,5.054187968705282918e-02,9.434709734284959515e-01
5.410000000000000142e+01,1.720000000000000000e+02,5.973276138601320978e-03,5.044470332206904550e-02,9.435820205393297133e-01
5.444375000000000142e+01,1.720000000000000000e+02,5.961278629281248180e-03,5.036062989941875179e-02,9.436780914712998847e-01
5.478750000000000142e+01,1.720000000000000000e+02,5.950896037827752005e-03,5.028785979529807465e-02,9.437612441668741248e-01
5.513125000000000142e+01,1.720000000000000000e+02,5.941906723676676147e-03,5.022484668305404049e-02,9.438332465932691706e-01
5.547500000000000142e+01,1.720000000000000000e+02,5.934120298505109713e-03,5.017026067871153266e-02,9.438956190227832943e-01
5.581875000000000142e+01,1.720000000000000000e+02,5.927373049513099887e-03,5.012295709604323163e-02,9.439496698544437292e-01
5.616250000000000142e+01,1.720000000000000000e+02,5.921524068868426645e-03,5.008194990479300501e-02,9.439965260263386559e-01
5.650625000000000142e+01,1.720000000000000000e+02,5.916451972603215502e-03,5.004638914348014112e-02,9.440371588839165939e-01
5.685000000000000142e+01,1.720000000000000000e+02,5.912052113222625825e-03,5.001554166610506363e-02,9.440724062206723444e-01
5.719375000000000142e+01,1.720000000000000000e+02,5.908234207127376070e-03,4.998877470623051128e-02,9.441029910866420849e-01
5.753750000000000142e+01,1.720000000000000000e+02,5.904920311554599961e-03,4.996554182713940778e-02,9.441295378613059341e-01
5.788125000000000142e+01,1.720000000000000000e+02,5.902043096784388709e-03,4.994537089681185676e-02,9.441525860064037268e-01
5.822500000000000142e+01,1.720000000000000000e+02,5.899544368371338263e-03,4.992785378427345294e-02,9.441726018473551862e-01
5.856875000000000142e+01,1.720000000000000000e+02,5.897373801548029364e-03,4.991263752175521817e-02,9.441899886766966787e-01
5.891250000000000142e+01,1.720000000000000000e+02,5.895487856031608916e-03,4.989941671692865038e-02,9.442050954270397867e-01
5.925625000000000142e+01,1.720000000000000000e+02,5.893848844494873479e-03,4.988792703269336049e-02,9.442182241228117556e-01
3.210000000000000142e+01,1.727375000000000114e+02,8.257333141156867340e-01,1.689449054742070966e-01,5.321780410106325548e-03
3.244375000000000142e+01,1.727375000000000114e+02,8.166722513608145606e-01,1.775713016918269715e-01,5.756446947358418408e-03
3.278750000000000142e+01,1.727375000000000114e+02,8.062150222822256351e-01,1.875046351996449145e-01,6.280342518129415630e-03
3.313125000000000142e+01,1.727375000000000114e+02,7.941767857962892529e-01,1.989089705364985305e-01,6.914243667212212167e-03
3.347500000000000142e+01,1.727375000000000114e+02,7.803645132333700829e-01,2.119511801928630756e-01,7.684306573766902168e-03
3.381875000000000142e+01,1.727375000000000114e+02,7.645844651074176213e-01,2.267919686818432867e-01,8.623566210739260288e-03
3.416250000000000142e+01,1.727375000000000114e+02,7.466528965190049050e-01,2.435732125058575892e-01,9.773890975137611639e-03
3.450625000000000142e+01,1.727375000000000114e+02,7.264100368650058259e-01,2.624014015018829582e-01,1.118856163311099730e-02
3.485000000000000142e+01,1.727375000000000114e+02,7.037367085584418369e-01,2.833275661321247307e-01,1.293572530943349480e-02
3.519375000000000142e+01,1.727375000000000114e+02,6.785720051415037313e-01,3.063248967925669142e-01,1.510309806592932159e-02
3.553750000000000142e+01,1.727375000000000114e+02,6.509294124000907233e-01,3.312661228680723879e-01,1.780446473183691300e-02
3.588125000000000142e+01,1.727375000000000114e+02,6.209079741640581851e-01,3.579032697468433888e-01,2.118875608909848163e-02
3.622500000000000142e+01,1.727375000000000114e+02,5.886950427696528987e-01,3.858522024215361723e-01,2.545275480881099492e-02
3.656875000000000142e+01,1.727375000000000114e+02,5.545582128345767359e-01,4.145830561781286283e-01,3.085873098729471561e-02
3.691250000000000142e+01,1.727375000000000114e+02,5.188262905683628246e-01,4.434153276834050250e-01,3.775838174823220594e-02
3.725625000000000142e+01,1.727375000000000114e+02,4.818621650461324402e-01,4.715138221669807894e-01,4.662401278688682593e-02
3.760000000000000142e+01,1.727375000000000114e+02,4.440333552096366598e-01,4.978803541499149943e-01,5.808629064044838058e-02
3.794375000000000142e+01,1.727375000000000114e+02,4.056878764478799027e-01,5.213381819766842451e-01,7.297394157543590776e-02
3.828750000000000142e+01,1.727375000000000114e+02,3.671433420152856453e-01,5.405138789832767410e-01,9.234277900143764151e-02
3.863125000000000142e+01,1.727375000000000114e+02,3.286957700881100730e-01,5.538362799685184745e-01,1.174679499433714802e-01
3.897500000000000142e+01,1.727375000000000114e+02,2.906511685511923848e-01,5.595929433390727237e-01,1.497558881097349470e-01
3.931875000000000142e+01,1.727375000000000114e+02,2.533763831341067641e-01,5.561019134870864855e-01,1.905217033788067227e-01
3.966250000000000142e+01,1.727375000000000114e+02,2.173540097696552986e-01,5.420468359534097447e-01,2.405991542769349845e-01
4.000625000000000142e+01,1.727375000000000114e+02,1.832106931218380197e-01,5.169532655140438582e-01,2.998360413641181776e-01
4.035000000000000142e+01,1.727375000000000114e+02,1.516801857252673136e-01,4.816475719584087378e-01,3.666722423163238931e-01
4.069375000000000142e+01,1.727375000000000114e+02,1.234822852131634841e-01,4.384211553673214024e-01,4.380965594195151414e-01
4.103750000000000142e+01,1.727375000000000114e+02,9.915153031070057799e-02,3.906821775501570504e-01,5.101662921391424410e-01
4.138125000000000142e+01,1.727375000000000114e+02,7.889832002378016629e-02,3.421671404510981951e-01,5.789345395251216386e-01
4.172500000000000142e+01,1.727375000000000114e+02,6.257583168831053200e-02,2.960853202637761528e-01,6.413388480479133014e-01
4.206875000000000142e+01,1.727375000000000114e+02,4.975866163834320038e-02,2.545869355873008888e-01,6.956544027743558622e-01
4.241250000000000142e+01,1.727375000000000114e+02,3.987672674926632382e-02,2.186851433485777763e-01,7.414381299021559624e-01
4.275625000000000142e+01,1.727375000000000114e+02,3.233899028026235994e-02,1.884965973533446193e-01,7.791644123663929999e-01
4.310000000000000142e+01,1.727375000000000114e+02,2.661283229629629599e-02,1.635845989543687207e-01,8.098025687493348723e-01
4.344375000000000142e+01,1.727375000000000114e+02,2.225805360369847649e-02,1.432559959318599752e-01,8.344859504644416281e-01
4.378750000000000142e+01,1.727375000000000114e+02,1.893016685939104618e-02,1.267595247507464495e-01,8.543103083898625494e-01
4.413125000000000142e+01,1.727375000000000114e+02,1.636847489740542519e-02,1.133935617253439970e-01,8.702379633772505674e-01
4.447500000000000142e+01,1.727375000000000114e+02,1.437942074056169917e-02,1.025514751102418881e-01,8.830691041491964821e-01
4.481875000000000142e+01,1.727375000000000114e+02,1.282059740850726749e-02,9.373122029902337948e-02,8.934481822924692507e-01
4.516250000000000142e+01,1.727375000000000114e+02,1.158746166685023678e-02,8.652764740821317080e-02,9.018848909249365109e-01
4.550625000000000142e+01,1.727375000000000114e+02,1.060307580023746830e-02,8.061831057149351776e-02,9.087786136282690608e-01
4.585000000000000142e+01,1.727375000000000114e+02,9.810499846333062962e-03,7.574828966512921202e-02,9.144412104885376591e-01
4.619375000000000142e+01,1.727375000000000114e+02,9.167271815562637663e-03,7.171643990689696713e-02,9.191162882775403276e-01
4.653750000000000142e+01,1.727375000000000114e+02,8.641445900564996910e-03,6.836386360235517656e-02,9.229946904970798283e-01
4.688125000000000142e+01,1.727375000000000114e+02,8.208759536175207899e-03,6.556463790059467722e-02,9.262266025632301947e-01
4.722500000000000142e+01,1.727375000000000114e+02,7.850605874256772962e-03,6.321852803887513528e-02,9.289308660868680345e-01
4.756875000000000142e+01,1.727375000000000114e+02,7.552576966314146836e-03,6.124533284905874647e-02,9.312020901846269627e-01
4.791250000000000142e+01,1.727375000000000114e+02,7.303410755161596213e-03,5.958052356237112518e-02,9.331160656824674104e-01
4.825625000000000142e+01,1.727375000000000114e+02,7.094224383408997796e-03,5.817188630888471546e-02,9.347338893077061783e-01
4.860000000000000142e+01,1.727375000000000114e+02,6.917951415108410627e-03,5.697693474164636923e-02,9.361051138432452401e-01
4.894375000000000142e+01,1.727375000000000114e+02,6.768925156254563397e-03,5.596091030131214450e-02,9.372701645424332817e-01
4.928750000000000142e+01,1.727375000000000114e+02,6.642567388746536960e-03,5.509523010634172907e-02,9.382622025049116576e-01
4.963125000000000142e+01,1.727375000000000114e+02,6.535153748685881663e-03,5.435627611153103639e-02,9.391085701397831054e-01
4.997500000000000142e+01,1.727375000000000114e+02,6.443635284078107033e-03,5.372444514278229555e-02,9.398319195731394959e-01
5.031875000000000142e+01,1.727375000000000114e+02,6.365501535615057487e-03,5.318339913752329756e-02,9.404510993268615504e-01
5.066250000000000142e+01,1.727375000000000114e+02,6.298674567803192251e-03,5.271946976949860170e-02,9.409818556626982078e-01
5.100625000000000142e+01,1.727375000000000114e+02,6.241426265630680217e-03,5.232118276911418286e-02,9.414373909652551387e-01
5.135000000000000142e+01,1.727375000000000114e+02,6.192313267632059380e-03,5.197887558483034465e-02,9.418288111475374702e-01
5.169375000000000142e+01,1.727375000000000114e+02,6.150125379527666448e-03,5.168438827458943924e-02,9.421654863458829299e-01
5.203750000000000142e+01,1.727375000000000114e+02,6.113844376059751271e-03,5.143081220331473941e-02,9.424553434206255353e-01
5.238125000000000142e+01,1.727375000000000114e+02,6.082610871794769634e-03,5.121228465230969612e-02,9.427051044758956166e-01
5.272500000000000142e+01,1.727375000000000114e+02,6.055697507858937706e-03,5.102382011524059235e-02,9.429204823769005150e-01
5.306875000000000142e+01,1.727375000000000114e+02,6.032487119254415810e-03,5.086117108255466812e-02,9.431063417981908614e-01
5.341250000000000142e+01,1.727375000000000114e+02,6.012454857780308998e-03,5.072071266373189696e-02,9.432668324784878600e-01
5.375625000000000142e+01,1.727375000000000114e+02,5.995153477907475340e-03,5.059934658455298578e-02,9.434054999375396378e-01
5.410000000000000142e+01,1.727375000000000114e+02,5.980201168121275675e-03,5.049442101338159905e-02,9.435253778184971019e-01
5.444375000000000142e+01,1.727375000000000114e+02,5.967271443267970626e-03,5.040366338224611803e-02,9.436290651744859703e-01
5.478750000000000142e+01,1.727375000000000114e+02,5.956084715179778624e-03,5.032512392439431048e-02,9.437187913604258016e-01
5.513125000000000142e+01,1.727375000000000114e+02,5.946401237215625211e-03,5.025712808672051779e-02,9.437964706760639810e-01
5.547500000000000142e+01,1.727375000000000114e+02,5.938015179130825237e-03,5.019823632060938651e-02,9.438637485002597804e-01
5.581875000000000142e+01,1.727375000000000114e+02,5.930749636145311691e-03,5.014721002910942776e-02,9.439220403347453603e-01
5.616250000000000142e+01,1.727375000000000114e+02,5.924452413382509837e-03,5.010298266770341069e-02,9.439725649189140144e-01
5.650625000000000142e+01,1.727375000000000114e+02,5.918992456361229712e-03,5.006463517229135796e-02,9.440163723713473898e-01
5.685000000000000142e+01,1.727375000000000114e+02,5.914256821713619570e-03,5.003137503053148999e-02,9.440543681477548965e-01
5.719375000000000142e+01,1.727375000000000114e+02,5.910148101113847814e-03,5.000251842847325268e-02,9.440873334704128483e-01
5.753750000000000142e+01,1.727375000000000114e+02,5.906582226553003419e-03,4.997747499893564344e-02,9.441159427745113852e-01
5.788125000000000142e+01,1.727375000000000114e+02,5.903486597364624236e-03,4.995573477559544368e-02,9.441407786270399338e-01
5.822500000000000142e+01,1.727375000000000114e+02,5.900798479392088160e-03,4.993685702058665854e-02,9.441623445000212334e-01
5.856875000000000142e+01,1.727375000000000114e+02,5.898463634857665193e-03,4.992046064619855977e-02,9.441810757189438297e-01
5.891250000000000142e+01,1.727375000000000114e+02,5.896435148205640686e-03,4.990621599507075873e-02,9.441973488567235728e-01
5.925625000000000142e+01,1.727375000000000114e+02,5.894672418730521717e-03,4.989383777977103585e-02,9.442114898014984936e-01
3.210000000000000142e+01,1.734750000000000227e+02,8.291983578064633376e-01,1.656493615856915735e-01,5.152280607845134003e-03
3.244375000000000142e+01,1.734750000000000227e+02,8.206788878072718285e-01,1.737687932776364741e-01,5.552318915091584636e-03
3.278750000000000142e+01,1.734750000000000227e+02,8.108390264116200896e-01,1.831274742436269087e-01,6.033499344752952208e-03
3.313125000000000142e+01,1.734750000000000227e+02,7.994993861355365050e-01,1.938861446772810471e-01,6.614469187182314344e-03
3.347500000000000142e+01,1.734750000000000227e+02,7.864702435033456007e-01,2.062111123237639065e-01,7.318644172890554321e-03
3.381875000000000142e+01,1.734750000000000227e+02,7.715578046460637163e-01,2.202666775819747957e-01,8.175517771961578195e-03
3.416250000000000142e+01,1.734750000000000227e+02,7.545735499523551493e-01,2.362040923342761944e-01,9.222357713368671897e-03
3.450625000000000142e+01,1.734750000000000227e+02,7.353468980240003283e-01,2.541466743211139856e-01,1.050642765488569996e-02
3.485000000000000142e+01,1.734750000000000227e+02,7.137408707784312911e-01,2.741711910879212621e-01,1.208793813364735306e-02
3.519375000000000142e+01,1.734750000000000227e+02,6.896695944487907237e-01,2.962863734418564321e-01,1.404403210935284939e-02
3.553750000000000142e+01,1.734750000000000227e+02,6.631154390183181535e-01,3.204103022965740788e-01,1.647425868510763933e-02
3.588125000000000142e+01,1.734750000000000227e+02,6.341426557057676661e-01,3.463491518971531513e-01,1.950819239707922079e-02
3.622500000000000142e+01,1.734750000000000227e+02,6.029039497531525349e-01,3.737799400648892378e-01,2.331611018195830359e-02
3.656875000000000142e+01,1.734750000000000227e+02,5.696369810101822306e-01,4.022391105624623653e-01,2.812390842735551164e-02
3.691250000000000142e+01,1.734750000000000227e+02,5.346495587984547715e-01,4.311168121344925441e-01,3.423362906705282316e-02
3.725625000000000142e+01,1.734750000000000227e+02,4.982950758057169693e-01,4.596540846286752968e-01,4.205083956560782404e-02
3.760000000000000142e+01,1.734750000000000227e+02,4.609427886746836900e-01,4.869380042218639515e-01,5.211920710345243485e-02
3.794375000000000142e+01,1.734750000000000227e+02,4.229499365528476273e-01,5.118900265085456480e-01,6.516003693860661361e-02
3.828750000000000142e+01,1.734750000000000227e+02,3.846436425956517025e-01,5.332474933344046875e-01,8.210886406994359621e-02
3.863125000000000142e+01,1.734750000000000227e+02,3.463198222185918107e-01,5.495495347596185409e-01,1.041306430217895512e-01
3.897500000000000142e+01,1.734750000000000227e+02,3.082639226349538353e-01,5.591568982759050899e-01,1.325791790891410193e-01
3.931875000000000142e+01,1.734750000000000227e+02,2.707936368880689004e-01,5.603561316918651558e-01,1.688502314200658605e-01
3.966250000000000142e+01,1.734750000000000227e+02,2.343150009483455920e-01,5.516063835019129336e-01,2.140786155497414189e-01
4.000625000000000142e+01,1.734750000000000227e+02,1.993693482747262158e-01,5.319515900429860888e-01,2.686790616822876676e-01
4.035000000000000142e+01,1.734750000000000227e+02,1.666347838754287103e-01,5.015151295966430167e-01,3.318500865279283008e-01
4.069375000000000142e+01,1.734750000000000227e+02,1.368489238837482802e-01,4.618496405302026653e-01,4.013014355860489712e-01
4.103750000000000142e+01,1.734750000000000227e+02,1.106566998582148437e-01,4.158641906756329054e-01,4.734791094661522370e-01
4.138125000000000142e+01,1.734750000000000227e+02,8.844444763472078530e-02,3.672318892564113146e-01,5.443236631088678168e-01
4.172500000000000142e+01,1.734750000000000227e+02,7.024684687064076949e-02,3.195160748646561633e-01,6.102370782647030811e-01
4.206875000000000142e+01,1.734750000000000227e+02,5.577122475487792524e-02,2.754392131183112657e-01,6.687895621268108437e-01
4.241250000000000142e+01,1.734750000000000227e+02,4.451040895470147196e-02,2.365770481612659015e-01,7.189125428840325016e-01
4.275625000000000142e+01,1.734750000000000227e+02,3.587694370344871042e-02,2.034621983977795978e-01,7.606608578987716918e-01
4.310000000000000142e+01,1.734750000000000227e+02,2.930630353486707307e-02,1.758985194987781331e-01,7.947951769663548216e-01
4.344375000000000142e+01,1.734750000000000227e+02,2.431265431222078346e-02,1.532929443433926897e-01,8.223944013443865719e-01
4.378750000000000142e+01,1.734750000000000227e+02,2.050589403524597648e-02,1.349054990074206872e-01,8.445886069573332877e-01
4.413125000000000142e+01,1.734750000000000227e+02,1.758610109052935466e-02,1.200002650217996125e-01,8.624136338876711161e-01
4.447500000000000142e+01,1.734750000000000227e+02,1.532858847949917711e-02,1.079189436793298873e-01,8.767524678411710015e-01
4.481875000000000142e+01,1.734750000000000227e+02,1.356734551820818098e-02,9.810593876274716074e-02,8.883267157190445351e-01
4.516250000000000142e+01,1.734750000000000227e+02,1.218038562734140989e-02,9.010778051450832327e-02,8.977118338581503432e-01
4.550625000000000142e+01,1.734750000000000227e+02,1.107804936271301888e-02,8.356133526171476145e-02,9.053606153755721087e-01
4.585000000000000142e+01,1.734750000000000227e+02,1.019416574786270561e-02,7.817870107961027992e-02,9.116271331725270821e-01
4.619375000000000142e+01,1.734750000000000227e+02,9.479572901003093660e-03,7.373256251703140529e-02,9.167878645819654837e-01
4.653750000000000142e+01,1.734750000000000227e+02,8.897443582610275667e-03,7.004349099963903813e-02,9.210590654177507330e-01
4.688125000000000142e+01,1.734750000000000227e+02,8.419936686602243203e-03,6.696953932992677494e-02,9.246105239834709888e-01
4.722500000000000142e+01,1.734750000000000227e+02,8.025801741291922753e-03,6.439797842491355728e-02,9.275762198337945685e-01
4.756875000000000142e+01,1.734750000000000227e+02,7.698660958411808648e-03,6.223884861431657617e-02,9.300624904272716265e-01
4.791250000000000142e+01,1.734750000000000227e+02,7.425771045569669847e-03,6.041997270524916003e-02,9.321542562491811346e-01
4.825625000000000142e+01,1.734750000000000227e+02,7.197124863150182461e-03,5.888311421248834665e-02,9.339197609243613529e-01
4.860000000000000142e+01,1.734750000000000227e+02,7.004794607552345190e-03,5.758101879956634139e-02,9.354141865928813360e-01
4.894375000000000142e+01,1.734750000000000227e+02,6.842447546136641752e-03,5.647513129908147272e-02,9.366824211547818413e-01
4.928750000000000142e+01,1.734750000000000227e+02,6.704985831633127925e-03,5.553382767702069733e-02,9.377611864913460993e-01
4.963125000000000142e+01,1.734750000000000227e+02,6.588276197890997540e-03,5.473103935935981490e-02,9.386806844427492136e-01
4.997500000000000142e+01,1.734750000000000227e+02,6.488945279147818011e-03,5.404517705993521631e-02,9.394658776609169371e-01
5.031875000000000142e+01,1.734750000000000227e+02,6.404223236245511555e-03,5.345828398555826227e-02,9.401374927781962487e-01
5.066250000000000142e+01,1.734750000000000227e+02,6.331823241580211876e-03,5.295536548331642585e-02,9.407128112751033111e-01
5.100625000000000142e+01,1.734750000000000227e+02,6.269847807856451273e-03,5.252385510697463872e-02,9.412062970851687860e-01
5.135000000000000142e+01,1.734750000000000227e+02,6.216715382013428097e-03,5.215318675152677552e-02,9.416300978664597920e-01
5.169375000000000142e+01,1.734750000000000227e+02,6.171102366074604148e-03,5.183444974771587999e-02,9.419944478862095627e-01
5.203750000000000142e+01,1.734750000000000227e+02,6.131896978600876076e-03,5.156010923949755353e-02,9.423079937819016649e-01
5.238125000000000142e+01,1.734750000000000227e+02,6.098162277432380741e-03,5.132377825088337703e-02,9.425780594716842709e-01
5.272500000000000142e+01,1.734750000000000227e+02,6.069106326281047646e-03,5.112003092979153923e-02,9.428108627439273359e-01
5.306875000000000142e+01,1.734750000000000227e+02,6.044057974259411242e-03,5.094424879141325191e-02,9.430116932343274305e-01
5.341250000000000142e+01,1.734750000000000227e+02,6.022447077673034020e-03,5.079249356147470806e-02,9.431850593608521738e-01
5.375625000000000142e+01,1.734750000000000227e+02,6.003788262090684578e-03,5.066140158058531073e-02,9.433348101573240108e-01
5.410000000000000142e+01,1.734750000000000227e+02,5.987667524565269163e-03,5.054809577821400834e-02,9.434642366972207927e-01
5.444375000000000142e+01,1.734750000000000227e+02,5.973731128627780655e-03,5.045011203555387069e-02,9.435761568358184137e-01
5.478750000000000142e+01,1.734750000000000227e+02,5.961676361094076469e-03,5.036533738778417590e-02,9.436729862511218370e-01
5.513125000000000142e+01,1.734750000000000227e+02,5.951243809080481589e-03,5.029195801066436294e-02,9.437567981802551520e-01
5.547500000000000142e+01,1.734750000000000227e+02,5.942210884689684211e-03,5.022841532596820924e-02,9.438293737893420632e-01
5.581875000000000142e+01,1.734750000000000227e+02,5.934386378577719348e-03,5.017336886903222409e-02,9.438922447523900860e-01
5.616250000000000142e+01,1.734750000000000227e+02,5.927605865723080750e-03,5.012566480783292588e-02,9.439467293264439673e-01
5.650625000000000142e+01,1.734750000000000227e+02,5.921727819926795623e-03,5.008430920033576234e-02,9.439939629797373666e-01
