bill_length_mm,bill_depth_mm,Adelie,Gentoo,Chinstrap
3.450625000000000142e+01,1.320500000000000007e+01,9.349320709399747131e-02,1.612667266610261219e-01,7.452400662449764068e-01
3.485000000000000142e+01,1.320500000000000007e+01,7.306153722046442034e-02,1.822467722407783708e-01,7.446916905387572783e-01
3.519375000000000142e+01,1.320500000000000007e+01,5.795747249482179758e-02,2.081214324480453737e-01,7.339210950571328773e-01
3.553750000000000142e+01,1.320500000000000007e+01,4.663724264345563142e-02,2.399664782842719501e-01,7.133962790722724323e-01
3.588125000000000142e+01,1.320500000000000007e+01,3.798305947418226247e-02,2.787221335880935014e-01,6.832948069377242639e-01
3.622500000000000142e+01,1.320500000000000007e+01,3.120458760910124058e-02,3.250014033516578915e-01,6.437940090392407777e-01
3.656875000000000142e+01,1.320500000000000007e+01,2.575421415887036922e-02,3.788259798983211191e-01,5.954198059428086331e-01
3.691250000000000142e+01,1.320500000000000007e+01,2.126278818937710896e-02,4.393554967547711465e-01,5.393817150558516405e-01
3.725625000000000142e+01,1.320500000000000007e+01,1.749187603632619201e-02,5.047362419312745319e-01,4.777718820323992865e-01
3.760000000000000142e+01,1.320500000000000007e+01,1.429595666440833940e-02,5.722103213798085397e-01,4.134937219557829891e-01
3.794375000000000142e+01,1.320500000000000007e+01,1.158988851104070239e-02,6.385413404443961438e-01,3.498687710445630983e-01
3.828750000000000142e+01,1.320500000000000007e+01,9.320941577084461069e-03,7.006439931177819158e-01,2.900350653051336214e-01
3.863125000000000142e+01,1.320500000000000007e+01,7.447696957042351795e-03,7.561704233791338714e-01,2.363818796638236797e-01
3.897500000000000142e+01,1.320500000000000007e+01,5.927968611449774966e-03,8.038266048984028522e-01,1.902454264901474179e-01
3.931875000000000142e+01,1.320500000000000007e+01,4.715230541908158046e-03,8.433528192498854770e-01,1.519319502082064066e-01
3.966250000000000142e+01,1.320500000000000007e+01,3.760511960536215038e-03,8.752675105189358096e-01,1.209719775205278930e-01
4.000625000000000142e+01,1.320500000000000007e+01,3.016185573668664875e-03,9.005349684151860989e-01,9.644884601114528389e-02
4.035000000000000142e+01,1.320500000000000007e+01,2.439212375280154239e-03,9.202785390818301048e-01,7.728224854288961998e-02
4.069375000000000142e+01,1.320500000000000007e+01,1.992920032612047199e-03,9.355891780133390734e-01,6.241790195404878921e-02
4.103750000000000142e+01,1.320500000000000007e+01,1.647406480324274192e-03,9.474256861826524379e-01,5.092690733702350675e-02
4.138125000000000142e+01,1.320500000000000007e+01,1.379045816320672267e-03,9.565804085314090210e-01,4.204054565227033358e-02
4.172500000000000142e+01,1.320500000000000007e+01,1.169568260967102698e-03,9.636827930773710360e-01,3.514763866166190076e-02
4.206875000000000142e+01,1.320500000000000007e+01,1.005039374159601845e-03,9.692204053414855691e-01,2.977455528435480475e-02
4.241250000000000142e+01,1.320500000000000007e+01,8.749150306879185501e-04,9.735650704871451344e-01,2.556001448216704136e-02
4.275625000000000142e+01,1.320500000000000007e+01,7.712442652963503488e-04,9.769978753947768935e-01,2.223088033992667162e-02
4.310000000000000142e+01,1.320500000000000007e+01,6.880325691377116651e-04,9.797304929468109158e-01,1.958147448405140115e-02
4.344375000000000142e+01,1.320500000000000007e+01,6.207501909985511674e-04,9.819222734021101351e-01,1.745697640689116911e-02
4.378750000000000142e+01,1.320500000000000007e+01,5.659602935310354245e-04,9.836934487855203413e-01,1.574059092094871187e-02
4.413125000000000142e+01,1.320500000000000007e+01,5.210412803878406319e-04,9.851351096150532394e-01,1.434384910455896792e-02
4.447500000000000142e+01,1.320500000000000007e+01,4.839808854045988791e-04,9.863166440454628203e-01,1.319937506913259825e-02
4.481875000000000142e+01,1.320500000000000007e+01,4.532239351552759098e-04,9.872912451076931717e-01,1.225553095715171438e-02
4.516250000000000142e+01,1.320500000000000007e+01,4.275598135317662486e-04,9.880999753129769969e-01,1.147246487349133301e-02
4.550625000000000142e+01,1.320500000000000007e+01,4.060391189826765418e-04,9.887747661054172577e-01,1.081919477560003805e-02
4.585000000000000142e+01,1.320500000000000007e+01,3.879117348022987125e-04,9.893406355988274559e-01,1.027145266637042795e-02
4.619375000000000142e+01,1.320500000000000007e+01,3.725806071759680464e-04,9.898173339844960061e-01,9.810085408327865950e-03
4.653750000000000142e+01,1.320500000000000007e+01,3.595670672965547575e-04,9.902205698465855743e-01,9.419863086117885934e-03
4.688125000000000142e+01,1.320500000000000007e+01,3.484846643588626613e-04,9.905629289884562150e-01,9.088586347184941447e-03
4.722500000000000142e+01,1.320500000000000007e+01,3.390192989219093888e-04,9.908545669135799816e-01,8.806413787498128254e-03
4.756875000000000142e+01,1.320500000000000007e+01,3.309140425329674604e-04,9.911037339884202213e-01,8.565351969046924863e-03
4.791250000000000142e+01,1.320500000000000007e+01,3.239574613757721026e-04,9.913171763157616612e-01,8.358866222862750342e-03
4.825625000000000142e+01,1.320500000000000007e+01,3.179745746641333927e-04,9.915004437850876151e-01,8.181581640248337256e-03
4.860000000000000142e+01,1.320500000000000007e+01,3.128198057678082582e-04,9.916581284037896404e-01,8.029051790442566158e-03
4.894375000000000142e+01,1.320500000000000007e+01,3.083714496002431496e-04,9.917940499505319973e-01,7.897578599867859095e-03
4.928750000000000142e+01,1.320500000000000007e+01,3.045273008338906964e-04,9.919114015831103082e-01,7.784071116055826453e-03
4.963125000000000142e+01,1.320500000000000007e+01,3.012011763791132106e-04,9.920128648141677274e-01,7.685934009453284678e-03
4.997500000000000142e+01,1.320500000000000007e+01,2.983201311139442222e-04,9.921007009076765470e-01,7.600978961209399823e-03
5.031875000000000142e+01,1.320500000000000007e+01,2.958222144349959113e-04,9.921768240100576897e-01,7.527353775507298651e-03
5.066250000000000142e+01,1.320500000000000007e+01,2.936546513849735930e-04,9.922428600422583678e-01,7.463485306356505006e-03
5.100625000000000142e+01,1.320500000000000007e+01,2.917723591994639395e-04,9.923001944210432246e-01,7.408033219757318745e-03
5.135000000000000142e+01,1.320500000000000007e+01,2.901367304956902252e-04,9.923500109611430586e-01,7.359852308361094532e-03
5.169375000000000142e+01,1.320500000000000007e+01,2.887146297387798680e-04,9.923933237711644040e-01,7.317961599096802112e-03
5.203750000000000142e+01,1.320500000000000007e+01,2.874775613375699177e-04,9.924310035489760651e-01,7.281518889686363488e-03
5.238125000000000142e+01,1.320500000000000007e+01,2.864009766752595161e-04,9.924637993729718000e-01,7.249799650352846576e-03
5.272500000000000142e+01,1.320500000000000007e+01,2.854636942577433228e-04,9.924923568493532189e-01,7.222179456389018169e-03
5.306875000000000142e+01,1.320500000000000007e+01,2.846474124735753832e-04,9.925172332942110431e-01,7.198119293315266391e-03
5.341250000000000142e+01,1.320500000000000007e+01,2.839362985828765631e-04,9.925389104891984005e-01,7.177153212218654460e-03
5.375625000000000142e+01,1.320500000000000007e+01,2.833166407709065862e-04,9.925578054409633921e-01,7.158877918265618180e-03
5.410000000000000142e+01,1.320500000000000007e+01,2.827765526279463790e-04,9.925742794897810528e-01,7.142943957591122404e-03
5.444375000000000142e+01,1.320500000000000007e+01,2.823057214102156921e-04,9.925886460463564376e-01,7.129048232233496998e-03
5.478750000000000142e+01,1.320500000000000007e+01,2.818951930180447953e-04,9.926011771833669339e-01,7.116927623615054883e-03
5.513125000000000142e+01,1.320500000000000007e+01,2.815371878892849664e-04,9.926121092667458123e-01,7.106353545364941723e-03
5.547500000000000142e+01,1.320500000000000007e+01,2.812249430181549951e-04,9.926216477785776426e-01,7.097127278404144306e-03
5.581875000000000142e+01,1.320500000000000007e+01,2.809525761262398713e-04,9.926299714569153387e-01,7.089075966958320076e-03
5.616250000000000142e+01,1.320500000000000007e+01,2.807149686745758778e-04,9.926372358564111709e-01,7.082049174914274020e-03
5.650625000000000142e+01,1.320500000000000007e+01,2.805076649456445968e-04,9.926435764163060727e-01,7.075915918748405808e-03
5.685000000000000142e+01,1.320500000000000007e+01,2.803267848666008690e-04,9.926491111081831020e-01,7.070562106950202888e-03
5.719375000000000142e+01,1.320500000000000007e+01,2.801689486095492745e-04,9.926539427243112890e-01,7.065888327078939657e-03
5.753750000000000142e+01,1.320500000000000007e+01,2.800312113063128635e-04,9.926581608578737281e-01,7.061807930819896661e-03
5.788125000000000142e+01,1.320500000000000007e+01,2.799110064660038227e-04,9.926618436184940775e-01,7.058245375039815493e-03
5.822500000000000142e+01,1.320500000000000007e+01,2.798060968931437471e-04,9.926650591199245310e-01,7.055134783182388965e-03
5.856875000000000142e+01,1.320500000000000007e+01,2.797145320797841755e-04,9.926678667712822701e-01,7.052418696638015905e-03
5.891250000000000142e+01,1.320500000000000007e+01,2.796346111929213737e-04,9.926703183986493872e-01,7.050046990157705744e-03
5.925625000000000142e+01,1.320500000000000007e+01,2.795648509034461145e-04,9.926724592199830388e-01,7.047975929113514150e-03
3.210000000000000142e+01,1.331000000000000050e+01,6.140159317215988510e-01,5.799194856003687948e-02,3.279921197183643389e-01
3.244375000000000142e+01,1.331000000000000050e+01,5.169451344211215549e-01,7.008284860870328536e-02,4.129720169701751598e-01
3.278750000000000142e+01,1.331000000000000050e+01,4.194559726354529228e-01,8.230259311513812848e-02,4.982414342494088100e-01
3.313125000000000142e+01,1.331000000000000050e+01,3.299005589516099679e-01,9.417968560281246571e-02,5.759197554455776080e-01
3.347500000000000142e+01,1.331000000000000050e+01,2.538575863344609829e-01,1.057111119813427952e-01,6.404313016841963746e-01
3.381875000000000142e+01,1.331000000000000050e+01,1.931746561845818499e-01,1.173654686999966446e-01,6.894598751154215055e-01
3.416250000000000142e+01,1.331000000000000050e+01,1.468128546473932705e-01,1.299323063298088998e-01,7.232548390227977464e-01
3.450625000000000142e+01,1.331000000000000050e+01,1.123122811979357788e-01,1.443646478865799054e-01,7.433230709154842186e-01
3.485000000000000142e+01,1.331000000000000050e+01,8.694257468342146689e-02,1.616887531721342419e-01,7.513686721444443606e-01
3.519375000000000142e+01,1.331000000000000050e+01,6.829748252379742868e-02,1.829714733740634702e-01,7.487310441021390872e-01
3.553750000000000142e+01,1.331000000000000050e+01,5.447978673640418296e-02,2.093014224598385709e-01,7.362187908037572948e-01
3.588125000000000142e+01,1.331000000000000050e+01,4.408008138979773588e-02,2.417391257005647165e-01,7.141807929096375407e-01
3.622500000000000142e+01,1.331000000000000050e+01,3.608512008803577142e-02,2.812006041814935631e-01,6.827142757304706100e-01
3.656875000000000142e+01,1.331000000000000050e+01,2.978116122596907722e-02,3.282557236656150068e-01,6.419631151084159715e-01
3.691250000000000142e+01,1.331000000000000050e+01,2.467519000589252567e-02,3.828568226830277865e-01,5.924679873110797468e-01
3.725625000000000142e+01,1.331000000000000050e+01,2.043662029934462457e-02,4.440698756672484815e-01,5.354935040334068974e-01
3.760000000000000142e+01,1.331000000000000050e+01,1.685419174083331931e-02,5.099396527075364949e-01,4.732061555516303142e-01
3.794375000000000142e+01,1.331000000000000050e+01,1.380136957078538507e-02,5.776280011826473437e-01,4.085706292465671741e-01
3.828750000000000142e+01,1.331000000000000050e+01,1.120597172624146487e-02,6.438685697154694632e-01,3.449254585582890442e-01
3.863125000000000142e+01,1.331000000000000050e+01,9.023819982102849330e-03,7.056080094218449839e-01,2.853681705960521842e-01
3.897500000000000142e+01,1.331000000000000050e+01,7.219030731175296936e-03,7.605786057262088340e-01,2.322023635426159749e-01
3.931875000000000142e+01,1.331000000000000050e+01,5.753121771925371643e-03,8.075844838922180413e-01,1.866623943358566295e-01
3.966250000000000142e+01,1.331000000000000050e+01,4.582298438672242034e-03,8.464529674104582790e-01,1.489647341508696099e-01
4.000625000000000142e+01,1.331000000000000050e+01,3.659831667654492564e-03,8.777624276405670001e-01,1.185777406917784826e-01
4.035000000000000142e+01,1.331000000000000050e+01,2.940035926713147757e-03,9.025080975187816934e-01,9.455186655450506517e-02
4.069375000000000142e+01,1.331000000000000050e+01,2.381549873093194263e-03,9.218217941175584906e-01,7.579665600934826220e-02
4.103750000000000142e+01,1.331000000000000050e+01,1.949106936733270524e-03,9.367891558215440950e-01,6.126173724172282592e-02
4.138125000000000142e+01,1.331000000000000050e+01,1.613940564484256336e-03,9.483571335290443827e-01,5.002892590647117776e-02
4.172500000000000142e+01,1.331000000000000050e+01,1.353312591374499245e-03,9.573044483792703119e-01,4.134223902935523637e-02
4.206875000000000142e+01,1.331000000000000050e+01,1.149629737208527399e-03,9.642477170451138058e-01,3.460265321767776181e-02
4.241250000000000142e+01,1.331000000000000050e+01,9.894636862093084476e-04,9.696635479067768904e-01,2.934698840701386799e-02
4.275625000000000142e+01,1.331000000000000050e+01,8.626443872307521053e-04,9.739149210481362617e-01,2.522243456463303668e-02
4.310000000000000142e+01,1.331000000000000050e+01,7.614953884266036522e-04,9.772760233819323128e-01,2.196248122964104127e-02
4.344375000000000142e+01,1.331000000000000050e+01,6.802229960611105115e-04,9.799532569300094531e-01,1.936652007392948571e-02
4.378750000000000142e+01,1.331000000000000050e+01,6.144443441969934042e-04,9.821019951375027368e-01,1.728356051830028800e-02
4.413125000000000142e+01,1.331000000000000050e+01,5.608302693023214458e-04,9.838394891487654004e-01,1.559968058193235592e-02
4.447500000000000142e+01,1.331000000000000050e+01,5.168384142429116070e-04,9.852546006101378095e-01,1.422856097561921856e-02
4.481875000000000142e+01,1.331000000000000050e+01,4.805151294191726337e-04,9.864150503453703589e-01,1.310443452521042884e-02
4.516250000000000142e+01,1.331000000000000050e+01,4.503488679850701495e-04,9.873727809403739508e-01,1.217687019164117278e-02
4.550625000000000142e+01,1.331000000000000050e+01,4.251617039416865349e-04,9.881679133003176130e-01,1.140692499574071268e-02
4.585000000000000142e+01,1.331000000000000050e+01,4.040289080539861315e-04,9.888316661696653354e-01,1.076430492228047306e-02
4.619375000000000142e+01,1.331000000000000050e+01,3.862191246294485085e-04,9.893885150241247262e-01,1.022526585124581590e-02
4.653750000000000142e+01,1.331000000000000050e+01,3.711496754438547443e-04,9.898577942291426623e-01,9.771056095413498468e-03
4.688125000000000142e+01,1.331000000000000050e+01,3.583529922644882273e-04,9.902548915478706082e-01,9.386755459864877180e-03
4.722500000000000142e+01,1.331000000000000050e+01,3.474512621882360516e-04,9.905921435214802839e-01,9.060405216331465436e-03
4.756875000000000142e+01,1.331000000000000050e+01,3.381371587309397065e-04,9.908795106076119241e-01,8.782352233657038376e-03
4.791250000000000142e+01,1.331000000000000050e+01,3.301591039547122509e-04,9.911250894601048023e-01,8.544751435940462284e-03
4.825625000000000142e+01,1.331000000000000050e+01,3.233099217855652809e-04,9.913355041847098370e-01,8.341185893504769397e-03
4.860000000000000142e+01,1.331000000000000050e+01,3.174180436099265719e-04,9.915162071711399738e-01,8.166374785250101603e-03
4.894375000000000142e+01,1.331000000000000050e+01,3.123406459873089816e-04,9.916717119759412835e-01,8.015947378071404741e-03
4.928750000000000142e+01,1.331000000000000050e+01,3.079582598076582921e-04,9.918057748392328232e-01,7.886266900959507803e-03
4.963125000000000142e+01,1.331000000000000050e+01,3.041705069417851908e-04,9.919215371328462538e-01,7.774292360211935288e-03
4.997500000000000142e+01,1.331000000000000050e+01,3.008927062117266625e-04,9.920216379076522983e-01,7.677469386136095454e-03
5.031875000000000142e+01,1.331000000000000050e+01,2.980531538335578720e-04,9.921083034120903310e-01,7.593643434076075178e-03
5.066250000000000142e+01,1.331000000000000050e+01,2.955909304582294336e-04,9.921834187618989720e-01,7.520990307642902439e-03
5.100625000000000142e+01,1.331000000000000050e+01,2.934541219505081358e-04,9.922485856878187072e-01,7.457960190230922617e-03
5.135000000000000142e+01,1.331000000000000050e+01,2.915983672774639305e-04,9.923051693551256935e-01,7.403232277596860471e-03
5.169375000000000142e+01,1.331000000000000050e+01,2.899856666292209366e-04,9.923543365507671021e-01,7.355677782603647387e-03
5.203750000000000142e+01,1.331000000000000050e+01,2.885833978428760187e-04,9.923970870088132390e-01,7.314329593343949117e-03
5.238125000000000142e+01,1.331000000000000050e+01,2.873635005721676531e-04,9.924342792479448061e-01,7.278357251482982064e-03
5.272500000000000142e+01,1.331000000000000050e+01,2.863017963411542961e-04,9.924666519929576936e-01,7.247046210701258567e-03
5.306875000000000142e+01,1.331000000000000050e+01,2.853774193046660908e-04,9.924948420217155620e-01,7.219780558979892182e-03
5.341250000000000142e+01,1.331000000000000050e+01,2.845723377036870347e-04,9.925193991019115591e-01,7.196028560384737024e-03
5.375625000000000142e+01,1.331000000000000050e+01,2.838709500168704871e-04,9.925407985452533444e-01,7.175330504729991038e-03
5.410000000000000142e+01,1.331000000000000050e+01,2.832597429437468399e-04,9.925594518005408373e-01,7.157288456515305958e-03
5.444375000000000142e+01,1.331000000000000050e+01,2.827270008167720840e-04,9.925757154242668134e-01,7.141557574916398109e-03
5.478750000000000142e+01,1.331000000000000050e+01,2.822625579829513226e-04,9.925898987023412667e-01,7.127838739675713096e-03
5.513125000000000142e+01,1.331000000000000050e+01,2.818575872390370152e-04,9.926022701452712482e-01,7.115872267489847629e-03
5.547500000000000142e+01,1.331000000000000050e+01,2.815044186362952467e-04,9.926130630384130127e-01,7.105432542950812849e-03
5.581875000000000142e+01,1.331000000000000050e+01,2.811963839598471482e-04,9.926224801964715905e-01,7.096323419568420672e-03
5.616250000000000142e+01,1.331000000000000050e+01,2.809276829858913015e-04,9.926306980453755147e-01,7.088374271638524758e-03
5.650625000000000142e+01,1.331000000000000050e+01,2.806932682678879294e-04,9.926378701336628918e-01,7.081436598069101168e-03
