bill_depth_mm,flipper_length_mm,Adelie,Gentoo,Chinstrap
2.055500000000002814e+01,1.720000000000000000e+02,7.345462583985610250e-01,4.465938688625216771e-03,2.609878029128136490e-01
2.066000000000003212e+01,1.720000000000000000e+02,7.351779281077339689e-01,4.451780925656827030e-03,2.603702909666092413e-01
2.076500000000002899e+01,1.720000000000000000e+02,7.357990391056076218e-01,4.438274265785713615e-03,2.597626866286067426e-01
2.087000000000003297e+01,1.720000000000000000e+02,7.364097470927164490e-01,4.425365343432306579e-03,2.591648875638512539e-01
2.097500000000002984e+01,1.720000000000000000e+02,7.370101899755928665e-01,4.413006379423353547e-03,2.585768036449838103e-01
2.108000000000003382e+01,1.720000000000000000e+02,7.376004905895295893e-01,4.401154573274818245e-03,2.579983548371957425e-01
2.118500000000003070e+01,1.720000000000000000e+02,7.381807591259810231e-01,4.389771562749810938e-03,2.574294693112692545e-01
2.129000000000003467e+01,1.720000000000000000e+02,7.387510952914256857e-01,4.378822942880476916e-03,2.568700817656938140e-01
2.139500000000003155e+01,1.720000000000000000e+02,7.393115902222299196e-01,4.368277837627622916e-03,2.563201319401423040e-01
1.309999999999999964e+01,1.727375000000000114e+02,1.192661702081013603e-01,7.895206737394689922e-01,9.121315605242966140e-02
1.320500000000000007e+01,1.727375000000000114e+02,1.428173036988408806e-01,7.498413512450003982e-01,1.073413450561587490e-01
1.331000000000000050e+01,1.727375000000000114e+02,1.703875492256403390e-01,7.038410898490016221e-01,1.257713609253579834e-01
1.341500000000000092e+01,1.727375000000000114e+02,2.019515016113990480e-01,6.517375679020324108e-01,1.463109304865686522e-01
1.352000000000000135e+01,1.727375000000000114e+02,2.371319447788449997e-01,5.943471020054379439e-01,1.685209532157170564e-01
1.362500000000000178e+01,1.727375000000000114e+02,2.751557723766691610e-01,5.331322588898310677e-01,1.917119687334997991e-01
1.373000000000000220e+01,1.727375000000000114e+02,3.148933310212762571e-01,4.701051937470928643e-01,2.150014752316309063e-01
1.383500000000000263e+01,1.727375000000000114e+02,3.549921336632841928e-01,4.075774867449375449e-01,2.374303795917784010e-01
1.394000000000000306e+01,1.727375000000000114e+02,3.940763961314915909e-01,3.478137992350343044e-01,2.581098046334741047e-01
1.404500000000000348e+01,1.727375000000000114e+02,4.309517904102323493e-01,2.926955836254861998e-01,2.763526259642815619e-01
1.415000000000000391e+01,1.727375000000000114e+02,4.647524956698995124e-01,2.434973487328784547e-01,2.917501555972221161e-01
1.425500000000000433e+01,1.727375000000000114e+02,4.949966304636704284e-01,2.008236702729688239e-01,3.041796992633608032e-01
1.436000000000000476e+01,1.727375000000000114e+02,5.215558520938869957e-01,1.646878353519405924e-01,3.137563125541723563e-01
1.446500000000000519e+01,1.727375000000000114e+02,5.445716696789506539e-01,1.346715869513291364e-01,3.207567433697201542e-01
1.457000000000000561e+01,1.727375000000000114e+02,5.643559209236468366e-01,1.101017955230551570e-01,3.255422835532980064e-01
1.467500000000000604e+01,1.727375000000000114e+02,5.813023605881602052e-01,9.020070863914922410e-02,3.284969307726906540e-01
1.478000000000000647e+01,1.727375000000000114e+02,5.958216820628915444e-01,7.419210675538583100e-02,3.299862111817225552e-01
1.488500000000000689e+01,1.727375000000000114e+02,6.083010684892081743e-01,6.136420261693152634e-02,3.303347288938602300e-01
1.499000000000000732e+01,1.727375000000000114e+02,6.190835865162017670e-01,5.109893066198330225e-02,3.298174828218147780e-01
1.509500000000000774e+01,1.727375000000000114e+02,6.284611937857572661e-01,4.287899498559401279e-02,3.286598112286487905e-01
1.520000000000000817e+01,1.727375000000000114e+02,6.366758573933305465e-01,3.628222474854619906e-02,3.270419178581231989e-01
1.530500000000000860e+01,1.727375000000000114e+02,6.439247692957695834e-01,3.096995713246035106e-02,3.251052735717700481e-01
1.541000000000000902e+01,1.727375000000000114e+02,6.503670903621660004e-01,2.667360359422550273e-02,3.229593060436085628e-01
1.551500000000000945e+01,1.727375000000000114e+02,6.561307616033960066e-01,2.318166906662792043e-02,3.206875693299760521e-01
1.562000000000000988e+01,1.727375000000000114e+02,6.613186609011914019e-01,2.032827385224264191e-02,3.183530652465659805e-01
1.572500000000001030e+01,1.727375000000000114e+02,6.660138300748509321e-01,1.798351597372687544e-02,3.160026539514221300e-01
1.583000000000001073e+01,1.727375000000000114e+02,6.702837414501315871e-01,1.604563814817677042e-02,3.136706204016915800e-01
1.593500000000001116e+01,1.727375000000000114e+02,6.741836909580578574e-01,1.443479501732555792e-02,3.113815140246165014e-01
1.604000000000001336e+01,1.727375000000000114e+02,6.777594496721789374e-01,1.308816203015901285e-02,3.091523882976621174e-01
1.614500000000001023e+01,1.727375000000000114e+02,6.810493118536485868e-01,1.195613110005699052e-02,3.069945570462944695e-01
1.625000000000001421e+01,1.727375000000000114e+02,6.840856654354011690e-01,1.099936732442115088e-02,3.049149672401777478e-01
1.635500000000001108e+01,1.727375000000000114e+02,6.868961918387724852e-01,1.018653817505523612e-02,3.029172699861722440e-01
1.646000000000001506e+01,1.727375000000000114e+02,6.895047819846643611e-01,9.492563031324501022e-03,3.010026549840111310e-01
1.656500000000001194e+01,1.727375000000000114e+02,6.919322370806538780e-01,8.897263064147616779e-03,2.991704998551985017e-01
1.667000000000001592e+01,1.727375000000000114e+02,6.941968072564180803e-01,8.384318197000610248e-03,2.974188745465812800e-01
1.677500000000001279e+01,1.727375000000000114e+02,6.963146085266568308e-01,7.940459318602292524e-03,2.957449321547407917e-01
1.688000000000001677e+01,1.727375000000000114e+02,6.982999486259375832e-01,7.554840760602333886e-03,2.941452106134599953e-01
1.698500000000001364e+01,1.727375000000000114e+02,7.001655845787144727e-01,7.218551082891311137e-03,2.926158643383940938e-01
1.709000000000001762e+01,1.727375000000000114e+02,7.019229290157767975e-01,6.924230196549099013e-03,2.911528407876740610e-01
1.719500000000001450e+01,1.727375000000000114e+02,7.035822178392715509e-01,6.665768465166901392e-03,2.897520136955615278e-01
1.730000000000001847e+01,1.727375000000000114e+02,7.051526485450988480e-01,6.438069205261414893e-03,2.884092822496398534e-01
1.740500000000001535e+01,1.727375000000000114e+02,7.066424960683853618e-01,6.236860389286458424e-03,2.871206435423280801e-01
1.751000000000001933e+01,1.727375000000000114e+02,7.080592112154507900e-01,6.058544677420623845e-03,2.858822441071286469e-01
1.761500000000001620e+01,1.727375000000000114e+02,7.094095054220733720e-01,5.900079425382663903e-03,2.846904151525440074e-01
1.772000000000002018e+01,1.727375000000000114e+02,7.106994246093398804e-01,5.758880231464570676e-03,2.835416951591955836e-01
1.782500000000001705e+01,1.727375000000000114e+02,7.119344142016044152e-01,5.632743045238411926e-03,2.824328427531571095e-01
1.793000000000002103e+01,1.727375000000000114e+02,7.131193768563747204e-01,5.519780974786054999e-03,2.813608421688393313e-01
1.803500000000001791e+01,1.727375000000000114e+02,7.142587240814309846e-01,5.418372782876807944e-03,2.803229031356921919e-01
1.814000000000002188e+01,1.727375000000000114e+02,7.153564226419645289e-01,5.327120718440036921e-03,2.793164566395954784e-01
1.824500000000001876e+01,1.727375000000000114e+02,7.164160364618777921e-01,5.244815835446010009e-03,2.783391477026761485e-01
1.835000000000002274e+01,1.727375000000000114e+02,7.174407645781311071e-01,5.170409342677637077e-03,2.773888260791913529e-01
1.845500000000001961e+01,1.727375000000000114e+02,7.184334756001944378e-01,5.102988831825298020e-03,2.764635355679803119e-01
1.856000000000002359e+01,1.727375000000000114e+02,7.193967390474735879e-01,5.041758468262681585e-03,2.755615024842636984e-01
1.866500000000002046e+01,1.727375000000000114e+02,7.203328538781995638e-01,4.986022414227262410e-03,2.746811237075731937e-01
1.877000000000002444e+01,1.727375000000000114e+02,7.212438744781222155e-01,4.935170899692299835e-03,2.738209546221855306e-01
1.887500000000002132e+01,1.727375000000000114e+02,7.221316343423869188e-01,4.888668470946777762e-03,2.729796971866663147e-01
1.898000000000002530e+01,1.727375000000000114e+02,7.229977676563624778e-01,4.846044037658119551e-03,2.721561883059794851e-01
1.908500000000002217e+01,1.727375000000000114e+02,7.238437289588819379e-01,4.806882411248817287e-03,2.713493886298692370e-01
1.919000000000002615e+01,1.727375000000000114e+02,7.246708110529251901e-01,4.770817084833120676e-03,2.705583718622417977e-01
1.929500000000002302e+01,1.727375000000000114e+02,7.254801613131949267e-01,4.737524050870340828e-03,2.697823146359347168e-01
1.940000000000002700e+01,1.727375000000000114e+02,7.262727965266102537e-01,4.706716489533629456e-03,2.690204869838560553e-01
1.950500000000002387e+01,1.727375000000000114e+02,7.270496163899501374e-01,4.678140190460636748e-03,2.682722434195892180e-01
1.961000000000002785e+01,1.727375000000000114e+02,7.278114157783891480e-01,4.651569594526637486e-03,2.675370146270841243e-01
1.971500000000002473e+01,1.727375000000000114e+02,7.285588958892160738e-01,4.626804361720417494e-03,2.668142997490634549e-01
1.982000000000002871e+01,1.727375000000000114e+02,7.292926743564409620e-01,4.603666387020663962e-03,2.661036592565383385e-01
1.992500000000002558e+01,1.727375000000000114e+02,7.300132944241567445e-01,4.581997199085072192e-03,2.654047083767581139e-01
2.003000000000002956e+01,1.727375000000000114e+02,7.307212332593281401e-01,4.561655687144428560e-03,2.647171110535275762e-01
2.013500000000002643e+01,1.727375000000000114e+02,7.314169094780603730e-01,4.542516110191683817e-03,2.640405744117479969e-01
2.024000000000003041e+01,1.727375000000000114e+02,7.321006899533152312e-01,4.524466349730285088e-03,2.633748436969545748e-01
2.034500000000002728e+01,1.727375000000000114e+02,7.327728959664158159e-01,4.507406373284669927e-03,2.627196976602995671e-01
2.045000000000003126e+01,1.727375000000000114e+02,7.334338087595231315e-01,4.491246880807745270e-03,2.620749443596692152e-01
2.055500000000002814e+01,1.727375000000000114e+02,7.340836745414883735e-01,4.475908110230640384e-03,2.614404173482809957e-01
2.066000000000003212e+01,1.727375000000000114e+02,7.347227089951111623e-01,4.461318781837178907e-03,2.608159722230516397e-01
2.076500000000002899e+01,1.727375000000000114e+02,7.353511013297945320e-01,4.447415164029765167e-03,2.602014835061758347e-01
2.087000000000003297e+01,1.727375000000000114e+02,7.359690179198822291e-01,4.434140245481508862e-03,2.595968418346361606e-01
2.097500000000002984e+01,1.727375000000000114e+02,7.365766055655658118e-01,4.421443000720939528e-03,2.590019514337132400e-01
2.108000000000003382e+01,1.727375000000000114e+02,7.371739944101169950e-01,4.409277737933985260e-03,2.584167278519491351e-01
2.118500000000003070e+01,1.727375000000000114e+02,7.377613005443509619e-01,4.397603519246752295e-03,2.578410959364022537e-01
2.129000000000003467e+01,1.727375000000000114e+02,7.383386283265942485e-01,4.386383645013497250e-03,2.572749880283922153e-01
2.139500000000003155e+01,1.727375000000000114e+02,7.389060724440301708e-01,4.375585194713953706e-03,2.567183423612559579e-01
1.309999999999999964e+01,1.734750000000000227e+02,1.070426728531157501e-01,8.102360466956929352e-01,8.272128045119131468e-02
1.320500000000000007e+01,1.734750000000000227e+02,1.282958645830777067e-01,7.742274996889015881e-01,9.747663572802055254e-02
1.331000000000000050e+01,1.734750000000000227e+02,1.534525806633354750e-01,7.319979195308772280e-01,1.145494998057873109e-01
1.341500000000000092e+01,1.734750000000000227e+02,1.826544178223377113e-01,6.834710650785660313e-01,1.338745170990962852e-01
1.352000000000000135e+01,1.734750000000000227e+02,2.157429421989346674e-01,6.290939008666802668e-01,1.551631569343850658e-01
1.362500000000000178e+01,1.734750000000000227e+02,2.521820938798161049e-01,5.699457625507892145e-01,1.778721435693946529e-01
1.373000000000000220e+01,1.734750000000000227e+02,2.910444959891920202e-01,5.077323531298065795e-01,2.012231508810014280e-01
1.383500000000000263e+01,1.734750000000000227e+02,3.310897297098911451e-01,4.446244564815827749e-01,2.242858138085260522e-01
1.394000000000000306e+01,1.734750000000000227e+02,3.709303523834212579e-01,3.829583174221655728e-01,2.461113301944132248e-01
1.404500000000000348e+01,1.734750000000000227e+02,4.092417264356319473e-01,3.248794376985100207e-01,2.658788358658579765e-01
1.415000000000000391e+01,1.734750000000000227e+02,4.449498587593179733e-01,2.720417525492606070e-01,2.830083886914214197e-01
1.425500000000000433e+01,1.734750000000000227e+02,4.773431301180691144e-01,2.254471740513669942e-01,2.972096958305637249e-01
1.436000000000000476e+01,1.734750000000000227e+02,5.060903066939141937e-01,1.854454197661691284e-01,3.084642735399166780e-01
1.446500000000000519e+01,1.734750000000000227e+02,5.311839283963135649e-01,1.518537397604564076e-01,3.169623318432301939e-01
1.457000000000000561e+01,1.734750000000000227e+02,5.528461094588115188e-01,1.241303641019254472e-01,3.230235264392629646e-01
1.467500000000000604e+01,1.734750000000000227e+02,5.714311416030459778e-01,1.015441621002300121e-01,3.270246962967238713e-01
1.478000000000000647e+01,1.734750000000000227e+02,5.873458607743532456e-01,8.330789366833303566e-02,3.293462455573136216e-01
1.488500000000000689e+01,1.734750000000000227e+02,6.009949227270038330e-01,6.866605466618878884e-02,3.303390226068073643e-01
1.499000000000000732e+01,1.734750000000000227e+02,6.127491160234798118e-01,5.694279759963147974e-02,3.303080863768886322e-01
1.509500000000000774e+01,1.734750000000000227e+02,6.229310069125257865e-01,4.756091115005029596e-02,3.295080819374239800e-01
1.520000000000000817e+01,1.734750000000000227e+02,6.318118115870614560e-01,4.004274173028280620e-02,3.281454466826558281e-01
1.530500000000000860e+01,1.734750000000000227e+02,6.396145654111863310e-01,3.400148462088552204e-02,3.263839499679282441e-01
1.541000000000000902e+01,1.734750000000000227e+02,6.465201916897883594e-01,2.912845725794411048e-02,3.243513510522675336e-01
1.551500000000000945e+01,1.734750000000000227e+02,6.526743963381440583e-01,2.517966026510690472e-02,3.221459433967490127e-01
1.562000000000000988e+01,1.734750000000000227e+02,6.581942676865008002e-01,2.196332969735990265e-02,3.198424026161393319e-01
1.572500000000001030e+01,1.734750000000000227e+02,6.631740705240645184e-01,1.932919120505703983e-02,3.174967382708784869e-01
1.583000000000001073e+01,1.734750000000000227e+02,6.676900776372726165e-01,1.715957061814047183e-02,3.151503517445869429e-01
1.593500000000001116e+01,1.734750000000000227e+02,6.718044673541152534e-01,1.536223837468254222e-02,3.128332942712023224e-01
1.604000000000001336e+01,1.734750000000000227e+02,6.755683986897270676e-01,1.386475165216709618e-02,3.105668496581057703e-01
1.614500000000001023e+01,1.734750000000000227e+02,6.790244016843544062e-01,1.261003246467664804e-02,3.083655658509689146e-01
1.625000000000001421e+01,1.734750000000000227e+02,6.822082174368424567e-01,1.155293688551235071e-02,3.062388456776451440e-01
1.635500000000001108e+01,1.734750000000000227e+02,6.851502064202199538e-01,1.065760441538405635e-02,3.041921891643958875e-01
1.646000000000001506e+01,1.734750000000000227e+02,6.878764237443810714e-01,9.895414048077632099e-03,3.022281622075412844e-01
1.656500000000001194e+01,1.734750000000000227e+02,6.904094405075716923e-01,9.243408545981273913e-03,3.003471509464471501e-01
1.667000000000001592e+01,1.734750000000000227e+02,6.927689731663031480e-01,8.683078415076437087e-03,2.985479484186204235e-01
1.677500000000001279e+01,1.734750000000000227e+02,6.949723685421452801e-01,8.199421592740608472e-03,2.968282098651142120e-01
1.688000000000001677e+01,1.734750000000000227e+02,6.970349806134985560e-01,7.780214349435719649e-03,2.951848050370658449e-01
1.698500000000001364e+01,1.734750000000000227e+02,6.989704662722484585e-01,7.415444104157664466e-03,2.936140896235938103e-01
1.709000000000001762e+01,1.734750000000000227e+02,7.007910203361524815e-01,7.096866563644691969e-03,2.921121131002028526e-01
1.719500000000001450e+01,1.734750000000000227e+02,7.025075648847345366e-01,6.817658547189481971e-03,2.906747765680760542e-01
1.730000000000001847e+01,1.734750000000000227e+02,7.041299040659962927e-01,6.572144669520997920e-03,2.892979512644827667e-01
1.740500000000001535e+01,1.734750000000000227e+02,7.056668526015709153e-01,6.355581222418471565e-03,2.879775661760105576e-01
1.751000000000001933e+01,1.734750000000000227e+02,7.071263440572705949e-01,6.163984513793850303e-03,2.867096714289355530e-01
1.761500000000001620e+01,1.734750000000000227e+02,7.085155233551170273e-01,5.993993894068897453e-03,2.854904827508139009e-01
1.772000000000002018e+01,1.734750000000000227e+02,7.098408268364887475e-01,5.842761955294494686e-03,2.843164112082167128e-01
1.782500000000001705e+01,1.734750000000000227e+02,7.111080523335129300e-01,5.707866104108619103e-03,2.831840815623784535e-01
1.793000000000002103e+01,1.734750000000000227e+02,7.123224210843466242e-01,5.587237017700669162e-03,2.820903418979526789e-01
1.803500000000001791e+01,1.734750000000000227e+02,7.134886328755838392e-01,5.479100492068623464e-03,2.810322666323474827e-01
1.814000000000002188e+01,1.734750000000000227e+02,7.146109154659142648e-01,5.381929958893757505e-03,2.800071545751920965e-01
1.824500000000001876e+01,1.734750000000000227e+02,7.156930691055461979e-01,5.294407537594265217e-03,2.790125233568594987e-01
1.835000000000002274e+01,1.734750000000000227e+02,7.167385067910785335e-01,5.215391944888111107e-03,2.780461012640335072e-01
1.845500000000001961e+01,1.734750000000000227e+02,7.177502907673868338e-01,5.143891937396006565e-03,2.771058172952171050e-01
1.856000000000002359e+01,1.734750000000000227e+02,7.187311656936236082e-01,5.079044237530661379e-03,2.761897900688456975e-01
1.866500000000002046e+01,1.734750000000000227e+02,7.196835888200747711e-01,5.020095107379262192e-03,2.752963160725460656e-01
1.877000000000002444e+01,1.734750000000000227e+02,7.206097574696066488e-01,4.966384903327514255e-03,2.744238576270658925e-01
1.887500000000002132e+01,1.734750000000000227e+02,7.215116340768299441e-01,4.917335076331599136e-03,2.735710308468384255e-01
1.898000000000002530e+01,1.734750000000000227e+02,7.223909690064241884e-01,4.872437187062534161e-03,2.727365938065133277e-01
1.908500000000002217e+01,1.734750000000000227e+02,7.232493213468189630e-01,4.831243587792750059e-03,2.719194350653881820e-01
1.919000000000002615e+01,1.734750000000000227e+02,7.240880778548400842e-01,4.793359488605229701e-03,2.711185626565548734e-01
1.929500000000002302e+01,1.734750000000000227e+02,7.249084702097459143e-01,4.758436177940528200e-03,2.703330936123133910e-01
1.940000000000002700e+01,1.734750000000000227e+02,7.257115907204665373e-01,4.726165209485439465e-03,2.695622440700480293e-01
1.950500000000002387e+01,1.734750000000000227e+02,7.264984066171144006e-01,4.696273401149842451e-03,2.688053199817357908e-01
1.961000000000002785e+01,1.734750000000000227e+02,7.272697730466348709e-01,4.668518519088665254e-03,2.680617084342764578e-01
1.971500000000002473e+01,1.734750000000000227e+02,7.280264448823955403e-01,4.642685541744939401e-03,2.673308695758595532e-01
1.982000000000002871e+01,1.734750000000000227e+02,7.287690874484386017e-01,4.618583416769606563e-03,2.666123291347918811e-01
1.992500000000002558e+01,1.734750000000000227e+02,7.294982862508530008e-01,4.596042238241695305e-03,2.659056715109053837e-01
2.003000000000002956e+01,1.734750000000000227e+02,7.302145558011429172e-01,4.574910783523733482e-03,2.652105334153334049e-01
2.013500000000002643e+01,1.734750000000000227e+02,7.309183476095203469e-01,4.555054358858589766e-03,2.645265980316209298e-01
2.024000000000003041e+01,1.734750000000000227e+02,7.316100574196533479e-01,4.536352910858141955e-03,2.638535896694884086e-01
2.034500000000002728e+01,1.734750000000000227e+02,7.322900317504945633e-01,4.518699367678723558e-03,2.631912688818266455e-01
2.045000000000003126e+01,1.734750000000000227e+02,7.329585738053976396e-01,4.501998179185662946e-03,2.625394280154165760e-01
2.055500000000002814e+01,1.734750000000000227e+02,7.336159488037129472e-01,4.486164029989753686e-03,2.618978871662973607e-01
