sepal width (cm),petal width (cm),setosa,versicolor,virginica
2.880000000000000782e+00,1.000000000000000056e-01,9.488508884175864688e-01,5.111101208244844818e-02,3.809949996525839822e-05
2.920000000000000817e+00,1.000000000000000056e-01,9.510236299494263523e-01,4.894096131404269967e-02,3.540873653082393739e-05
2.960000000000000853e+00,1.000000000000000056e-01,9.530531701425877245e-01,4.691386262509499028e-02,3.296723231738073737e-05
3.000000000000000888e+00,1.000000000000000056e-01,9.549499531783601780e-01,4.501929799381935299e-02,3.074882782041946338e-05
3.040000000000000924e+00,1.000000000000000056e-01,9.567236404661739746e-01,4.324762919342933776e-02,2.873034039652798234e-05
3.080000000000000959e+00,1.000000000000000056e-01,9.583831643246136789e-01,4.158994446718373289e-02,2.689120820248438429e-05
3.120000000000000995e+00,1.000000000000000056e-01,9.599367793814557182e-01,4.003800744083709645e-02,2.521317770713042442e-05
3.160000000000001030e+00,1.000000000000000056e-01,9.613921114724950368e-01,3.858420849802089020e-02,2.368002948408721314e-05
3.200000000000001066e+00,1.000000000000000056e-01,9.627562039074371025e-01,3.722151875496067241e-02,2.227733760228782430e-05
3.240000000000001101e+00,1.000000000000000056e-01,9.640355610416199150e-01,3.594344669989960050e-02,2.099225848032898326e-05
3.280000000000001137e+00,1.000000000000000056e-01,9.652361891476075595e-01,3.474399750682961169e-02,1.981334556297886812e-05
3.320000000000001172e+00,1.000000000000000056e-01,9.663636346232779006e-01,3.361763499010426287e-02,1.873038661760648523e-05
3.360000000000001208e+00,1.000000000000000056e-01,9.674230196051144537e-01,3.255924613404676676e-02,1.773426083894417006e-05
3.400000000000001243e+00,1.000000000000000056e-01,9.684190750788367330e-01,3.156410810786672294e-02,1.681681329669590239e-05
3.440000000000001279e+00,1.000000000000000056e-01,9.693561715959858605e-01,3.062785765944773045e-02,1.597074456623569742e-05
3.480000000000001315e+00,1.000000000000000056e-01,9.702383477158572633e-01,2.974646277049071072e-02,1.518951365204770911e-05
3.520000000000001350e+00,1.000000000000000056e-01,9.710693362985179933e-01,2.891619644893164698e-02,1.446725255044703730e-05
3.560000000000001386e+00,1.000000000000000056e-01,9.718525887774480676e-01,2.813361253154575414e-02,1.379869100604809909e-05
3.600000000000001421e+00,1.000000000000000056e-01,9.725912975404136240e-01,2.739552336938781002e-02,1.317909019866655645e-05
3.640000000000001457e+00,1.000000000000000056e-01,9.732884165451866076e-01,2.669897927055653319e-02,1.260418425684285794e-05
3.680000000000001492e+00,1.000000000000000056e-01,9.739466802931997513e-01,2.604124957816661076e-02,1.207012863363742941e-05
3.720000000000001528e+00,1.000000000000000056e-01,9.745686212795684478e-01,2.541980526592930306e-02,1.157345450218708728e-05
3.760000000000001563e+00,1.000000000000000056e-01,9.751565860325244195e-01,2.483230293904052990e-02,1.111102843488930119e-05
3.800000000000001599e+00,1.000000000000000056e-01,9.757127498494095885e-01,2.427657013386744222e-02,1.068001672290471051e-05
3.840000000000001634e+00,1.000000000000000056e-01,9.762391303302263568e-01,2.375059181600018554e-02,1.027785377364151503e-05
3.880000000000001670e+00,1.000000000000000056e-01,9.767375998034844020e-01,2.325249798242107549e-02,9.902214094500384205e-06
3.920000000000001705e+00,1.000000000000000056e-01,9.772098967328564090e-01,2.278055227971094096e-02,9.550987432735475165e-06
3.960000000000001741e+00,1.000000000000000056e-01,9.776576361870404908e-01,2.233314155626434441e-02,9.222256694980556277e-06
4.000000000000001776e+00,1.000000000000000056e-01,9.780823194493328820e-01,2.190876627235020802e-02,8.914278316812440168e-06
4.040000000000001812e+00,1.000000000000000056e-01,9.784853428377250362e-01,2.150603169748130025e-02,8.625464793561357025e-06
4.080000000000001847e+00,1.000000000000000056e-01,9.788680058009668894e-01,2.112363982991393579e-02,8.354369119206237599e-06
4.120000000000001883e+00,1.000000000000000056e-01,9.792315183509266996e-01,2.076038197816195904e-02,8.099670911281000397e-06
4.160000000000001918e+00,1.000000000000000056e-01,9.795770078868001329e-01,2.041513194917294813e-02,7.860164026860640837e-06
4.200000000000001954e+00,1.000000000000000056e-01,9.799055254622316413e-01,2.008683979226998095e-02,7.634745498396862482e-06
4.240000000000001990e+00,1.000000000000000056e-01,9.802180515422422857e-01,1.977452605211873701e-02,7.422405638886246962e-06
4.280000000000002025e+00,1.000000000000000056e-01,9.805155012929783753e-01,1.947727648783758800e-02,7.222219183957065799e-06
4.320000000000002061e+00,1.000000000000000056e-01,9.807987294436992798e-01,1.919423721894624943e-02,7.033337354299991797e-06
4.360000000000002096e+00,1.000000000000000056e-01,9.810685347571129755e-01,1.892461026215115638e-02,6.854980735727347730e-06
2.000000000000000000e+00,1.400000000000000133e-01,8.053912686947067856e-01,1.942199415886850800e-01,3.887897166082194406e-04
2.040000000000000036e+00,1.400000000000000133e-01,8.170179236576761150e-01,1.826343352635600159e-01,3.477410787636947749e-04
2.080000000000000071e+00,1.400000000000000133e-01,8.279500450542376377e-01,1.717386621368489352e-01,3.112928089134391757e-04
2.120000000000000107e+00,1.400000000000000133e-01,8.382122671426979199e-01,1.615087995796289921e-01,2.789332776731751778e-04
2.160000000000000142e+00,1.400000000000000133e-01,8.478315109529903637e-01,1.519182854764665469e-01,2.502035705432307730e-04
2.200000000000000178e+00,1.400000000000000133e-01,8.568363365154897382e-01,1.429389703813050416e-01,2.246931032052331084e-04
2.240000000000000213e+00,1.400000000000000133e-01,8.652563660014339630e-01,1.345415986137825648e-01,2.020353847835037108e-04
2.280000000000000249e+00,1.400000000000000133e-01,8.731217798475443548e-01,1.266963161824916639e-01,1.819039699640178742e-04
2.320000000000000284e+00,1.400000000000000133e-01,8.804628850729619982e-01,1.193731062964149686e-01,1.640086306229379762e-04
2.360000000000000320e+00,1.400000000000000133e-01,8.873097528156868030e-01,1.125421554163189009e-01,1.480917679944466180e-04
2.400000000000000355e+00,1.400000000000000133e-01,8.936919205578480740e-01,1.061741543643795610e-01,1.339250777723020153e-04
2.440000000000000391e+00,1.400000000000000133e-01,8.996381534929869250e-01,1.002405400339153735e-01,1.213064730976593761e-04
2.480000000000000426e+00,1.400000000000000133e-01,9.051762589236850287e-01,9.471368381209985254e-02,1.100572642151006380e-04
2.520000000000000462e+00,1.400000000000000133e-01,9.103329473737288291e-01,8.956703303760925328e-02,1.000195886619198199e-04
2.560000000000000497e+00,1.400000000000000133e-01,9.151337341705858552e-01,8.477521174730451303e-02,9.105408210943234399e-05
2.600000000000000533e+00,1.400000000000000133e-01,9.196028755258567333e-01,8.031408669686720958e-02,8.303777727594263626e-05
2.640000000000000568e+00,1.400000000000000133e-01,9.237633335491969300e-01,7.616080423426771495e-02,7.586221653532020527e-05
2.680000000000000604e+00,1.400000000000000133e-01,9.276367651223105248e-01,7.229380311488574351e-02,6.943176280366670106e-05
2.720000000000000639e+00,1.400000000000000133e-01,9.312435300923642689e-01,6.869280781478062647e-02,6.366209285511915711e-05
2.760000000000000675e+00,1.400000000000000133e-01,9.346027147869618856e-01,6.533880635577425655e-02,5.847885726385403853e-05
2.800000000000000711e+00,1.400000000000000133e-01,9.377321673827174742e-01,6.221401612570691408e-02,5.381649157554902569e-05
2.840000000000000746e+00,1.400000000000000133e-01,9.406485421606615160e-01,5.930184067536108800e-02,4.961716397758138730e-05
2.880000000000000782e+00,1.400000000000000133e-01,9.433673501442407794e-01,5.658682001017958235e-02,4.582984557956782952e-05
2.920000000000000817e+00,1.400000000000000133e-01,9.459030140340153325e-01,5.405457647561794782e-02,4.240949036683237192e-05
2.960000000000000853e+00,1.400000000000000133e-01,9.482689257251402104e-01,5.169175796196395084e-02,3.931631289574258093e-05
3.000000000000000888e+00,1.400000000000000133e-01,9.504775050197095121e-01,4.948597982746984203e-02,3.651515282065204615e-05
3.040000000000000924e+00,1.400000000000000133e-01,9.525402584279023532e-01,4.742576665575046896e-02,3.397491634715793339e-05
3.080000000000000959e+00,1.400000000000000133e-01,9.544678371927420857e-01,4.550049472158392699e-02,3.166808567384412010e-05
3.120000000000000995e+00,1.400000000000000133e-01,9.562700938767279002e-01,4.370033583487191453e-02,2.957028840006176637e-05
3.160000000000001030e+00,1.400000000000000133e-01,9.579561370186032709e-01,4.201620306166541086e-02,2.765991973149495414e-05
3.200000000000001066e+00,1.400000000000000133e-01,9.595343835090197615e-01,4.043969867987666500e-02,2.591781110346639370e-05
3.240000000000001101e+00,1.400000000000000133e-01,9.610126084486730891e-01,3.896306461176447800e-02,2.432693956254074934e-05
3.280000000000001137e+00,1.400000000000000133e-01,9.623979923451912999e-01,3.757913548190796454e-02,2.287217290068424560e-05
3.320000000000001172e+00,1.400000000000000133e-01,9.636971655789775548e-01,3.628129437489708425e-02,2.154004612541805390e-05
3.360000000000001208e+00,1.400000000000000133e-01,9.649162501262126268e-01,3.506343130840985228e-02,2.031856537747299911e-05
3.400000000000001243e+00,1.400000000000000133e-01,9.660608985720137154e-01,3.391990439210778446e-02,1.919703587855415869e-05
3.440000000000001279e+00,1.400000000000000133e-01,9.671363304805148386e-01,3.284550360857486917e-02,1.816591091039962335e-05
3.480000000000001315e+00,1.400000000000000133e-01,9.681473662134238989e-01,3.183541712737910506e-02,1.721665919695737810e-05
3.520000000000001350e+00,1.400000000000000133e-01,9.690984583060544555e-01,3.088520004555687232e-02,1.634164838873315121e-05
3.560000000000001386e+00,1.400000000000000133e-01,9.699937205213863267e-01,2.999074543597719106e-02,1.553404263654083723e-05
3.600000000000001421e+00,1.400000000000000133e-01,9.708369547095778707e-01,2.914825757792682825e-02,1.478771249513673992e-05
3.640000000000001457e+00,1.400000000000000133e-01,9.716316756035189295e-01,2.835422724086151744e-02,1.409715561936937958e-05
3.680000000000001492e+00,1.400000000000000133e-01,9.723811336813307227e-01,2.760540889175926160e-02,1.345742691005535498e-05
3.720000000000001528e+00,1.400000000000000133e-01,9.730883362248620161e-01,2.689879969820112640e-02,1.286407693699881234e-05
3.760000000000001563e+00,1.400000000000000133e-01,9.737560666997508996e-01,2.623162020263379232e-02,1.231309761531303144e-05
3.800000000000001599e+00,1.400000000000000133e-01,9.743869025779761106e-01,2.560129654778278002e-02,1.180087424106851057e-05
3.840000000000001634e+00,1.400000000000000133e-01,9.749832317183745323e-01,2.500544413851986739e-02,1.132414310560781190e-05
3.880000000000001670e+00,1.400000000000000133e-01,9.755472674146359324e-01,2.444185263135731714e-02,1.087995400669032871e-05
3.920000000000001705e+00,1.400000000000000133e-01,9.760810622140291271e-01,2.390847214891007877e-02,1.046563706078224719e-05
3.960000000000001741e+00,1.400000000000000133e-01,9.765865206037374069e-01,2.340340062296680096e-02,1.007877329589837010e-05
4.000000000000001776e+00,1.400000000000000133e-01,9.770654106553329221e-01,2.292487217609725722e-02,9.717168569841437152e-06
4.040000000000001812e+00,1.400000000000000133e-01,9.775193747116830423e-01,2.247124645790119987e-02,9.378830415715272523e-06
4.080000000000001847e+00,1.400000000000000133e-01,9.779499391945383202e-01,2.204099885799537181e-02,9.061947466291343366e-06
4.120000000000001883e+00,1.400000000000000133e-01,9.783585236052615430e-01,2.163271152358632946e-02,8.764871152135760850e-06
4.160000000000001918e+00,1.400000000000000133e-01,9.787464487856379902e-01,2.124506511495577454e-02,8.486099406180147513e-06
4.200000000000001954e+00,1.400000000000000133e-01,9.791149445004946328e-01,2.087683123736504623e-02,8.224262140368175219e-06
4.240000000000001990e+00,1.400000000000000133e-01,9.794651563989534848e-01,2.052686549275784672e-02,7.978108288756097501e-06
4.280000000000002025e+00,1.400000000000000133e-01,9.797981524065605408e-01,2.019410109920305799e-02,7.746494236539410192e-06
4.320000000000002061e+00,1.400000000000000133e-01,9.801149285962537094e-01,1.987754303026993685e-02,7.528373476389997391e-06
4.360000000000002096e+00,1.400000000000000133e-01,9.804164145821671061e-01,1.957626263048043574e-02,7.322787352636201653e-06
2.000000000000000000e+00,1.800000000000000211e-01,7.764117461868024206e-01,2.230757287281553147e-01,5.125250850422447338e-04
2.040000000000000036e+00,1.800000000000000211e-01,7.897047121063071051e-01,2.098378047715015737e-01,4.574831221912343008e-04
2.080000000000000071e+00,1.800000000000000211e-01,8.022556359622908806e-01,1.973357624458186577e-01,4.086015918904233111e-04
2.120000000000000107e+00,1.800000000000000211e-01,8.140816707407808606e-01,1.855531202400899637e-01,3.652090191291646891e-04
2.160000000000000142e+00,1.800000000000000211e-01,8.252039461967656253e-01,1.744693540990752412e-01,3.266997041590908018e-04
2.200000000000000178e+00,1.800000000000000211e-01,8.356467784770150731e-01,1.640606925984626485e-01,2.925289245223063831e-04
2.240000000000000213e+00,1.800000000000000211e-01,8.454369338670297829e-01,1.543008579637848710e-01,2.622081691853089314e-04
2.280000000000000249e+00,1.800000000000000211e-01,8.546029576381929393e-01,1.451617418913755397e-01,2.353004704316580384e-04
2.320000000000000284e+00,1.800000000000000211e-01,8.631745744863055236e-01,1.366140096246076796e-01,2.114158890868912482e-04
2.360000000000000320e+00,1.800000000000000211e-01,8.711821632592238185e-01,1.286276295430815730e-01,1.902071976947041572e-04
2.400000000000000355e+00,1.800000000000000211e-01,8.786563056080678447e-01,1.211723285966434666e-01,1.713657952886448994e-04
2.440000000000000391e+00,1.800000000000000211e-01,8.856274058450319675e-01,1.142179762779324398e-01,1.546178770357742598e-04
2.480000000000000426e+00,1.800000000000000211e-01,8.921253775933357666e-01,1.077349015339783278e-01,1.397208726857951258e-04
2.520000000000000462e+00,1.800000000000000211e-01,8.981793916896297914e-01,1.016941481506899725e-01,1.264601596802925130e-04
2.560000000000000497e+00,1.800000000000000211e-01,9.038176791534646703e-01,9.606767479647715380e-02,1.146460500583402174e-04
2.600000000000000533e+00,1.800000000000000211e-01,9.090673827781418082e-01,9.082850617693161155e-02,1.041110449265725193e-04
2.640000000000000568e+00,1.800000000000000211e-01,9.139544509333619171e-01,8.595084172047839921e-02,9.470734615979669528e-05
2.680000000000000604e+00,1.800000000000000211e-01,9.185035674230740410e-01,8.141012796489355274e-02,8.630461203234680574e-05
2.720000000000000639e+00,1.800000000000000211e-01,9.227381116435953157e-01,7.718310041490777929e-02,7.878794149699212010e-05
2.760000000000000675e+00,1.800000000000000211e-01,9.266801437813447784e-01,7.324780014798858152e-02,7.205607066651505490e-05
2.800000000000000711e+00,1.800000000000000211e-01,9.303504103319365504e-01,6.958356990350655913e-02,6.601976455704832011e-05
2.840000000000000746e+00,1.800000000000000211e-01,9.337683657789328517e-01,6.617103383388933668e-02,6.060038717784343179e-05
2.880000000000000782e+00,1.800000000000000211e-01,9.369522068165511142e-01,6.299206454997711979e-02,5.572863347181130120e-05
2.920000000000000817e+00,1.800000000000000211e-01,9.399189160188046177e-01,6.002974057387989310e-02,5.134340731552824950e-05
2.960000000000000853e+00,1.800000000000000211e-01,9.426843123370531874e-01,5.726829683226151990e-02,4.739083068532176299e-05
3.000000000000000888e+00,1.800000000000000211e-01,9.452631062424612374e-01,5.469307038742513699e-02,4.382337011375340351e-05
3.040000000000000924e+00,1.800000000000000211e-01,9.476689577169006284e-01,5.229044321545935764e-02,4.059906764003556282e-05
3.080000000000000959e+00,1.800000000000000211e-01,9.499145356354135039e-01,5.004778350003247916e-02,3.768086455401495214e-05
3.120000000000000995e+00,1.800000000000000211e-01,9.520115773773294432e-01,4.795338661535739760e-02,3.503600731320059033e-05
3.160000000000001030e+00,1.800000000000000211e-01,9.539709477545565974e-01,4.599641671939108667e-02,3.263552605225411368e-05
3.200000000000001066e+00,1.800000000000000211e-01,9.558026965581349899e-01,4.416684966477656821e-02,3.045377708843154425e-05
3.240000000000001101e+00,1.800000000000000211e-01,9.575161142018883131e-01,4.245541775636703374e-02,2.846804174473262233e-05
3.280000000000001137e+00,1.800000000000000211e-01,9.591197850890288423e-01,4.085355673631144158e-02,2.665817465970091857e-05
3.320000000000001172e+00,1.800000000000000211e-01,9.606216384478042380e-01,3.935335525666864426e-02,2.500629552713133516e-05
3.360000000000001208e+00,1.800000000000000211e-01,9.620289964794557225e-01,3.794750700163321278e-02,2.349651891114202872e-05
3.400000000000001243e+00,1.800000000000000211e-01,9.633486197392955308e-01,3.662926554328989337e-02,2.211471741469647206e-05
3.440000000000001279e+00,1.800000000000000211e-01,9.645867497326670037e-01,3.539240195328661326e-02,2.084831404643478314e-05
3.480000000000001315e+00,1.800000000000000211e-01,9.657491487546552289e-01,3.423116514520865156e-02,1.968610013605018918e-05
3.520000000000001350e+00,1.800000000000000211e-01,9.668411370380353143e-01,3.314024488636723581e-02,1.861807559725825101e-05
3.560000000000001386e+00,1.800000000000000211e-01,9.678676273001475261e-01,3.211473739111778830e-02,1.763530873459900230e-05
3.600000000000001421e+00,1.800000000000000211e-01,9.688331567979181491e-01,3.115011338894104961e-02,1.672981314079980929e-05
3.640000000000001457e+00,1.800000000000000211e-01,9.697419170126150290e-01,3.024218854784511273e-02,1.589443953990725888e-05
3.680000000000001492e+00,1.800000000000000211e-01,9.705977810933669181e-01,2.938709612593080889e-02,1.512278070233719106e-05
3.720000000000001528e+00,1.800000000000000211e-01,9.714043291920622103e-01,2.858126172014229319e-02,1.440908779551944435e-05
3.760000000000001563e+00,1.800000000000000211e-01,9.721648718228227404e-01,2.782137998043536856e-02,1.374819674173968663e-05
3.800000000000001599e+00,1.800000000000000211e-01,9.728824713775463540e-01,2.710439315911709890e-02,1.313546333655742375e-05
3.840000000000001634e+00,1.800000000000000211e-01,9.735599619256043447e-01,2.642747136835582253e-02,1.256670603993278644e-05
3.880000000000001670e+00,1.800000000000000211e-01,9.741999674211495597e-01,2.578799442335985223e-02,1.203815549072538155e-05
3.920000000000001705e+00,1.800000000000000211e-01,9.748049184359945940e-01,2.518353515408944601e-02,1.154640991602845954e-05
3.960000000000001741e+00,1.800000000000000211e-01,9.753770675299842097e-01,2.461184407430367510e-02,1.108839571209323303e-05
4.000000000000001776e+00,1.800000000000000211e-01,9.759185033644274254e-01,2.407083530300710081e-02,1.066133256533342961e-05
4.040000000000001812e+00,1.800000000000000211e-01,9.764311636576678000e-01,2.355857363977048938e-02,1.026270256181253529e-05
4.080000000000001847e+00,1.800000000000000211e-01,9.769168470753889499e-01,2.307326270180782429e-02,9.890222803215394979e-06
4.120000000000001883e+00,1.800000000000000211e-01,9.773772241418965390e-01,2.261323403699552065e-02,9.541821107927774112e-06
4.160000000000001918e+00,1.800000000000000211e-01,9.778138472524312563e-01,2.217693713314020099e-02,9.215614428651184260e-06
4.200000000000001954e+00,1.800000000000000211e-01,9.782281598606574757e-01,2.176293024967857620e-02,8.909889663982795713e-06
4.240000000000001990e+00,1.800000000000000211e-01,9.786215049098228036e-01,2.136987200359581965e-02,8.623086581479360506e-06
4.280000000000002025e+00,1.800000000000000211e-01,9.789951325707469953e-01,2.099651364664827796e-02,8.353782604667370020e-06
4.320000000000002061e+00,1.800000000000000211e-01,9.793502073447907241e-01,2.064169197596221750e-02,8.100679246935577217e-06
4.360000000000002096e+00,1.800000000000000211e-01,9.796878145852494502e-01,2.030432282474884526e-02,7.862590001829154995e-06
2.000000000000000000e+00,2.200000000000000289e-01,7.434345474147942001e-01,2.558861624976154769e-01,6.792900875903321598e-04
2.040000000000000036e+00,2.200000000000000289e-01,7.584760085886994574e-01,2.409185399879960054e-01,6.054514233045742416e-04
2.080000000000000071e+00,2.200000000000000289e-01,7.727508060561321113e-01,2.267093712820761886e-01,5.398226617918255735e-04
2.120000000000000107e+00,2.200000000000000289e-01,7.862643644767748352e-01,2.132541024955098008e-01,4.815330277153093488e-04
2.160000000000000142e+00,2.200000000000000289e-01,7.990280103284471691e-01,2.005421978422128604e-01,4.297918293399589636e-04
2.200000000000000178e+00,2.200000000000000289e-01,8.110581123042818197e-01,1.885580041444269994e-01,3.838835512912470928e-04
2.240000000000000213e+00,2.200000000000000289e-01,8.223752338017120689e-01,1.772816033870179830e-01,3.431628112700520509e-04
2.280000000000000249e+00,2.200000000000000289e-01,8.330033205512926697e-01,1.666896301840813110e-01,3.070492646259067931e-04
2.320000000000000284e+00,2.200000000000000289e-01,8.429689408100752290e-01,1.567560366538955363e-01,2.750225360292855034e-04
2.360000000000000320e+00,2.200000000000000289e-01,8.523005902557468927e-01,1.474527924950793101e-01,2.466172491737146210e-04
2.400000000000000355e+00,2.200000000000000289e-01,8.610280689946252508e-01,1.387505127905049596e-01,2.214182148697381588e-04
2.440000000000000391e+00,2.200000000000000289e-01,8.691819340721045339e-01,1.306190101016400373e-01,1.990558262553584958e-04
2.480000000000000426e+00,2.200000000000000289e-01,8.767930276002886547e-01,1.230277707016198679e-01,1.792016980915569807e-04
2.520000000000000462e+00,2.200000000000000289e-01,8.838920780837185021e-01,1.159463573403410608e-01,1.615645759404191087e-04
2.560000000000000497e+00,2.200000000000000289e-01,8.905093706759468208e-01,1.093447427931417415e-01,1.458865309114885922e-04
2.600000000000000533e+00,2.200000000000000289e-01,8.966744808556954549e-01,1.031935796974181030e-01,1.319394468863791642e-04
2.640000000000000568e+00,2.200000000000000289e-01,9.024160652766710644e-01,9.746441292351810948e-02,1.195217998107693817e-04
2.680000000000000604e+00,2.200000000000000289e-01,9.077617032221210192e-01,9.212984105510292621e-02,1.084557227758347248e-04
2.720000000000000639e+00,2.200000000000000289e-01,9.127377820908810779e-01,8.716363356300509124e-02,9.858434611377369912e-05
2.760000000000000675e+00,2.200000000000000289e-01,9.173694205720942518e-01,8.254081002943788881e-02,8.976939846791832966e-05
2.800000000000000711e+00,2.200000000000000289e-01,9.216804235588130778e-01,7.823768738858410954e-02,8.188905260294816258e-05
2.840000000000000746e+00,2.200000000000000289e-01,9.256932633465911886e-01,7.423190065498716517e-02,7.483599842177343663e-05
2.880000000000000782e+00,2.200000000000000289e-01,9.294290822143834729e-01,7.050240206053262626e-02,6.851572508381447292e-05
2.920000000000000817e+00,2.200000000000000289e-01,9.329077120551414470e-01,6.702944295074020342e-02,6.284499411819711447e-05
2.960000000000000853e+00,2.200000000000000289e-01,9.361477072856384529e-01,6.379454222850566847e-02,5.775048585599007781e-05
3.000000000000000888e+00,2.200000000000000289e-01,9.391663878006534238e-01,6.078044459709784630e-02,5.316760224865855068e-05
3.040000000000000924e+00,2.200000000000000289e-01,9.419798892335869978e-01,5.797107135631707209e-02,4.903941009599435653e-05
3.080000000000000959e+00,2.200000000000000289e-01,9.446032182369267227e-01,5.535146605327806446e-02,4.531570979518915234e-05
3.120000000000000995e+00,2.200000000000000289e-01,9.470503108987006202e-01,5.290773688541942910e-02,4.195221587980501346e-05
3.160000000000001030e+00,2.200000000000000289e-01,9.493340927648714622e-01,5.062699739833435852e-02,3.890983679428526798e-05
3.200000000000001066e+00,2.200000000000000289e-01,9.514665392443127923e-01,4.849730671317716707e-02,3.615404251009464665e-05
3.240000000000001101e+00,2.200000000000000289e-01,9.534587354355570366e-01,4.650761025473536259e-02,3.365430970769366109e-05
3.280000000000001137e+00,2.200000000000000289e-01,9.553209346366752230e-01,4.464768172801799467e-02,3.138363530682652253e-05
3.320000000000001172e+00,2.200000000000000289e-01,9.570626149856027443e-01,4.290806690428200509e-02,2.931811011514882039e-05
3.360000000000001208e+00,2.200000000000000289e-01,9.586925338321324874e-01,4.128002962259132158e-02,2.743654527622893028e-05
3.400000000000001243e+00,2.200000000000000289e-01,9.602187795687892047e-01,3.975550028618033555e-02,2.572014503042203301e-05
3.440000000000001279e+00,2.200000000000000289e-01,9.616488207497270180e-01,3.832702703021611396e-02,2.415222005683766613e-05
3.480000000000001315e+00,2.200000000000000289e-01,9.629895524081885094e-01,3.698772965546711505e-02,2.271793634430896238e-05
3.520000000000001350e+00,2.200000000000000289e-01,9.642473395471571340e-01,3.573125635769475866e-02,2.140409514796852124e-05
3.560000000000001386e+00,2.200000000000000289e-01,9.654280578274226920e-01,3.455174323244684237e-02,2.019894013054117056e-05
3.600000000000001421e+00,2.200000000000000289e-01,9.665371315148684195e-01,3.344377649686267051e-02,1.909198826901529914e-05
3.640000000000001457e+00,2.200000000000000289e-01,9.675795687765209596e-01,3.240235734194565204e-02,1.807388153330412179e-05
3.680000000000001492e+00,2.200000000000000289e-01,9.685599944345962831e-01,3.142286930868460476e-02,1.713625671917044755e-05
3.720000000000001528e+00,2.200000000000000289e-01,9.694826803010192506e-01,3.050104806783262082e-02,1.627163114814502909e-05
3.760000000000001563e+00,2.200000000000000289e-01,9.703515732229830437e-01,2.963295347477973296e-02,1.547330223724750992e-05
3.800000000000001599e+00,2.200000000000000289e-01,9.711703209741340270e-01,2.881494376667032356e-02,1.473525919547953974e-05
3.840000000000001634e+00,2.200000000000000289e-01,9.719422961268588956e-01,2.804365176781469307e-02,1.405210532641697457e-05
3.880000000000001670e+00,2.200000000000000289e-01,9.726706180396184065e-01,2.731596297077120220e-02,1.341898961050645876e-05
3.920000000000001705e+00,2.200000000000000289e-01,9.733581730899681927e-01,2.662899536362176023e-02,1.283154641024728395e-05
3.960000000000001741e+00,2.200000000000000289e-01,9.740076332792785285e-01,2.598008087843212133e-02,1.228584228932311062e-05
4.000000000000001776e+00,2.200000000000000289e-01,9.746214733296546529e-01,2.536674834127975592e-02,1.177832906563098897e-05
4.040000000000001812e+00,2.200000000000000289e-01,9.752019863874400452e-01,2.478670781022970435e-02,1.130580233042430846e-05
