sepal length (cm),petal width (cm),setosa,versicolor,virginica
7.299999999999980282e+00,1.000000000000000056e-01,9.681745208666269198e-01,3.181922372961744350e-02,6.255403755544355497e-06
7.359999999999979892e+00,1.000000000000000056e-01,9.682749554350524868e-01,3.171884178755545597e-02,6.202777391892674443e-06
7.419999999999979501e+00,1.000000000000000056e-01,9.683743224768730506e-01,3.161952657136164746e-02,6.150951765454840071e-06
7.479999999999979110e+00,1.000000000000000056e-01,9.684726330847832632e-01,3.152126700265468762e-02,6.099912561867243119e-06
7.539999999999978719e+00,1.000000000000000056e-01,9.685698982203400087e-01,3.142405213389753288e-02,6.049645762465135699e-06
7.599999999999978328e+00,1.000000000000000056e-01,9.686661287155526878e-01,3.132787114680993940e-02,6.000137637519486575e-06
7.659999999999977938e+00,1.000000000000000056e-01,9.687613352744610662e-01,3.123271335079930502e-02,5.951374739641007693e-06
7.719999999999977547e+00,1.000000000000000056e-01,9.688555284746941387e-01,3.113856818140852897e-02,5.903343897347103277e-06
7.779999999999977156e+00,1.000000000000000056e-01,9.689487187690095649e-01,3.104542519878171480e-02,5.856032208787292849e-06
7.839999999999976765e+00,1.000000000000000056e-01,9.690409164868174496e-01,3.095327408614687373e-02,5.809427035622929780e-06
4.299999999999999822e+00,1.400000000000000133e-01,9.561265858944058005e-01,4.385994493764175384e-02,1.346916795254807811e-05
4.359999999999999432e+00,1.400000000000000133e-01,9.563334541467642946e-01,4.365324304979955466e-02,1.330280343609034295e-05
4.419999999999999041e+00,1.400000000000000133e-01,9.565381103595966827e-01,4.344875018944239359e-02,1.313945096106795452e-05
4.479999999999998650e+00,1.400000000000000133e-01,9.567405788101017716e-01,4.324644214261644248e-02,1.297904728173604923e-05
4.539999999999998259e+00,1.400000000000000133e-01,9.569408834977169986e-01,4.304629497164901702e-02,1.282153063397884443e-05
4.599999999999997868e+00,1.400000000000000133e-01,9.571390481469042033e-01,4.284828501239797138e-02,1.266684069787974550e-05
4.659999999999997478e+00,1.400000000000000133e-01,9.573350962099266281e-01,4.265238887151209107e-02,1.251491856128727389e-05
4.719999999999997087e+00,1.400000000000000133e-01,9.575290508696130409e-01,4.245858342370251171e-02,1.236570668434982136e-05
4.779999999999996696e+00,1.400000000000000133e-01,9.577209350421098666e-01,4.226684580902489996e-02,1.221914886499196944e-05
4.839999999999996305e+00,1.400000000000000133e-01,9.579107713796197743e-01,4.207715343017482540e-02,1.207519020530756948e-05
4.899999999999995914e+00,1.400000000000000133e-01,9.580985822731261647e-01,4.188948394979505330e-02,1.193377707884328828e-05
4.959999999999995524e+00,1.400000000000000133e-01,9.582843898551052231e-01,4.170381528779611158e-02,1.179485709874925268e-05
5.019999999999995133e+00,1.400000000000000133e-01,9.584682160022227615e-01,4.152012561869050655e-02,1.165837908677203982e-05
5.079999999999994742e+00,1.400000000000000133e-01,9.586500823380157410e-01,4.133839336894118421e-02,1.152429304306791870e-05
5.139999999999994351e+00,1.400000000000000133e-01,9.588300102355590271e-01,4.115859721432420931e-02,1.139255011681316675e-05
5.199999999999993960e+00,1.400000000000000133e-01,9.590080208201162693e-01,4.098071607730602306e-02,1.126310257758960961e-05
5.259999999999993570e+00,1.400000000000000133e-01,9.591841349717755705e-01,4.080472912443710437e-02,1.113590378752514163e-05
5.319999999999993179e+00,1.400000000000000133e-01,9.593583733280661718e-01,4.063061576375961298e-02,1.101090817416701129e-05
5.379999999999992788e+00,1.400000000000000133e-01,9.595307562865637019e-01,4.045835564223236591e-02,1.088807120406921459e-05
5.439999999999992397e+00,1.400000000000000133e-01,9.597013040074711121e-01,4.028792864317167627e-02,1.076734935707402689e-05
5.499999999999992006e+00,1.400000000000000133e-01,9.598700364161901755e-01,4.011931488370853310e-02,1.064870010126826428e-05
5.559999999999991616e+00,1.400000000000000133e-01,9.600369732058684491e-01,3.995249471226287874e-02,1.053208186859648506e-05
5.619999999999991225e+00,1.400000000000000133e-01,9.602021338399335804e-01,3.978744870603524025e-02,1.041745403111306069e-05
5.679999999999990834e+00,1.400000000000000133e-01,9.603655375546066297e-01,3.962415766851549309e-02,1.030477687785534391e-05
5.739999999999990443e+00,1.400000000000000133e-01,9.605272033613982963e-01,3.946260262700945765e-02,1.019401159232154033e-05
5.799999999999990052e+00,1.400000000000000133e-01,9.606871500495862692e-01,3.930276483018325245e-02,1.008512023053638544e-05
5.859999999999989662e+00,1.400000000000000133e-01,9.608453961886745942e-01,3.914462574562577873e-02,9.978065699688887238e-06
5.919999999999989271e+00,1.400000000000000133e-01,9.610019601308328330e-01,3.898816705742976646e-02,9.872811737326366304e-06
5.979999999999988880e+00,1.400000000000000133e-01,9.611568600133180151e-01,3.883337066379085462e-02,9.769322891090064938e-06
6.039999999999988489e+00,1.400000000000000133e-01,9.613101137608754954e-01,3.868021867462545504e-02,9.667564498977031492e-06
6.099999999999988098e+00,1.400000000000000133e-01,9.614617390881223802e-01,3.852869340920755253e-02,9.567502670114503641e-06
6.159999999999987708e+00,1.400000000000000133e-01,9.616117535019097495e-01,3.837877739382426073e-02,9.469104266032629951e-06
6.219999999999987317e+00,1.400000000000000133e-01,9.617601743036668926e-01,3.823045335945064738e-02,9.372336882422187260e-06
6.279999999999986926e+00,1.400000000000000133e-01,9.619070185917254490e-01,3.808370423944329453e-02,9.277168831364014100e-06
6.339999999999986535e+00,1.400000000000000133e-01,9.620523032636225658e-01,3.793851316725346118e-02,9.183569124017292029e-06
6.399999999999986144e+00,1.400000000000000133e-01,9.621960450183864033e-01,3.779486347415969560e-02,9.091507453754821492e-06
6.459999999999985754e+00,1.400000000000000133e-01,9.623382603588006567e-01,3.765273868701958515e-02,9.000954179732430872e-06
6.519999999999985363e+00,1.400000000000000133e-01,9.624789655936480948e-01,3.751212252604100433e-02,8.911880310881368386e-06
6.579999999999984972e+00,1.400000000000000133e-01,9.626181768399362237e-01,3.737299890257336082e-02,8.824257490312028415e-06
6.639999999999984581e+00,1.400000000000000133e-01,9.627559100251019686e-01,3.723535191691796503e-02,8.738057980118146557e-06
6.699999999999984190e+00,1.400000000000000133e-01,9.628921808891951484e-01,3.709916585615819634e-02,8.653254646570248656e-06
6.759999999999983800e+00,1.400000000000000133e-01,9.630270049870447435e-01,3.696442519200963256e-02,8.569820945688367316e-06
6.819999999999983409e+00,1.400000000000000133e-01,9.631603976904014042e-01,3.683111457868945560e-02,8.487730909183565021e-06
6.879999999999983018e+00,1.400000000000000133e-01,9.632923741900635273e-01,3.669921885080581342e-02,8.406959130758292603e-06
6.939999999999982627e+00,1.400000000000000133e-01,9.634229494979801300e-01,3.656872302126711743e-02,8.327480752756328373e-06
6.999999999999982236e+00,1.400000000000000133e-01,9.635521384493364039e-01,3.643961227921030388e-02,8.249271453152301229e-06
7.059999999999981846e+00,1.400000000000000133e-01,9.636799557046170639e-01,3.631187198794998822e-02,8.172307432872437526e-06
7.119999999999981455e+00,1.400000000000000133e-01,9.638064157516504915e-01,3.618548768294613249e-02,8.096565403437029699e-06
7.179999999999981064e+00,1.400000000000000133e-01,9.639315329076327821e-01,3.606044506979227265e-02,8.022022574916462924e-06
7.239999999999980673e+00,1.400000000000000133e-01,9.640553213211330297e-01,3.593673002222272372e-02,7.948656644192136377e-06
7.299999999999980282e+00,1.400000000000000133e-01,9.641777949740762965e-01,3.581432858014015758e-02,7.876445783514403367e-06
7.359999999999979892e+00,1.400000000000000133e-01,9.642989676837089297e-01,3.569322694766172144e-02,7.805368629349270087e-06
7.419999999999979501e+00,1.400000000000000133e-01,9.644188531045426727e-01,3.557341149118580653e-02,7.735404271506639645e-06
7.479999999999979110e+00,1.400000000000000133e-01,9.645374647302803472e-01,3.545486873747719786e-02,7.666532242542066418e-06
7.539999999999978719e+00,1.400000000000000133e-01,9.646548158957199970e-01,3.533758537177265902e-02,7.598732507425246172e-06
7.599999999999978328e+00,1.400000000000000133e-01,9.647709197786416002e-01,3.522154823590493283e-02,7.531985453467813450e-06
7.659999999999977938e+00,1.400000000000000133e-01,9.648857894016729109e-01,3.510674432644661502e-02,7.466271880503747061e-06
7.719999999999977547e+00,1.400000000000000133e-01,9.649994376341356483e-01,3.499316079287297099e-02,7.401572991315672623e-06
7.779999999999977156e+00,1.400000000000000133e-01,9.651118771938739238e-01,3.488078493574398725e-02,7.337870382300388380e-06
7.839999999999976765e+00,1.400000000000000133e-01,9.652231206490606841e-01,3.476960420490507464e-02,7.275146034367646114e-06
4.299999999999999822e+00,1.800000000000000211e-01,9.496904312058384035e-01,5.029177210953880706e-02,1.779668462286468312e-05
4.359999999999999432e+00,1.800000000000000211e-01,9.499409348745356807e-01,5.004150160835701966e-02,1.756351710729330291e-05
4.419999999999999041e+00,1.800000000000000211e-01,9.501887607596266605e-01,4.979390454249816439e-02,1.733469787537584233e-05
4.479999999999998650e+00,1.800000000000000211e-01,9.504339380947243177e-01,4.954895177186176281e-02,1.711013341400799447e-05
4.539999999999998259e+00,1.800000000000000211e-01,9.506764957897582136e-01,4.930661447780304574e-02,1.688973243878919201e-05
4.599999999999997868e+00,1.800000000000000211e-01,9.509164624338695138e-01,4.906686416029344688e-02,1.667340583707737159e-05
4.659999999999997478e+00,1.800000000000000211e-01,9.511538662983088921e-01,4.882967263507857064e-02,1.646106661256674746e-05
4.719999999999997087e+00,1.800000000000000211e-01,9.513887353393323254e-01,4.859501203083639587e-02,1.625262983134692388e-05
4.779999999999996696e+00,1.800000000000000211e-01,9.516210972010952229e-01,4.836285478633524371e-02,1.604801256940265118e-05
4.839999999999996305e+00,1.800000000000000211e-01,9.518509792185445573e-01,4.813317364759384098e-02,1.584713386151510633e-05
4.899999999999995914e+00,1.800000000000000211e-01,9.520784084203061104e-01,4.790594166504245910e-02,1.564991465152558539e-05
4.959999999999995524e+00,1.800000000000000211e-01,9.523034115315676118e-01,4.768113219068863262e-02,1.545627774392514461e-05
5.019999999999995133e+00,1.800000000000000211e-01,9.525260149769571028e-01,4.745871887528602812e-02,1.526614775673332413e-05
5.079999999999994742e+00,1.800000000000000211e-01,9.527462448834157493e-01,4.723867566550857267e-02,1.507945107563070569e-05
5.139999999999994351e+00,1.800000000000000211e-01,9.529641270830598865e-01,4.702097680113083433e-02,1.489611580931151124e-05
5.199999999999993960e+00,1.800000000000000211e-01,9.531796871160400642e-01,4.680559681221389823e-02,1.471607174602173424e-05
5.259999999999993570e+00,1.800000000000000211e-01,9.533929502333891026e-01,4.659251051629965251e-02,1.453925031125165320e-05
5.319999999999993179e+00,1.800000000000000211e-01,9.536039413998607106e-01,4.638169301561272800e-02,1.436558452655031151e-05
5.379999999999992788e+00,1.800000000000000211e-01,9.538126852967598879e-01,4.617311969427074364e-02,1.419500896943144837e-05
5.439999999999992397e+00,1.800000000000000211e-01,9.540192063247610044e-01,4.596676621550469660e-02,1.402745973434098391e-05
5.499999999999992006e+00,1.800000000000000211e-01,9.542235286067159983e-01,4.576260851888914322e-02,1.386287439465752875e-05
5.559999999999991616e+00,1.800000000000000211e-01,9.544256759904516940e-01,4.556062281758258697e-02,1.370119196569670214e-05
5.619999999999991225e+00,1.800000000000000211e-01,9.546256720515510219e-01,4.536078559558014145e-02,1.354235286869294649e-05
5.679999999999990834e+00,1.800000000000000211e-01,9.548235400961275765e-01,4.516307360497673340e-02,1.338629889573114864e-05
5.739999999999990443e+00,1.800000000000000211e-01,9.550193031635803020e-01,4.496746386324396161e-02,1.323297317560306202e-05
5.799999999999990052e+00,1.800000000000000211e-01,9.552129840293404062e-01,4.477393365051893226e-02,1.308232014056229847e-05
5.859999999999989662e+00,1.800000000000000211e-01,9.554046052075996220e-01,4.458246050690638923e-02,1.293428549395414427e-05
5.919999999999989271e+00,1.800000000000000211e-01,9.555941889540255918e-01,4.439302222979566587e-02,1.278881617869635795e-05
5.979999999999988880e+00,1.800000000000000211e-01,9.557817572684628171e-01,4.420559687119061248e-02,1.264586034658683317e-05
6.039999999999988489e+00,1.800000000000000211e-01,9.559673318976165124e-01,4.402016273505515026e-02,1.250536732841686283e-05
6.099999999999988098e+00,1.800000000000000211e-01,9.561509343377214698e-01,4.383669837467360497e-02,1.236728760486716828e-05
6.159999999999987708e+00,1.800000000000000211e-01,9.563325858371954924e-01,4.365518259002627161e-02,1.223157277816561618e-05
6.219999999999987317e+00,1.800000000000000211e-01,9.565123073992745084e-01,4.347559442518109107e-02,1.209817554448615865e-05
6.279999999999986926e+00,1.800000000000000211e-01,9.566901197846314764e-01,4.329791316570143211e-02,1.196704966706846293e-05
6.339999999999986535e+00,1.800000000000000211e-01,9.568660435139796361e-01,4.312211833607026978e-02,1.183814995003890119e-05
6.399999999999986144e+00,1.800000000000000211e-01,9.570400988706559975e-01,4.294818969713097567e-02,1.171143221291367471e-05
6.459999999999985754e+00,1.800000000000000211e-01,9.572123059031882875e-01,4.277610724354587862e-02,1.158685326576596274e-05
6.519999999999985363e+00,1.800000000000000211e-01,9.573826844278435777e-01,4.260585120127126368e-02,1.146437088503840197e-05
6.579999999999984972e+00,1.800000000000000211e-01,9.575512540311594822e-01,4.243740202505041220e-02,1.134394378998387986e-05
6.639999999999984581e+00,1.800000000000000211e-01,9.577180340724559260e-01,4.227074039592440546e-02,1.122553161971779431e-05
6.699999999999984190e+00,1.800000000000000211e-01,9.578830436863282616e-01,4.210584721876104580e-02,1.110909491086445603e-05
6.759999999999983800e+00,1.800000000000000211e-01,9.580463017851222896e-01,4.194270361980186046e-02,1.099459507578266498e-05
6.819999999999983409e+00,1.800000000000000211e-01,9.582078270613911819e-01,4.178129094422764617e-02,1.088199438135354394e-05
6.879999999999983018e+00,1.800000000000000211e-01,9.583676379903294240e-01,4.162159075374233241e-02,1.077125592831654628e-05
6.939999999999982627e+00,1.800000000000000211e-01,9.585257528321925458e-01,4.146358482417612790e-02,1.066234363113822556e-05
6.999999999999982236e+00,1.800000000000000211e-01,9.586821896346942040e-01,4.130725514310736035e-02,1.055522219839955351e-05
7.059999999999981846e+00,1.800000000000000211e-01,9.588369662353833922e-01,4.115258390750294037e-02,1.044985711368781221e-05
7.119999999999981455e+00,1.800000000000000211e-01,9.589901002640045524e-01,4.099955352137833048e-02,1.034621461697933506e-05
7.179999999999981064e+00,1.800000000000000211e-01,9.591416091448358161e-01,4.084814659347754673e-02,1.024426168650030471e-05
7.239999999999980673e+00,1.800000000000000211e-01,9.592915100990081489e-01,4.069834593497086150e-02,1.014396602105212479e-05
7.299999999999980282e+00,1.800000000000000211e-01,9.594398201468038456e-01,4.055013455717339926e-02,1.004529602278950708e-05
7.359999999999979892e+00,1.800000000000000211e-01,9.595865561099369279e-01,4.040349566928274488e-02,9.948220780438487242e-06
7.419999999999979501e+00,1.800000000000000211e-01,9.597317346138107830e-01,4.025841267613627927e-02,9.852710052943317045e-06
7.479999999999979110e+00,1.800000000000000211e-01,9.598753720897584829e-01,4.011486917598787449e-02,9.758734253529968084e-06
7.539999999999978719e+00,1.800000000000000211e-01,9.600174847772612319e-01,3.997284895830466311e-02,9.666264434175682725e-06
7.599999999999978328e+00,1.800000000000000211e-01,9.601580887261460528e-01,3.983233600158353482e-02,9.575272270473305104e-06
7.659999999999977938e+00,1.800000000000000211e-01,9.602971997987658215e-01,3.969331447118710360e-02,9.485730046880210824e-06
7.719999999999977547e+00,1.800000000000000211e-01,9.604348336721578727e-01,3.955576871719972826e-02,9.397610642341116990e-06
7.779999999999977156e+00,1.800000000000000211e-01,9.605710058401801810e-01,3.941968327230350316e-02,9.310887516275292595e-06
7.839999999999976765e+00,1.800000000000000211e-01,9.607057316156315530e-01,3.928504284967347659e-02,9.225534694918018417e-06
4.299999999999999822e+00,2.200000000000000289e-01,9.419628819206044001e-01,5.801327016601121739e-02,2.384791338449964042e-05
4.359999999999999432e+00,2.200000000000000289e-01,9.422670297799661254e-01,5.770945295758916904e-02,2.351726244485577671e-05
4.419999999999999041e+00,2.200000000000000289e-01,9.425679345546852383e-01,5.740887248761604444e-02,2.319295769857994586e-05
4.479999999999998650e+00,2.200000000000000289e-01,9.428656312637786474e-01,5.711149387664350013e-02,2.287485957784862574e-05
4.539999999999998259e+00,2.200000000000000289e-01,9.431601545562378064e-01,5.681728261186962808e-02,2.256283189259840533e-05
4.599999999999997868e+00,2.200000000000000289e-01,9.434515387137873965e-01,5.652620454446913301e-02,2.225674174344509907e-05
4.659999999999997478e+00,2.200000000000000289e-01,9.437398176536632155e-01,5.623822588689979252e-02,2.195645943693610820e-05
4.719999999999997087e+00,2.200000000000000289e-01,9.440250249314090514e-01,5.595331321018790632e-02,2.166185840307363348e-05
4.779999999999996696e+00,2.200000000000000289e-01,9.443071937436907648e-01,5.567143344119420550e-02,2.137281511504523203e-05
4.839999999999996305e+00,2.200000000000000289e-01,9.445863569311266916e-01,5.539255385986224800e-02,2.108920901110326624e-05
4.899999999999995914e+00,2.200000000000000289e-01,9.448625469811319233e-01,5.511664209644966117e-02,2.081092241853362048e-05
4.959999999999995524e+00,2.200000000000000289e-01,9.451357960307742445e-01,5.484366612874597147e-02,2.053784047965750010e-05
5.019999999999995133e+00,2.200000000000000289e-01,9.454061358696445039e-01,5.457359427927574447e-02,2.026985107981020543e-05
5.079999999999994742e+00,2.200000000000000289e-01,9.456735979427316474e-01,5.430639521249110147e-02,2.000684477724397486e-05
5.139999999999994351e+00,2.200000000000000289e-01,9.459382133533115189e-01,5.404203793195361955e-02,1.974871473490123945e-05
5.199999999999993960e+00,2.200000000000000289e-01,9.462000128658397680e-01,5.378049177750621190e-02,1.949535665400802927e-05
5.259999999999993570e+00,2.200000000000000289e-01,9.464590269088514196e-01,5.352172642243902684e-02,1.924666870943844097e-05
5.319999999999993179e+00,2.200000000000000289e-01,9.467152855778659948e-01,5.326571187064711027e-02,1.900255148680042534e-05
5.379999999999992788e+00,2.200000000000000289e-01,9.469688186382941852e-01,5.301241845378474454e-02,1.876290792119718228e-05
5.439999999999992397e+00,2.200000000000000289e-01,9.472196555283489694e-01,5.276181682841325077e-02,1.852764323761771180e-05
5.499999999999992006e+00,2.200000000000000289e-01,9.474678253619580603e-01,5.251387797314903405e-02,1.829666489291333932e-05
5.559999999999991616e+00,2.200000000000000289e-01,9.477133569316738004e-01,5.226857318580691719e-02,1.806988251931460095e-05
5.619999999999991225e+00,2.200000000000000289e-01,9.479562787115857203e-01,5.202587408054468177e-02,1.784720786944926082e-05
5.679999999999990834e+00,2.200000000000000289e-01,9.481966188602301004e-01,5.178575258500713041e-02,1.762855476281857019e-05
5.739999999999990443e+00,2.200000000000000289e-01,9.484344052234948697e-01,5.154818093747143976e-02,1.741383903369262526e-05
5.799999999999990052e+00,2.200000000000000289e-01,9.486696653375241706e-01,5.131313168399531666e-02,1.720297848038654449e-05
5.859999999999989662e+00,2.200000000000000289e-01,9.489024264316164858e-01,5.108057767556767326e-02,1.699589281587897294e-05
5.919999999999989271e+00,2.200000000000000289e-01,9.491327154311165470e-01,5.085049206526379845e-02,1.679250361973725351e-05
5.979999999999988880e+00,2.200000000000000289e-01,9.493605589603035799e-01,5.062284830540519920e-02,1.659273429131268682e-05
6.039999999999988489e+00,2.200000000000000289e-01,9.495859833452700016e-01,5.039762014472565915e-02,1.639651000417247616e-05
6.099999999999988098e+00,2.200000000000000289e-01,9.498090146167952330e-01,5.017478162554304955e-02,1.620375766173330037e-05
6.159999999999987708e+00,2.200000000000000289e-01,9.500296785132065214e-01,4.995430708093939048e-02,1.601440585406503582e-05
6.219999999999987317e+00,2.200000000000000289e-01,9.502480004832362104e-01,4.973617113194798295e-02,1.582838481583197568e-05
6.279999999999986926e+00,2.200000000000000289e-01,9.504640056888645772e-01,4.952034868474998464e-02,1.564562638534071823e-05
6.339999999999986535e+00,2.200000000000000289e-01,9.506777190081553419e-01,4.930681492787995779e-02,1.546606396466515567e-05
6.399999999999986144e+00,2.200000000000000289e-01,9.508891650380771887e-01,4.909554532944182537e-02,1.528963248081864992e-05
6.459999999999985754e+00,2.200000000000000289e-01,9.510983680973171817e-01,4.888651563433497882e-02,1.511626834794492800e-05
6.519999999999985363e+00,2.200000000000000289e-01,9.513053522290774167e-01,4.867970186149199463e-02,1.494590943050047876e-05
6.579999999999984972e+00,2.200000000000000289e-01,9.515101412038645678e-01,4.847508030112799432e-02,1.477849500740129990e-05
6.639999999999984581e+00,2.200000000000000289e-01,9.517127585222605601e-01,4.827262751200239732e-02,1.461396573710772044e-05
6.699999999999984190e+00,2.200000000000000289e-01,9.519132274176828057e-01,4.807232031869361488e-02,1.445226362362168615e-05
6.759999999999983800e+00,2.200000000000000289e-01,9.521115708591296745e-01,4.787413580888678216e-02,1.429333198337232825e-05
6.819999999999983409e+00,2.200000000000000289e-01,9.523078115539116428e-01,4.767805133067540974e-02,1.413711541296493160e-05
6.879999999999983018e+00,2.200000000000000289e-01,9.525019719503646787e-01,4.748404448987757903e-02,1.398355975777092859e-05
6.939999999999982627e+00,2.200000000000000289e-01,9.526940742405523022e-01,4.729209314736630698e-02,1.383261208133484103e-05
6.999999999999982236e+00,2.200000000000000289e-01,9.528841403629491058e-01,4.710217541641535666e-02,1.368422063557728238e-05
7.059999999999981846e+00,2.200000000000000289e-01,9.530721920051079543e-01,4.691426966006031346e-02,1.353833483177185144e-05
7.119999999999981455e+00,2.200000000000000289e-01,9.532582506063124184e-01,4.672835448847533629e-02,1.339490521227482505e-05
7.179999999999981064e+00,2.200000000000000289e-01,9.534423373602106677e-01,4.654440875636631919e-02,1.325388342298791365e-05
7.239999999999980673e+00,2.200000000000000289e-01,9.536244732174330441e-01,4.636241156038056060e-02,1.311522218653372735e-05
7.299999999999980282e+00,2.200000000000000289e-01,9.538046788881912041e-01,4.618234223653275988e-02,1.297887527612503651e-05
7.359999999999979892e+00,2.200000000000000289e-01,9.539829748448613866e-01,4.600418035764838876e-02,1.284479749010885669e-05
