sepal length (cm),petal length (cm),setosa,versicolor,virginica
7.359999999999994991e+00,2.474999999999999645e+00,9.039775421886173667e-01,8.014007040225122613e-02,1.588238740913134467e-02
7.539999999999994706e+00,2.474999999999999645e+00,9.140132366305459000e-01,7.202141086890975763e-02,1.396535250054437710e-02
7.719999999999994422e+00,2.474999999999999645e+00,9.225695216764723261e-01,6.506750347870501883e-02,1.236297484482271579e-02
4.299999999999999822e+00,2.769999999999999574e+00,2.169361763488574790e-01,5.342811902611718233e-01,2.487826333899706699e-01
4.479999999999999538e+00,2.769999999999999574e+00,2.440415456234617531e-01,5.257580303150641843e-01,2.302004240614741459e-01
4.659999999999999254e+00,2.769999999999999574e+00,2.744386504554646167e-01,5.137230566737019943e-01,2.118382928708332502e-01
4.839999999999998970e+00,2.769999999999999574e+00,3.081915081532753953e-01,4.980507143227563827e-01,1.937577775239682498e-01
5.019999999999998685e+00,2.769999999999999574e+00,3.452144791585961547e-01,4.787442940696988725e-01,1.760412267717049450e-01
5.199999999999998401e+00,2.769999999999999574e+00,3.852350742831930352e-01,4.559698057320925035e-01,1.587951199847144890e-01
5.379999999999998117e+00,2.769999999999999574e+00,4.277716056946089807e-01,4.300790798975661078e-01,1.421493144078249116e-01
5.559999999999997833e+00,2.769999999999999574e+00,4.721358751995864966e-01,4.016131014871808236e-01,1.262510233132327631e-01
5.739999999999997549e+00,2.769999999999999574e+00,5.174677434209283833e-01,3.712787934411052593e-01,1.112534631379662742e-01
5.919999999999997264e+00,2.769999999999999574e+00,5.628012473058152665e-01,3.398980838321820630e-01,9.730066886200257337e-02
6.099999999999996980e+00,2.769999999999999574e+00,6.071528443206777315e-01,3.083357532775185539e-01,8.451140240180372853e-02
6.279999999999996696e+00,2.769999999999999574e+00,6.496149847386580856e-01,2.774193230736244353e-01,7.296569218771753462e-02
6.459999999999996412e+00,2.769999999999999574e+00,6.894360559307072256e-01,2.478669894248011485e-01,6.269695464449154265e-02
6.639999999999996128e+00,2.769999999999999574e+00,7.260719889298787866e-01,2.202369597036806514e-01,5.369105136644052728e-02
6.819999999999995843e+00,2.769999999999999574e+00,7.592034851839448706e-01,1.949047933537184085e-01,4.589172146233675559e-02
6.999999999999995559e+00,2.769999999999999574e+00,7.887220264783268986e-01,1.720675979589478821e-01,3.921037556272517072e-02
7.179999999999995275e+00,2.769999999999999574e+00,8.146941264445055619e-01,1.517681893044648678e-01,3.353768425102950090e-02
7.359999999999994991e+00,2.769999999999999574e+00,8.373152870530556902e-01,1.339300199323060769e-01,2.875469301463821556e-02
7.539999999999994706e+00,2.769999999999999574e+00,8.568635621600602104e-01,1.183944555434997825e-01,2.474198229644010427e-02
7.719999999999994422e+00,2.769999999999999574e+00,8.736592663628749422e-01,1.049544804179665114e-01,2.138625321915851168e-02
4.299999999999999822e+00,3.064999999999999503e+00,1.338517477238981568e-01,5.517300395685034164e-01,3.144182127075983990e-01
4.479999999999999538e+00,3.064999999999999503e+00,1.494369927381618279e-01,5.545119425356778153e-01,2.960510647261603845e-01
4.659999999999999254e+00,3.064999999999999503e+00,1.672716790616975147e-01,5.549079610570597509e-01,2.778203598812425956e-01
4.839999999999998970e+00,3.064999999999999503e+00,1.876405129793639881e-01,5.526088983539891863e-01,2.597505886666467978e-01
5.019999999999998685e+00,3.064999999999999503e+00,2.108235036782310223e-01,5.473145363149491960e-01,2.418619600068198650e-01
5.199999999999998401e+00,3.064999999999999503e+00,2.370727142111073993e-01,5.387520145678291739e-01,2.241752712210633436e-01
5.379999999999998117e+00,3.064999999999999503e+00,2.665807902379871974e-01,5.267011565254109406e-01,2.067180532366018342e-01
5.559999999999997833e+00,3.064999999999999503e+00,2.994422904677379038e-01,5.110263556597970380e-01,1.895313538724651137e-01
5.739999999999997549e+00,3.064999999999999503e+00,3.356113830539407816e-01,4.917125451398243197e-01,1.726760718062348432e-01
5.919999999999997264e+00,3.064999999999999503e+00,3.748626138230898852e-01,4.689000452380515105e-01,1.562373409388586876e-01
6.099999999999996980e+00,3.064999999999999503e+00,4.167642491096565371e-01,4.429104556825244621e-01,1.403252952078190841e-01
6.279999999999996696e+00,3.064999999999999503e+00,4.606746197986402169e-01,4.142545196299275423e-01,1.250708605714322408e-01
6.459999999999996412e+00,3.064999999999999503e+00,5.057693901851707530e-01,3.836144419558525920e-01,1.106161678589767799e-01
6.639999999999996128e+00,3.064999999999999503e+00,5.511012160600277099e-01,3.517981534497396368e-01,9.710063049023262560e-02
6.819999999999995843e+00,3.064999999999999503e+00,5.956843013689401278e-01,3.196704864907833898e-01,8.464521214027652396e-02
6.999999999999995559e+00,3.064999999999999503e+00,6.385882939149163384e-01,2.880734456934919141e-01,7.333826039159180299e-02
7.179999999999995275e+00,3.064999999999999503e+00,6.790225052141216633e-01,2.577514722964220351e-01,6.322602248945645431e-02
7.359999999999994991e+00,3.064999999999999503e+00,7.163943987874913377e-01,2.292959758665875369e-01,5.430962534592101432e-02
7.539999999999994706e+00,3.064999999999999503e+00,7.503343008948515358e-01,2.031172307946965128e-01,4.654846831045177102e-02
7.719999999999994422e+00,3.064999999999999503e+00,7.806876824428680139e-01,1.794439039579219797e-01,3.986841359920999250e-02
4.299999999999999822e+00,3.359999999999999432e+00,8.729225116000602358e-02,5.361776562304793048e-01,3.765300926095146439e-01
4.479999999999999538e+00,3.359999999999999432e+00,9.606639002597194832e-02,5.455292245045626487e-01,3.584043854694654585e-01
4.659999999999999254e+00,3.359999999999999432e+00,1.060779153025894067e-01,5.535953560734891976e-01,3.403267286239213263e-01
4.839999999999998970e+00,3.359999999999999432e+00,1.175229637344060857e-01,5.601252309788989914e-01,3.223518052866948813e-01
5.019999999999998685e+00,3.359999999999999432e+00,1.306244407100944083e-01,5.648522987608139978e-01,3.045232605290915107e-01
5.199999999999998401e+00,3.359999999999999432e+00,1.456311540516668224e-01,5.674957155202446923e-01,2.868731304280884298e-01
5.379999999999998117e+00,3.359999999999999432e+00,1.628139844354340449e-01,5.677636037740940722e-01,2.694224117904718274e-01
5.559999999999997833e+00,3.359999999999999432e+00,1.824577008587225657e-01,5.653593285089906217e-01,2.521829706322868403e-01
5.739999999999997549e+00,3.359999999999999432e+00,2.048468502404772185e-01,5.599922247419739652e-01,2.351609250175488719e-01
5.919999999999997264e+00,3.359999999999999432e+00,2.302442542698184269e-01,5.513942301121053102e-01,2.183615156180764016e-01
6.099999999999996980e+00,3.359999999999999432e+00,2.588612796640340497e-01,5.393434558977528992e-01,2.017952644382130512e-01
6.279999999999996696e+00,3.359999999999999432e+00,2.908204728898090563e-01,5.236946295275799468e-01,1.854848975826110524e-01
6.459999999999996412e+00,3.359999999999999432e+00,3.261135071623589843e-01,5.044144042075086043e-01,1.694720886301324669e-01
6.639999999999996128e+00,3.359999999999999432e+00,3.645604643078157459e-01,4.816168813016460937e-01,1.538226543905380217e-01
6.819999999999995843e+00,3.359999999999999432e+00,4.057794601635978382e-01,4.555919544937941934e-01,1.386285853426079684e-01
6.999999999999995559e+00,3.359999999999999432e+00,4.491770855879738122e-01,4.268174567042556933e-01,1.240054577077704112e-01
7.179999999999995275e+00,3.359999999999999432e+00,4.939684530885757319e-01,3.959470117883619467e-01,1.100845351230622104e-01
7.359999999999994991e+00,3.359999999999999432e+00,5.392299750793000390e-01,3.637698429724987581e-01,9.700018194820128614e-02
7.539999999999994706e+00,3.359999999999999432e+00,5.839793584616985722e-01,3.311459433383194817e-01,8.487469819998201548e-02
7.719999999999994422e+00,3.359999999999999432e+00,6.272687399042808920e-01,2.989275351919853940e-01,7.380372490373382499e-02
4.299999999999999822e+00,3.654999999999999361e+00,6.087511385733564845e-02,5.036518031608701040e-01,4.354730829817943238e-01
4.479999999999999538e+00,3.654999999999999361e+00,6.601253316786315217e-02,5.160874550334692001e-01,4.179000117986675922e-01
4.659999999999999254e+00,3.654999999999999361e+00,7.180617313663419099e-02,5.280123499323244873e-01,4.001814769310413356e-01
4.839999999999998970e+00,3.654999999999999361e+00,7.835840231871592232e-02,5.392442772190477740e-01,3.823973204622364008e-01
5.019999999999998685e+00,3.654999999999999361e+00,8.578969389056516348e-02,5.495872192084845231e-01,3.646230869009502440e-01
5.199999999999998401e+00,3.654999999999999361e+00,9.424131927629524064e-02,5.588314113293667562e-01,3.469272693943379893e-01
5.379999999999998117e+00,3.654999999999999361e+00,1.038779661883991595e-01,5.667531620365159339e-01,3.293688717750848927e-01
5.559999999999997833e+00,3.654999999999999361e+00,1.148899555154733049e-01,5.731145563244173236e-01,3.119954881601094132e-01
5.739999999999997549e+00,3.654999999999999361e+00,1.274945477949009087e-01,5.776633542962307244e-01,2.948420979088684502e-01
5.919999999999997264e+00,3.654999999999999361e+00,1.419355891528264191e-01,5.801336443106418495e-01,2.779307665365317592e-01
6.099999999999996980e+00,3.654999999999999361e+00,1.584804582218254376e-01,5.802481086342301531e-01,2.612714331439445203e-01
6.279999999999996696e+00,3.654999999999999361e+00,1.774129788509534178e-01,5.777230745296553227e-01,2.448639466193912317e-01
6.459999999999996412e+00,3.654999999999999361e+00,1.990207474680075750e-01,5.722777808692208756e-01,2.287014716627716049e-01
6.639999999999996128e+00,3.654999999999999361e+00,2.235753477553452107e-01,5.636493559409887499e-01,2.127752963036660672e-01
6.819999999999995843e+00,3.654999999999999361e+00,2.513044221917745680e-01,5.516146753820403426e-01,1.970809024261852005e-01
6.999999999999995559e+00,3.654999999999999361e+00,2.823558076471925360e-01,5.360193100229911911e-01,1.816248823298162729e-01
7.179999999999995275e+00,3.654999999999999361e+00,3.167561024882329934e-01,5.168119977196509174e-01,1.664318997921160059e-01
7.359999999999994991e+00,3.654999999999999361e+00,3.543689966582406203e-01,4.940805339796793261e-01,1.515504693620800536e-01
7.539999999999994706e+00,3.654999999999999361e+00,3.948617946623799169e-01,4.680821875018561506e-01,1.370560178357638770e-01
7.719999999999994422e+00,3.654999999999999361e+00,4.376904767212673741e-01,4.392597986228706231e-01,1.230497246558620306e-01
4.299999999999999822e+00,3.949999999999999289e+00,4.518059732606419243e-02,4.644702435317394906e-01,4.903491591421962892e-01
4.479999999999999538e+00,3.949999999999999289e+00,4.836323416231014943e-02,4.777311495743669645e-01,4.739056162633228375e-01
4.659999999999999254e+00,3.949999999999999289e+00,5.190808731455264641e-02,4.910039553803774437e-01,4.570879573050699030e-01
4.839999999999998970e+00,3.949999999999999289e+00,5.586562989801704959e-02,5.041609993346417573e-01,4.399733707673412209e-01
5.019999999999998685e+00,3.949999999999999289e+00,6.029531752228134422e-02,5.170611979227927035e-01,4.226434845549259522e-01
5.199999999999998401e+00,3.949999999999999289e+00,6.526736144143586993e-02,5.295507740103190253e-01,4.051818645482451187e-01
5.379999999999998117e+00,3.949999999999999289e+00,7.086477829393443562e-02,5.414639693288439970e-01,3.876712523772214980e-01
5.559999999999997833e+00,3.949999999999999289e+00,7.718571052671789612e-02,5.526235967467186816e-01,3.701906927265635194e-01
5.739999999999997549e+00,3.949999999999999289e+00,8.434597961033121760e-02,5.628413003280572369e-01,3.528127200616115178e-01
5.919999999999997264e+00,3.949999999999999289e+00,9.248178207886263713e-02,5.719174358387439927e-01,3.356007820823934673e-01
6.099999999999996980e+00,3.949999999999999289e+00,1.017523573536699005e-01,5.796405687218424418e-01,3.186070739244876715e-01
6.279999999999996696e+00,3.949999999999999289e+00,1.123423355093832871e-01,5.857867176116475783e-01,3.018709468789691486e-01
6.459999999999996412e+00,3.949999999999999289e+00,1.244633017927791324e-01,5.901186549754324773e-01,2.854180432317883209e-01
6.639999999999996128e+00,3.949999999999999289e+00,1.383538860625991851e-01,5.923858147221967574e-01,2.692602992152040575e-01
6.819999999999995843e+00,3.949999999999999289e+00,1.542774049004588255e-01,5.923256426573474398e-01,2.533969524421937902e-01
6.999999999999995559e+00,3.949999999999999289e+00,1.725157834730770556e-01,5.896675326311856535e-01,2.378166838957373186e-01
7.179999999999995275e+00,3.949999999999999289e+00,1.933582402426105851e-01,5.841407559195683774e-01,2.225010038378209265e-01
7.359999999999994991e+00,3.949999999999999289e+00,2.170831735655968653e-01,5.754878950315710506e-01,2.074289314028321396e-01
7.539999999999994706e+00,3.949999999999999289e+00,2.439320639431415416e-01,5.634850500074901625e-01,1.925828860493682682e-01
7.719999999999994422e+00,3.949999999999999289e+00,2.740752654729232685e-01,5.479692608765066586e-01,1.779554736505701285e-01
4.299999999999999822e+00,4.244999999999999218e+00,3.536506616663812053e-02,4.248809559309173478e-01,5.397539779024443929e-01
4.479999999999999538e+00,4.244999999999999218e+00,3.744303307403287068e-02,4.375609144565437703e-01,5.249960524694233799e-01
4.659999999999999254e+00,4.244999999999999218e+00,3.973502543816115340e-02,4.505817962134611165e-01,5.096831783483777301e-01
4.839999999999998970e+00,4.244999999999999218e+00,4.226668588693147793e-02,4.638649843954588126e-01,4.938683297176096887e-01
5.019999999999998685e+00,4.244999999999999218e+00,4.506774249481178274e-02,4.773181959576866529e-01,4.776140615475016893e-01
5.199999999999998401e+00,4.244999999999999218e+00,4.817286585583458597e-02,4.908357017498592989e-01,4.609914323943060666e-01
5.379999999999998117e+00,4.244999999999999218e+00,5.162270791496215844e-02,5.042988629451715665e-01,4.440784291398662265e-01
5.559999999999997833e+00,4.244999999999999218e+00,5.546514930789368109e-02,5.175769223807874519e-01,4.269579283113189017e-01
5.739999999999997549e+00,4.244999999999999218e+00,5.975678101411228266e-02,5.305279501266128017e-01,4.097152688592748393e-01
5.919999999999997264e+00,4.244999999999999218e+00,6.456464241586631903e-02,5.429998092645638152e-01,3.924355483195698935e-01
6.099999999999996980e+00,4.244999999999999218e+00,6.996822952789599759e-02,5.548309870712514469e-01,3.752007834008526110e-01
6.279999999999996696e+00,4.244999999999999218e+00,7.606177128602988058e-02,5.658511350875552459e-01,3.580870936264148319e-01
