petal length (cm),petal width (cm),setosa,versicolor,virginica
6.014999999999998792e+00,3.399999999999999689e-01,2.052973090293544189e-01,4.684804697563779152e-01,3.262222212142676381e-01
6.309999999999998721e+00,3.399999999999999689e-01,1.907679278556275726e-01,4.731882099250523943e-01,3.360438622193200331e-01
6.604999999999998650e+00,3.399999999999999689e-01,1.778911403682451875e-01,4.766783012784354123e-01,3.454305583533195390e-01
1.000000000000000000e+00,4.599999999999999645e-01,7.885253737907549354e-01,1.223451912448643986e-01,8.912943496438062441e-02
1.294999999999999929e+00,4.599999999999999645e-01,7.512137225972975729e-01,1.446436017745247604e-01,1.041426756281778471e-01
1.589999999999999858e+00,4.599999999999999645e-01,7.084624545095233872e-01,1.704756849672630359e-01,1.210618605232136880e-01
1.884999999999999787e+00,4.599999999999999645e-01,6.609985726514406856e-01,1.994457925407965848e-01,1.395556348077626463e-01
2.179999999999999716e+00,4.599999999999999645e-01,6.101833972050046961e-01,2.307242156675718137e-01,1.590923871274235735e-01
2.474999999999999645e+00,4.599999999999999645e-01,5.578554365539866167e-01,2.631251922767547380e-01,1.790193711692586453e-01
2.769999999999999574e+00,4.599999999999999645e-01,5.060164655228420738e-01,2.952990367269950900e-01,1.986844977501627529e-01
3.064999999999999503e+00,4.599999999999999645e-01,4.564742486970980728e-01,3.259719298750308192e-01,2.175538214278711080e-01
3.359999999999999432e+00,4.599999999999999645e-01,4.105753736556986833e-01,3.541435230272426682e-01,2.352811033170585930e-01
3.654999999999999361e+00,4.599999999999999645e-01,3.691014256222276968e-01,3.791837019274826859e-01,2.517148724502896173e-01
3.949999999999999289e+00,4.599999999999999645e-01,3.323154193853081750e-01,4.008257457930705647e-01,2.668588348216210937e-01
4.244999999999999218e+00,4.599999999999999645e-01,3.000934246915243908e-01,4.190925690764699674e-01,2.808140062320056418e-01
4.539999999999999147e+00,4.599999999999999645e-01,2.720740506030080441e-01,4.342003971452465527e-01,2.937255522517454032e-01
4.834999999999999076e+00,4.599999999999999645e-01,2.477839572631485576e-01,4.464709442641956461e-01,3.057450984726559073e-01
5.129999999999999005e+00,4.599999999999999645e-01,2.267249344331841165e-01,4.562656702425232358e-01,3.170093953242926199e-01
5.424999999999998934e+00,4.599999999999999645e-01,2.084251898878817510e-01,4.639433460080361615e-01,3.276314641040820042e-01
5.719999999999998863e+00,4.599999999999999645e-01,1.924641264717134315e-01,4.698363983505794983e-01,3.376994751777070425e-01
6.014999999999998792e+00,4.599999999999999645e-01,1.784802284783155724e-01,4.742402237931568343e-01,3.472795477285274823e-01
6.309999999999998721e+00,4.599999999999999645e-01,1.661695225042267299e-01,4.774104808142856649e-01,3.564199966814875498e-01
6.604999999999998650e+00,4.599999999999999645e-01,1.552795716921165636e-01,4.795647673508163233e-01,3.651556609570670853e-01
1.000000000000000000e+00,5.799999999999999600e-01,7.436524631132503949e-01,1.457583090916519664e-01,1.105892277950977637e-01
1.294999999999999929e+00,5.799999999999999600e-01,7.008402163384098715e-01,1.710235551052176339e-01,1.281362285563725500e-01
1.589999999999999858e+00,5.799999999999999600e-01,6.531695233689907010e-01,1.994839956254297053e-01,1.473464810055795382e-01
1.884999999999999787e+00,5.799999999999999600e-01,6.019258226904221631e-01,2.303969692633937583e-01,1.676772080461840231e-01
2.179999999999999716e+00,5.799999999999999600e-01,5.489274634247263140e-01,2.626356556995451674e-01,1.884368808757284353e-01
2.474999999999999645e+00,5.799999999999999600e-01,4.962292465482117110e-01,2.948587520548252572e-01,2.089120013969630874e-01
2.769999999999999574e+00,5.799999999999999600e-01,4.457495085189923656e-01,3.257492868020778198e-01,2.285012046789296480e-01
3.064999999999999503e+00,5.799999999999999600e-01,3.989635441269142602e-01,3.542320522059931864e-01,2.468044036670925534e-01
3.359999999999999432e+00,5.799999999999999600e-01,3.567600072722574844e-01,3.795977098386672521e-01,2.636422828890752079e-01
3.654999999999999361e+00,5.799999999999999600e-01,3.194652891491288615e-01,4.015167949968787564e-01,2.790179158539923265e-01
3.949999999999999289e+00,5.799999999999999600e-01,2.869736765821203073e-01,4.199745280728520713e-01,2.930517953450275659e-01
4.244999999999999218e+00,5.799999999999999600e-01,2.589081444540466403e-01,4.351729864610632270e-01,3.059188690848901881e-01
4.539999999999999147e+00,5.799999999999999600e-01,2.347605595663981026e-01,4.474368724294561783e-01,3.178025680041458578e-01
4.834999999999999076e+00,5.799999999999999600e-01,2.139910173371908919e-01,4.571406639446114473e-01,3.288683187181977163e-01
5.129999999999999005e+00,5.799999999999999600e-01,1.960870879740082562e-01,4.646604901591629977e-01,3.392524218668287461e-01
5.424999999999998934e+00,5.799999999999999600e-01,1.805926934261631034e-01,4.703467110024739384e-01,3.490605955713629305e-01
5.719999999999998863e+00,5.799999999999999600e-01,1.671174399314721559e-01,4.745111163463893722e-01,3.583714437221384719e-01
6.014999999999998792e+00,5.799999999999999600e-01,1.553350079095909553e-01,4.774232617738405904e-01,3.672417303165684821e-01
6.309999999999998721e+00,5.799999999999999600e-01,1.449763618735382120e-01,4.793119016251621844e-01,3.757117365012996868e-01
6.604999999999998650e+00,5.799999999999999600e-01,1.358212030759285427e-01,4.803688801365224026e-01,3.838099167875491657e-01
1.000000000000000000e+00,6.999999999999999556e-01,6.927797523681527014e-01,1.716381245389876353e-01,1.355821230928597187e-01
1.294999999999999929e+00,6.999999999999999556e-01,6.451539508383026256e-01,1.994133003022438566e-01,1.554327488594534901e-01
1.589999999999999858e+00,6.999999999999999556e-01,5.937799407056457701e-01,2.297441742083390637e-01,1.764758850860152495e-01
1.884999999999999787e+00,6.999999999999999556e-01,5.404207286832068968e-01,2.615859877953471413e-01,1.979932835214458231e-01
2.179999999999999716e+00,6.999999999999999556e-01,4.871451560926778335e-01,2.936360731239353039e-01,2.192187707833868904e-01
2.474999999999999645e+00,6.999999999999999556e-01,4.359530614317788655e-01,3.245613437393559120e-01,2.394855948288651670e-01
2.769999999999999574e+00,6.999999999999999556e-01,3.884368119035568334e-01,3.532275116388363112e-01,2.583356764576068554e-01
3.064999999999999503e+00,6.999999999999999556e-01,3.455963046985189857e-01,3.788487013938057757e-01,2.755549939076752386e-01
3.359999999999999432e+00,6.999999999999999556e-01,3.078342959163541948e-01,4.010256900486242060e-01,2.911400140350215993e-01
3.654999999999999361e+00,6.999999999999999556e-01,2.750781547075991096e-01,4.196943967298429334e-01,3.052274485625579570e-01
3.949999999999999289e+00,6.999999999999999556e-01,2.469479023919680938e-01,4.350306482992826185e-01,3.180214493087493155e-01
4.244999999999999218e+00,6.999999999999999556e-01,2.229098600296238741e-01,4.473517693082868507e-01,3.297383706620892752e-01
4.539999999999999147e+00,6.999999999999999556e-01,2.023885798623820675e-01,4.570373515389947183e-01,3.405740685986231586e-01
4.834999999999999076e+00,6.999999999999999556e-01,1.848348921381190446e-01,4.644753209847787834e-01,3.506897868771023385e-01
5.129999999999999005e+00,6.999999999999999556e-01,1.697596715079457697e-01,4.700303046196935286e-01,3.602100238723607295e-01
5.424999999999998934e+00,6.999999999999999556e-01,1.567451819496780141e-01,4.740282204339338334e-01,3.692265976163880969e-01
5.719999999999998863e+00,6.999999999999999556e-01,1.454437509638756842e-01,4.767512326526870403e-01,3.778050163834373865e-01
6.014999999999998792e+00,6.999999999999999556e-01,1.355704024487765780e-01,4.784386157970278441e-01,3.859909817541956056e-01
6.309999999999998721e+00,6.999999999999999556e-01,1.268934093504538452e-01,4.792905564781611560e-01,3.938160341713850543e-01
6.604999999999998650e+00,6.999999999999999556e-01,1.192248713829652668e-01,4.794730918395716524e-01,4.013020367774630670e-01
1.000000000000000000e+00,8.199999999999999512e-01,6.370228027982826058e-01,1.992361693768829878e-01,1.637410278248345452e-01
1.294999999999999929e+00,8.199999999999999512e-01,5.858173335937733039e-01,2.287839406908003803e-01,1.853987257154262325e-01
1.589999999999999858e+00,8.199999999999999512e-01,5.324150847037454337e-01,2.600031864325159092e-01,2.075817288637386848e-01
1.884999999999999787e+00,8.199999999999999512e-01,4.788585639053583587e-01,2.916583825538037189e-01,2.294830535408379779e-01
2.179999999999999716e+00,8.199999999999999512e-01,4.271950413296204396e-01,3.224293085700707939e-01,2.503756501003087109e-01
2.474999999999999645e+00,8.199999999999999512e-01,3.791167550523392160e-01,3.511425207650286096e-01,2.697407241826322299e-01
2.769999999999999574e+00,8.199999999999999512e-01,3.357357293799878017e-01,3.769422630267437180e-01,2.873220075932684803e-01
3.064999999999999503e+00,8.199999999999999512e-01,2.975438407159273213e-01,3.993548141885192582e-01,3.031013450955533095e-01
3.359999999999999432e+00,8.199999999999999512e-01,2.645182622405204964e-01,4.182556085129679468e-01,3.172261292465115012e-01
3.654999999999999361e+00,8.199999999999999512e-01,2.362912754524509606e-01,4.337813360625408232e-01,3.299273884850080774e-01
3.949999999999999289e+00,8.199999999999999512e-01,2.123151397797750639e-01,4.462303328854331785e-01,3.414545273347918131e-01
4.244999999999999218e+00,8.199999999999999512e-01,1.919865786675947761e-01,4.559781974514826031e-01,3.520352238809226764e-01
4.539999999999999147e+00,8.199999999999999512e-01,1.747244812218141374e-01,4.634181592143099548e-01,3.618573595638758800e-01
4.834999999999999076e+00,8.199999999999999512e-01,1.600095123809364694e-01,4.689248296206030564e-01,3.710656579984605297e-01
5.129999999999999005e+00,8.199999999999999512e-01,1.473982154555205093e-01,4.728356446512133049e-01,3.797661398932662968e-01
5.424999999999998934e+00,8.199999999999999512e-01,1.365224657612126580e-01,4.754439442236976232e-01,3.880335900150897466e-01
5.719999999999998863e+00,8.199999999999999512e-01,1.270818270796090776e-01,4.769988746418028502e-01,3.959192982785882386e-01
6.014999999999998792e+00,8.199999999999999512e-01,1.188333779688722780e-01,4.777088142146906358e-01,4.034578078164371417e-01
6.309999999999998721e+00,8.199999999999999512e-01,1.115814535558440346e-01,4.777462762169832344e-01,4.106722702271727865e-01
6.604999999999998650e+00,8.199999999999999512e-01,1.051684308142217666e-01,4.772531260229268546e-01,4.175784431628514759e-01
1.000000000000000000e+00,9.399999999999999467e-01,5.780989256386506181e-01,2.275468380511633526e-01,1.943542363101860293e-01
1.294999999999999929e+00,9.399999999999999467e-01,5.249681262642645896e-01,2.579351246863456071e-01,2.170967490493898033e-01
1.589999999999999858e+00,9.399999999999999467e-01,4.714317577818856186e-01,2.889817838572195652e-01,2.395864583608946496e-01
1.884999999999999787e+00,9.399999999999999467e-01,4.195471331566820172e-01,3.194085169343494068e-01,2.610443499089686314e-01
2.179999999999999716e+00,9.399999999999999467e-01,3.710837237047547865e-01,3.480259537948516835e-01,2.808903225003935300e-01
2.474999999999999645e+00,9.399999999999999467e-01,3.272622659282049540e-01,3.739194226191775994e-01,2.988183114526173911e-01
2.769999999999999574e+00,9.399999999999999467e-01,2.886750479412428239e-01,3.965392277561368140e-01,3.147857243026204732e-01
3.064999999999999503e+00,9.399999999999999467e-01,2.553667669526361594e-01,4.156905856472261629e-01,3.289426474001376777e-01
3.359999999999999432e+00,9.399999999999999467e-01,2.269993131779090290e-01,4.314581196814818442e-01,3.415425671406091546e-01
3.654999999999999361e+00,9.399999999999999467e-01,2.030244967421058477e-01,4.441087311770440804e-01,3.528667720808501551e-01
3.949999999999999289e+00,9.399999999999999467e-01,1.828204931163513181e-01,4.540038818449299018e-01,3.631756250387186968e-01
4.244999999999999218e+00,9.399999999999999467e-01,1.657799665431292091e-01,4.615347063297520758e-01,3.726853271271186596e-01
4.539999999999999147e+00,9.399999999999999467e-01,1.513566121001756193e-01,4.670808647897372046e-01,3.815625231100871484e-01
4.834999999999999076e+00,9.399999999999999467e-01,1.390829415506349975e-01,4.709882991099225702e-01,3.899287593394424878e-01
5.129999999999999005e+00,9.399999999999999467e-01,1.285711612310569962e-01,4.735598908530463391e-01,3.978689479158966646e-01
5.424999999999998934e+00,9.399999999999999467e-01,1.195056541217286716e-01,4.750539492162045851e-01,4.054403966620667155e-01
5.719999999999998863e+00,9.399999999999999467e-01,1.116323138125826647e-01,4.756869211469689773e-01,4.126807650404484273e-01
6.014999999999998792e+00,9.399999999999999467e-01,1.047475807546439375e-01,4.756380206106750608e-01,4.196143986346809740e-01
6.309999999999998721e+00,9.399999999999999467e-01,9.868851732599837057e-02,4.750544286706799291e-01,4.262570540033215893e-01
6.604999999999998650e+00,9.399999999999999467e-01,9.332440014147225238e-02,4.740563429366952408e-01,4.326192569218325068e-01
1.000000000000000000e+00,1.060000000000000053e+00,5.181107921444931819e-01,2.554478434504182105e-01,2.264413644050886354e-01
1.294999999999999929e+00,1.060000000000000053e+00,4.648907796191897313e-01,2.856876282169479309e-01,2.494215921638622824e-01
1.589999999999999858e+00,1.060000000000000053e+00,4.130386245072671381e-01,3.155848178007553129e-01,2.713765576919775491e-01
1.884999999999999787e+00,1.060000000000000053e+00,3.643735223832070824e-01,3.439594079253579517e-01,2.916670696914348548e-01
2.179999999999999716e+00,1.060000000000000053e+00,3.202163223228531863e-01,3.698530495966239062e-01,3.099306280805229630e-01
2.474999999999999645e+00,1.060000000000000053e+00,2.812681112383721427e-01,3.926427174481463278e-01,3.260891713134814740e-01
2.769999999999999574e+00,1.060000000000000053e+00,2.476586564929690315e-01,4.120562333047267933e-01,3.402851102023041197e-01
3.064999999999999503e+00,1.060000000000000053e+00,2.190983141986211913e-01,4.281140738049905026e-01,3.527876119963883617e-01
3.359999999999999432e+00,1.060000000000000053e+00,1.950539854614767865e-01,4.410389609005626044e-01,3.639070536379606646e-01
3.654999999999999361e+00,1.060000000000000053e+00,1.748961542044829565e-01,4.511672742575970618e-01,3.739365715379200372e-01
3.949999999999999289e+00,1.060000000000000053e+00,1.579979606337641729e-01,4.588797941495115218e-01,3.831222452167242221e-01
4.244999999999999218e+00,1.060000000000000053e+00,1.437898304766856983e-01,4.645555889552127615e-01,3.916545805681015957e-01
4.539999999999999147e+00,1.060000000000000053e+00,1.317820354320644871e-01,4.685456069069350304e-01,3.996723576610004547e-01
4.834999999999999076e+00,1.060000000000000053e+00,1.215677951348185237e-01,4.711603486596601109e-01,4.072718562055213654e-01
5.129999999999999005e+00,1.060000000000000053e+00,1.128163970010503253e-01,4.726664411540925093e-01,4.145171618448570960e-01
5.424999999999998934e+00,1.060000000000000053e+00,1.052623385536735762e-01,4.732882439713633205e-01,4.214494174749630617e-01
5.719999999999998863e+00,1.060000000000000053e+00,9.869382388188405186e-02,4.732119261813371169e-01,4.280942499367787479e-01
6.014999999999998792e+00,1.060000000000000053e+00,9.294221514035096166e-02,4.725904604629677652e-01,4.344673243966812870e-01
6.309999999999998721e+00,1.060000000000000053e+00,8.787304310017950149e-02,4.715486679851625951e-01,4.405782889146579451e-01
6.604999999999998650e+00,1.060000000000000053e+00,8.337866369516737375e-02,4.701878789987284923e-01,4.464334573061041755e-01
1.000000000000000000e+00,1.180000000000000160e+00,4.592247012321440391e-01,2.818768624859189775e-01,2.588984362819369278e-01
1.294999999999999929e+00,1.180000000000000160e+00,4.076560916759887077e-01,3.110685935308437622e-01,2.812753147931676412e-01
1.589999999999999858e+00,1.180000000000000160e+00,3.589775543842120831e-01,3.390514686261658084e-01,3.019709769896221085e-01
1.884999999999999787e+00,1.180000000000000160e+00,3.145957006969674064e-01,3.648424729830696545e-01,3.205618263199630502e-01
2.179999999999999716e+00,1.180000000000000160e+00,2.753244140815311880e-01,3.877525775484438331e-01,3.369230083700250344e-01
2.474999999999999645e+00,1.180000000000000160e+00,2.413944760645070353e-01,4.074286468255341465e-01,3.511768771099587627e-01
2.769999999999999574e+00,1.180000000000000160e+00,2.125842091588934779e-01,4.238167738076260571e-01,3.635990170334804095e-01
3.064999999999999503e+00,1.180000000000000160e+00,1.883927568629475691e-01,4.370831200945793360e-01,3.745241230424730672e-01
3.359999999999999432e+00,1.180000000000000160e+00,1.681953463660878778e-01,4.475275567365784579e-01,3.842770968973336920e-01
3.654999999999999361e+00,1.180000000000000160e+00,1.513533974285987682e-01,4.555114688183748983e-01,3.931351337530263890e-01
3.949999999999999289e+00,1.180000000000000160e+00,1.372783517418101062e-01,4.614069364701102183e-01,4.013147117880795922e-01
4.244999999999999218e+00,1.180000000000000160e+00,1.254602282492253973e-01,4.655658230357553884e-01,4.089739487150192421e-01
4.539999999999999147e+00,1.180000000000000160e+00,1.154739026870767599e-01,4.683039248612035910e-01,4.162221724517195520e-01
4.834999999999999076e+00,1.180000000000000160e+00,1.069734968257021884e-01,4.698951055467371352e-01,4.231313976275606903e-01
5.129999999999999005e+00,1.180000000000000160e+00,9.968170579541725529e-02,4.705713680923258591e-01,4.297469261122568995e-01
5.424999999999998934e+00,1.180000000000000160e+00,9.337796213296700731e-02,4.705260598429943930e-01,4.360959780240386552e-01
5.719999999999998863e+00,1.180000000000000160e+00,8.788736974411794078e-02,4.699184390883114903e-01,4.421941911675705272e-01
6.014999999999998792e+00,1.180000000000000160e+00,8.307118221966747207e-02,4.688785700453765859e-01,4.480502477349559420e-01
6.309999999999998721e+00,1.180000000000000160e+00,7.881898681231172543e-02,4.675119943299476666e-01,4.536690188577406913e-01
6.604999999999998650e+00,1.180000000000000160e+00,7.504246906752273794e-02,4.659039213957331116e-01,4.590536095367440672e-01
1.000000000000000000e+00,1.300000000000000044e+00,4.033463842403602340e-01,3.059873300218571290e-01,2.906662857377826925e-01
1.294999999999999929e+00,1.300000000000000044e+00,3.548459089791011767e-01,3.334306694999709109e-01,3.117234215209279680e-01
1.589999999999999858e+00,1.300000000000000044e+00,3.103589511509038390e-01,3.590072047773967823e-01,3.306338440716994342e-01
1.884999999999999787e+00,1.300000000000000044e+00,2.708104854631138148e-01,3.819740267144982049e-01,3.472154878223879804e-01
2.179999999999999716e+00,1.300000000000000044e+00,2.365450707216419091e-01,4.018979577248320556e-01,3.615569715535261186e-01
2.474999999999999645e+00,1.300000000000000044e+00,2.074280354122083059e-01,4.186433294686292550e-01,3.739286351191624114e-01
2.769999999999999574e+00,1.300000000000000044e+00,1.830090547260950773e-01,4.323085004988008739e-01,3.846824447751041043e-01
3.064999999999999503e+00,1.300000000000000044e+00,1.626820742580576129e-01,4.431453527551570959e-01,3.941725729867852634e-01
3.359999999999999432e+00,1.300000000000000044e+00,1.458058514353132717e-01,4.514861988266537507e-01,4.027079497380328665e-01
3.654999999999999361e+00,1.300000000000000044e+00,1.317778981997577148e-01,4.576889509453747062e-01,4.105331508548676900e-01
3.949999999999999289e+00,1.300000000000000044e+00,1.200703150588692952e-01,4.621015981071046053e-01,4.178280868340260579e-01
4.244999999999999218e+00,1.300000000000000044e+00,1.102403432920190940e-01,4.650423808942119042e-01,4.247172758137689463e-01
4.539999999999999147e+00,1.300000000000000044e+00,1.019267831220467962e-01,4.667909647884400104e-01,4.312822520895132627e-01
4.834999999999999076e+00,1.300000000000000044e+00,9.483997062684083879e-02,4.675865171155403899e-01,4.375735122576187575e-01
5.129999999999999005e+00,1.300000000000000044e+00,8.874986793576369881e-02,4.676296815065244528e-01,4.436204505577118762e-01
5.424999999999998934e+00,1.300000000000000044e+00,8.347461127808385173e-02,4.670864599602895795e-01,4.494389287616264994e-01
5.719999999999998863e+00,1.300000000000000044e+00,7.887051684977225419e-02,4.660927849690467140e-01,4.550366981811809208e-01
6.014999999999998792e+00,1.300000000000000044e+00,7.482381409116804771e-02,4.647590920268297454e-01,4.604170938820023040e-01
6.309999999999998721e+00,1.300000000000000044e+00,7.124402402418790470e-02,4.631745393542877065e-01,4.655814366215243472e-01
6.604999999999998650e+00,1.300000000000000044e+00,6.805875961519249062e-02,4.614107244259899043e-01,4.705305159588176189e-01
1.000000000000000000e+00,1.419999999999999929e+00,3.518926508649772855e-01,3.272380090505957462e-01,3.208693400844269128e-01
1.294999999999999929e+00,1.419999999999999929e+00,3.074302793595884431e-01,3.524805155873225737e-01,3.400892050530889277e-01
1.589999999999999858e+00,1.419999999999999929e+00,2.676628545774192292e-01,3.754249284649467389e-01,3.569122169576340875e-01
1.884999999999999787e+00,1.419999999999999929e+00,2.330567205902637495e-01,3.955639434403953048e-01,3.713793359693409180e-01
2.179999999999999716e+00,1.419999999999999929e+00,2.035814732256525095e-01,4.126765492463466689e-01,3.837419775280008771e-01
2.474999999999999645e+00,1.419999999999999929e+00,1.788560710589838787e-01,4.267840527593922961e-01,3.943598761816238252e-01
2.769999999999999574e+00,1.419999999999999929e+00,1.583085604609456853e-01,4.380793614913165435e-01,4.036120780477377434e-01
3.064999999999999503e+00,1.419999999999999929e+00,1.413054987678750429e-01,4.468556425236235308e-01,4.118388587085014541e-01
3.359999999999999432e+00,1.419999999999999929e+00,1.272365184206761257e-01,4.534487038563733141e-01,4.193147777229505602e-01
3.654999999999999361e+00,1.419999999999999929e+00,1.155586850990730913e-01,4.581970852105571868e-01,4.262442296903697359e-01
3.949999999999999289e+00,1.419999999999999929e+00,1.058125300415548725e-01,4.614179634005907693e-01,4.327695065578542888e-01
4.244999999999999218e+00,1.419999999999999929e+00,9.762138901000506908e-02,4.633948890710687385e-01,4.389837219189261508e-01
