sepal width (cm),petal length (cm),setosa,versicolor,virginica
3.400000000000001243e+00,1.000000000000000000e+00,9.831469727197226227e-01,1.680868918420352215e-02,4.433809607385221717e-05
3.440000000000001279e+00,1.000000000000000000e+00,9.834044711080484058e-01,1.655197821398542851e-02,4.355067796619639512e-05
3.480000000000001315e+00,1.000000000000000000e+00,9.836476629408177352e-01,1.630952811141037073e-02,4.280894777192072648e-05
3.520000000000001350e+00,1.000000000000000000e+00,9.838774962958944936e-01,1.608039398339963788e-02,4.210972070591945620e-05
3.560000000000001386e+00,1.000000000000000000e+00,9.840948458735209181e-01,1.586370405263365715e-02,4.145007384528146362e-05
3.600000000000001421e+00,1.000000000000000000e+00,9.843005193978711098e-01,1.565865328057949174e-02,4.082732154953161706e-05
3.640000000000001457e+00,1.000000000000000000e+00,9.844952634099228828e-01,1.546449759664064380e-02,4.023899343652491390e-05
3.680000000000001492e+00,1.000000000000000000e+00,9.846797685129380362e-01,1.528054867243576129e-02,3.968281462628443546e-05
3.720000000000001528e+00,1.000000000000000000e+00,9.848546741254754489e-01,1.510616918652492660e-02,3.915668799955209357e-05
3.760000000000001563e+00,1.000000000000000000e+00,9.850205727911831577e-01,1.494076853056894826e-02,3.865867824795148321e-05
3.800000000000001599e+00,1.000000000000000000e+00,9.851780140894942361e-01,1.478379891298652916e-02,3.818699751903123312e-05
3.840000000000001634e+00,1.000000000000000000e+00,9.853275081867903795e-01,1.463475182072702246e-02,3.773999248254821155e-05
3.880000000000001670e+00,1.000000000000000000e+00,9.854695290634852833e-01,1.449315480385012650e-02,3.731613266457778230e-05
3.920000000000001705e+00,1.000000000000000000e+00,9.856045174488344829e-01,1.435856855125167142e-02,3.691399991378496758e-05
3.960000000000001741e+00,1.000000000000000000e+00,9.857328834919836247e-01,1.423058422913655446e-02,3.653227887976325818e-05
4.000000000000001776e+00,1.000000000000000000e+00,9.858550091948458105e-01,1.410882105675716897e-02,3.616974839703231983e-05
4.040000000000001812e+00,1.000000000000000000e+00,9.859712506297739765e-01,1.399292409654552365e-02,3.582527368031292625e-05
4.080000000000001847e+00,1.000000000000000000e+00,9.860819399626526982e-01,1.388256223809986901e-02,3.549779924728981354e-05
4.120000000000001883e+00,1.000000000000000000e+00,9.861873872999320501e-01,1.377742635757348531e-02,3.518634249439537794e-05
4.160000000000001918e+00,1.000000000000000000e+00,9.862878823762611935e-01,1.367722763587956615e-02,3.488998785937214118e-05
4.200000000000001954e+00,1.000000000000000000e+00,9.863836960976927193e-01,1.358169602079553964e-02,3.460788151162757077e-05
4.240000000000001990e+00,1.000000000000000000e+00,9.864750819539376270e-01,1.349057881954452559e-02,3.433922651780379971e-05
4.280000000000002025e+00,1.000000000000000000e+00,9.865622773117957989e-01,1.340363940976847974e-02,3.408327843565211042e-05
4.320000000000002061e+00,1.000000000000000000e+00,9.866455046007001073e-01,1.332065605800567681e-02,3.383934129431740508e-05
4.360000000000002096e+00,1.000000000000000000e+00,9.867249724002189470e-01,1.324142083585742521e-02,3.360676392357917608e-05
2.000000000000000000e+00,1.098333333333333384e+00,9.309367504314982611e-01,6.882933222648861260e-02,2.339173420131950443e-04
2.040000000000000036e+00,1.098333333333333384e+00,9.351983582929433991e-01,6.458533442430330895e-02,2.163072827531847180e-04
2.080000000000000071e+00,1.098333333333333384e+00,9.391070619980833589e-01,6.069246268713602427e-02,2.004753147806296568e-04
2.120000000000000107e+00,1.098333333333333384e+00,9.426923695031934614e-01,5.712140743855421282e-02,1.862230582525707450e-04
2.160000000000000142e+00,1.098333333333333384e+00,9.459817021468145404e-01,5.384492247877805532e-02,1.733753744073799632e-04
2.200000000000000178e+00,1.098333333333333384e+00,9.490004395740805343e-01,5.083778280032660857e-02,1.617776255929386376e-04
2.240000000000000213e+00,1.098333333333333384e+00,9.517719897847928268e-01,4.807671696955632262e-02,1.512932456510091537e-04
2.280000000000000249e+00,1.098333333333333384e+00,9.543178772748868166e-01,4.554032113596408193e-02,1.418015891489855036e-04
2.320000000000000284e+00,1.098333333333333384e+00,9.566578434008488063e-01,4.320896056873121255e-02,1.331960304198983474e-04
2.360000000000000320e+00,1.098333333333333384e+00,9.588099541642998158e-01,4.106466354993980328e-02,1.253822857602820550e-04
2.400000000000000355e+00,1.098333333333333384e+00,9.607907115692158051e-01,3.909101149634561234e-02,1.182769344385637485e-04
2.440000000000000391e+00,1.098333333333333384e+00,9.626151655387862327e-01,3.727302834484057942e-02,1.118061163731441735e-04
2.480000000000000426e+00,1.098333333333333384e+00,9.642970240929625847e-01,3.559707152060064689e-02,1.059043864368722015e-04
2.520000000000000462e+00,1.098333333333333384e+00,9.658487600872235346e-01,3.405072620545463585e-02,1.005137073218173463e-04
2.560000000000000497e+00,1.098333333333333384e+00,9.672817133074838036e-01,3.262270412776970691e-02,9.558256474651518502e-05
2.600000000000000533e+00,1.098333333333333384e+00,9.686061871167278570e-01,3.130274769277045094e-02,9.106519050172537984e-05
2.640000000000000568e+00,1.098333333333333384e+00,9.698315391679298569e-01,3.008153995166201050e-02,8.692088040812067588e-05
2.680000000000000604e+00,1.098333333333333384e+00,9.709662659469638912e-01,2.895062065733526591e-02,8.311339570107642680e-05
2.720000000000000639e+00,1.098333333333333384e+00,9.720180810997252063e-01,2.790230846260760220e-02,7.961043766726375048e-05
2.760000000000000675e+00,1.098333333333333384e+00,9.729939876397434295e-01,2.692962917371612488e-02,7.638318654046870380e-05
2.800000000000000711e+00,1.098333333333333384e+00,9.739003442351567008e-01,2.602624986811645849e-02,7.340589672681227735e-05
2.840000000000000746e+00,1.098333333333333384e+00,9.747429258448994105e-01,2.518641861372025725e-02,7.065554138020453505e-05
2.880000000000000782e+00,1.098333333333333384e+00,9.755269790199241342e-01,2.440490947988013803e-02,6.811150019578997847e-05
2.920000000000000817e+00,1.098333333333333384e+00,9.762572722118444402e-01,2.367697250311469326e-02,6.575528504101784430e-05
2.960000000000000853e+00,1.098333333333333384e+00,9.769381414431389521e-01,2.299828825815177641e-02,6.357029870932655031e-05
3.000000000000000888e+00,1.098333333333333384e+00,9.775735316937286257e-01,2.236492668360264349e-02,6.154162266864658269e-05
3.040000000000000924e+00,1.098333333333333384e+00,9.781670343513707566e-01,2.177330981843552532e-02,5.965583019391213458e-05
3.080000000000000959e+00,1.098333333333333384e+00,9.787219210602737807e-01,2.122017811799916873e-02,5.790082172700953444e-05
3.120000000000000995e+00,1.098333333333333384e+00,9.792411742855244849e-01,2.070256003476963341e-02,5.626567970596594730e-05
3.160000000000001030e+00,1.098333333333333384e+00,9.797275148917428123e-01,2.021774456780325510e-02,5.474054045406102876e-05
3.200000000000001066e+00,1.098333333333333384e+00,9.801834270140062921e-01,1.976325650496918093e-02,5.331648102467602629e-05
3.240000000000001101e+00,1.098333333333333384e+00,9.806111804782591257e-01,1.933683410257663535e-02,5.198541916428592021e-05
3.280000000000001137e+00,1.098333333333333384e+00,9.810128510078073294e-01,1.893640896740387755e-02,5.074002478873844343e-05
3.320000000000001172e+00,1.098333333333333384e+00,9.813903384324852430e-01,1.856008792594387655e-02,4.957364157098732344e-05
3.360000000000001208e+00,1.098333333333333384e+00,9.817453830979637752e-01,1.820613668462070858e-02,4.848021741549271715e-05
3.400000000000001243e+00,1.098333333333333384e+00,9.820795806546470663e-01,1.787296510260423868e-02,4.745424274881042257e-05
3.440000000000001279e+00,1.098333333333333384e+00,9.823943953887505076e-01,1.755911391555919215e-02,4.649069569037755613e-05
3.480000000000001315e+00,1.098333333333333384e+00,9.826911722425620832e-01,1.726324276415308612e-02,4.558499328469071342e-05
3.520000000000001350e+00,1.098333333333333384e+00,9.829711476565065054e-01,1.698411939541520643e-02,4.473294807819337004e-05
3.560000000000001386e+00,1.098333333333333384e+00,9.832354593524800235e-01,1.672060991810692468e-02,4.393072941319491845e-05
3.600000000000001421e+00,1.098333333333333384e+00,9.834851551659278268e-01,1.647167000518362512e-02,4.317482888872759044e-05
3.640000000000001457e+00,1.098333333333333384e+00,9.837212010232379011e-01,1.623633694725630169e-02,4.246202950590684700e-05
3.680000000000001492e+00,1.098333333333333384e+00,9.839444881511557606e-01,1.601372247076972288e-02,4.178937807437978241e-05
3.720000000000001528e+00,1.098333333333333384e+00,9.841558395960192662e-01,1.580300624347288213e-02,4.115416050795040885e-05
3.760000000000001563e+00,1.098333333333333384e+00,9.843560161225739513e-01,1.560342999774366572e-02,4.055387968244944540e-05
3.800000000000001599e+00,1.098333333333333384e+00,9.845457215549161534e-01,1.541429220951564052e-02,3.998623556820858225e-05
3.840000000000001634e+00,1.098333333333333384e+00,9.847256076156083449e-01,1.523494327700769709e-02,3.944910738384663484e-05
3.880000000000001670e+00,1.098333333333333384e+00,9.848962783132005905e-01,1.506478114925129987e-02,3.894053754813077379e-05
3.920000000000001705e+00,1.098333333333333384e+00,9.850582939231674606e-01,1.490324735959949048e-02,3.845871723297310339e-05
3.960000000000001741e+00,1.098333333333333384e+00,9.852121746026034632e-01,1.474982342405271700e-02,3.800197334367562153e-05
4.000000000000001776e+00,1.098333333333333384e+00,9.853584036748299635e-01,1.460402756839745270e-02,3.756875677273406128e-05
4.040000000000001812e+00,1.098333333333333384e+00,9.854974306163314379e-01,1.446541175187737033e-02,3.715763179124086866e-05
4.080000000000001847e+00,1.098333333333333384e+00,9.856296737750953607e-01,1.433355895844701938e-02,3.676726645749452588e-05
4.120000000000001883e+00,1.098333333333333384e+00,9.857555228464289776e-01,1.420808072963497537e-02,3.639642393610266187e-05
4.160000000000001918e+00,1.098333333333333384e+00,9.858753411296607982e-01,1.408861491570634859e-02,3.604395463290031105e-05
4.200000000000001954e+00,1.098333333333333384e+00,9.859894675867436620e-01,1.397482362419474183e-02,3.570878906160241176e-05
4.240000000000001990e+00,1.098333333333333384e+00,9.860982187216306150e-01,1.386639134700191379e-02,3.538993136744305131e-05
4.280000000000002025e+00,1.098333333333333384e+00,9.862018902973918033e-01,1.376302324916672641e-02,3.508645344129007938e-05
4.320000000000002061e+00,1.098333333333333384e+00,9.863007589063271796e-01,1.366444360410799981e-02,3.479748956499316475e-05
4.360000000000002096e+00,1.098333333333333384e+00,9.863950834067962692e-01,1.357039436166842562e-02,3.452223153514498509e-05
2.000000000000000000e+00,1.196666666666666767e+00,9.140307512386804945e-01,8.566703069189658681e-02,3.022180694229012780e-04
2.040000000000000036e+00,1.196666666666666767e+00,9.196671799666299441e-01,8.005506857146535427e-02,2.777514619045668050e-04
2.080000000000000071e+00,1.196666666666666767e+00,9.248400503790084048e-01,7.490413195679655745e-02,2.558176641949836067e-04
2.120000000000000107e+00,1.196666666666666767e+00,9.295857769746000976e-01,7.017809054418949755e-02,2.361324812103738030e-04
2.160000000000000142e+00,1.196666666666666767e+00,9.339387616752155008e-01,6.584279381963190070e-02,2.184445051525854087e-04
2.200000000000000178e+00,1.196666666666666767e+00,9.379313018858979056e-01,6.186616670406093477e-02,2.025314100410458929e-04
2.240000000000000213e+00,1.196666666666666767e+00,9.415935547060958477e-01,5.821824866166559753e-02,1.881966322385717838e-04
2.280000000000000249e+00,1.196666666666666767e+00,9.449535461257587698e-01,5.487118747057963264e-02,1.752664036615522757e-04
2.320000000000000284e+00,1.196666666666666767e+00,9.480372152491989279e-01,5.179919764460726855e-02,1.635871061938056793e-04
2.360000000000000320e+00,1.196666666666666767e+00,9.508684848807912315e-01,4.897849220160398892e-02,1.530229176048288715e-04
2.400000000000000355e+00,1.196666666666666767e+00,9.534693510949285855e-01,4.638719518400629543e-02,1.434537210650287955e-04
2.440000000000000391e+00,1.196666666666666767e+00,9.558599856389007332e-01,4.400524110892782559e-02,1.347732521715242274e-04
2.480000000000000426e+00,1.196666666666666767e+00,9.580588461438038772e-01,4.181426639695264014e-02,1.268874592434220789e-04
2.520000000000000462e+00,1.196666666666666767e+00,9.600827901243430551e-01,3.979749682116011378e-02,1.197130544967952572e-04
2.560000000000000497e+00,1.196666666666666767e+00,9.619471896251906573e-01,3.793963413926600137e-02,1.131762355432687972e-04
2.600000000000000533e+00,1.196666666666666767e+00,9.636660441202061778e-01,3.622674432134601052e-02,1.072115584477016296e-04
2.640000000000000568e+00,1.196666666666666767e+00,9.652520898979963793e-01,3.464614915669562978e-02,1.017609453079640423e-04
2.680000000000000604e+00,1.196666666666666767e+00,9.667169046834585000e-01,3.318632250557639052e-02,9.677281096512457674e-05
2.720000000000000639e+00,1.196666666666666767e+00,9.680710066623666732e-01,3.183679204263129003e-02,9.220129500193823566e-05
2.760000000000000675e+00,1.196666666666666767e+00,9.693239474076674744e-01,3.058804700570016619e-02,8.800558663232505529e-05
2.800000000000000711e+00,1.196666666666666767e+00,9.704843984646122079e-01,2.943145220396821068e-02,8.414933141957240596e-05
2.840000000000000746e+00,1.196666666666666767e+00,9.715602315490543539e-01,2.835916834096080183e-02,8.060010998486356361e-05
2.880000000000000782e+00,1.196666666666666767e+00,9.725585924599174925e-01,2.736407856010080603e-02,7.732897998178420043e-05
2.920000000000000817e+00,1.196666666666666767e+00,9.734859689125079374e-01,2.643972101387164625e-02,7.431007362029755999e-05
2.960000000000000853e+00,1.196666666666666767e+00,9.743482525721951504e-01,2.558022718387454805e-02,7.152024393042747210e-05
3.000000000000000888e+00,1.196666666666666767e+00,9.751507956149672030e-01,2.478026563126495274e-02,6.893875376780701086e-05
3.040000000000000924e+00,1.196666666666666767e+00,9.758984621683318705e-01,2.403499082938099010e-02,6.654700228717770193e-05
3.080000000000000959e+00,1.196666666666666767e+00,9.765956749977050544e-01,2.333999671804199566e-02,6.432828425305403552e-05
3.120000000000000995e+00,1.196666666666666767e+00,9.772464578037735050e-01,2.269127461810038424e-02,6.226757812625836495e-05
3.160000000000001030e+00,1.196666666666666767e+00,9.778544734883853895e-01,2.208517515224656808e-02,6.035135936794091475e-05
3.200000000000001066e+00,1.196666666666666767e+00,9.784230587328338613e-01,2.151837383132037748e-02,5.856743584573735286e-05
3.240000000000001101e+00,1.196666666666666767e+00,9.789552552148547138e-01,2.098783998252900726e-02,5.690480261620640962e-05
3.280000000000001137e+00,1.196666666666666767e+00,9.794538377707783239e-01,2.049080871552221364e-02,5.535351369950241353e-05
3.320000000000001172e+00,1.196666666666666767e+00,9.799213397881444410e-01,2.002475564309370154e-02,5.390456876178641778e-05
3.360000000000001208e+00,1.196666666666666767e+00,9.803600760925998969e-01,1.958737409451712791e-02,5.254981288303448592e-05
3.400000000000001243e+00,1.196666666666666767e+00,9.807721635716085684e-01,1.917655458057429887e-02,5.128184781713678665e-05
3.440000000000001279e+00,1.196666666666666767e+00,9.811595397568968480e-01,1.879036628975180173e-02,5.009395335144413750e-05
3.480000000000001315e+00,1.196666666666666767e+00,9.815239795678717405e-01,1.842704041458058731e-02,4.898001754777616816e-05
3.520000000000001350e+00,1.196666666666666767e+00,9.818671103997214100e-01,1.808495512547891870e-02,4.793447479950725887e-05
3.560000000000001386e+00,1.196666666666666767e+00,9.821904257225984036e-01,1.776262202662926351e-02,4.695225077248733696e-05
3.600000000000001421e+00,1.196666666666666767e+00,9.824952973422609315e-01,1.745867394432532027e-02,4.602871341369253554e-05
3.640000000000001457e+00,1.196666666666666767e+00,9.827829864578209174e-01,1.717185391286626256e-02,4.515962931280728850e-05
3.680000000000001492e+00,1.196666666666666767e+00,9.830546536387311241e-01,1.690100523647871875e-02,4.434112479031235532e-05
3.720000000000001528e+00,1.196666666666666767e+00,9.833113678308725847e-01,1.664506251796467329e-02,4.356965116275627280e-05
3.760000000000001563e+00,1.196666666666666767e+00,9.835541144904298427e-01,1.640304355586691409e-02,4.284195370317112208e-05
3.800000000000001599e+00,1.196666666666666767e+00,9.837838029341378077e-01,1.617404202198874721e-02,4.215504387333968627e-05
3.840000000000001634e+00,1.196666666666666767e+00,9.840012729853709894e-01,1.595722084017309542e-02,4.150617445591640002e-05
3.880000000000001670e+00,1.196666666666666767e+00,9.842073009873220091e-01,1.575180619541865709e-02,4.089281725923281640e-05
3.920000000000001705e+00,1.196666666666666767e+00,9.844026052471325228e-01,1.555708210976068998e-02,4.031264310680109195e-05
3.960000000000001741e+00,1.196666666666666767e+00,9.845878509681974533e-01,1.537238552794480823e-02,3.976350385780871871e-05
4.000000000000001776e+00,1.196666666666666767e+00,9.847636547219215108e-01,1.519710186184350907e-02,3.924341623489900903e-05
4.040000000000001812e+00,1.196666666666666767e+00,9.849305885048666998e-01,1.503066094787154292e-02,3.875054726181059576e-05
4.080000000000001847e+00,1.196666666666666767e+00,9.850891834224563270e-01,1.487253337640715919e-02,3.828320113648133702e-05
4.120000000000001883e+00,1.196666666666666767e+00,9.852399330361359953e-01,1.472222715647853244e-02,3.783980738542518069e-05
4.160000000000001918e+00,1.196666666666666767e+00,9.853832964070589062e-01,1.457928468277811321e-02,3.741891016292888381e-05
4.200000000000001954e+00,1.196666666666666767e+00,9.855197008659581925e-01,1.444327997546771339e-02,3.701915857418981612e-05
4.240000000000001990e+00,1.196666666666666767e+00,9.856495445358052221e-01,1.431381616627939828e-02,3.663929791522192367e-05
4.280000000000002025e+00,1.196666666666666767e+00,9.857731986311318861e-01,1.419052320713376676e-02,3.627816173440957061e-05
4.320000000000002061e+00,1.196666666666666767e+00,9.858910095554407338e-01,1.407305577992802766e-02,3.593466463120704296e-05
4.360000000000002096e+00,1.196666666666666767e+00,9.860033008159641010e-01,1.396109138831896392e-02,3.560779571684265628e-05
2.000000000000000000e+00,1.295000000000000151e+00,8.917115257792268546e-01,1.078912536063630634e-01,3.972206144099042421e-04
2.040000000000000036e+00,1.295000000000000151e+00,8.991337404816600598e-01,1.005032235791100542e-01,3.630359392298572962e-04
2.080000000000000071e+00,1.295000000000000151e+00,9.059608554041280737e-01,9.370669593515311424e-02,3.324486607186935149e-04
2.120000000000000107e+00,1.295000000000000151e+00,9.122347532787022928e-01,8.746018933742545631e-02,3.050573838722388091e-04
2.160000000000000142e+00,1.295000000000000151e+00,9.179960664841066986e-01,8.172342789408409969e-02,2.805056218093355874e-04
2.200000000000000178e+00,1.295000000000000151e+00,9.232838205860943726e-01,7.645770237531947233e-02,2.584770385861431905e-04
2.240000000000000213e+00,1.295000000000000151e+00,9.281351768085703835e-01,7.162613205938275773e-02,2.386911320469644498e-04
2.280000000000000249e+00,1.295000000000000151e+00,9.325852598172440500e-01,6.719384085693824726e-02,2.208993258176933957e-04
2.320000000000000284e+00,1.295000000000000151e+00,9.366670573243008890e-01,6.312806123445931228e-02,2.048814412396831566e-04
2.360000000000000320e+00,1.295000000000000151e+00,9.404113787149910308e-01,5.939817876383964718e-02,1.904425211693463440e-04
2.400000000000000355e+00,1.295000000000000151e+00,9.438468609605257242e-01,5.597572906102031565e-02,1.774099784540079559e-04
2.440000000000000391e+00,1.295000000000000151e+00,9.470000113567857980e-01,5.283435760047278107e-02,1.656310427413646064e-04
2.480000000000000426e+00,1.295000000000000151e+00,9.498952779911199462e-01,4.994975152867657531e-02,1.549704802034643290e-04
2.520000000000000462e+00,1.295000000000000151e+00,9.525551401986231959e-01,4.729955123956799262e-02,1.453085618086940472e-04
2.560000000000000497e+00,1.295000000000000151e+00,9.550002125616567916e-01,4.486324818137634590e-02,1.365392569668890668e-04
2.600000000000000533e+00,1.295000000000000151e+00,9.572493571920374089e-01,4.262207417727517655e-02,1.285686306875153350e-04
2.640000000000000568e+00,1.295000000000000151e+00,9.593198000924600954e-01,4.055888648374060546e-02,1.213134237992191834e-04
2.680000000000000604e+00,1.295000000000000151e+00,9.612272483139161494e-01,3.865805188883832122e-02,1.146997972455259109e-04
2.720000000000000639e+00,1.295000000000000151e+00,9.629860054103058786e-01,3.690533236673336492e-02,1.086622229608000207e-04
2.760000000000000675e+00,1.295000000000000151e+00,9.646090833475953197e-01,3.528777414709403926e-02,1.031425053106669492e-04
2.800000000000000711e+00,1.295000000000000151e+00,9.661083095639831919e-01,3.379360151749196545e-02,9.808891852489634740e-05
2.840000000000000746e+00,1.295000000000000151e+00,9.674944283128543709e-01,3.241211624020864934e-02,9.345544693692971834e-05
2.880000000000000782e+00,1.295000000000000151e+00,9.687771957655685329e-01,3.113360311827459773e-02,8.920111615696760493e-05
2.920000000000000817e+00,1.295000000000000151e+00,9.699654686198250220e-01,2.994924197564065652e-02,8.528940453425181616e-05
2.960000000000000853e+00,1.295000000000000151e+00,9.710672861640395892e-01,2.885102611055783556e-02,8.168772540261970557e-05
3.000000000000000888e+00,1.295000000000000151e+00,9.720899459001731691e-01,2.783168712817773310e-02,7.836697164900457003e-05
3.040000000000000924e+00,1.295000000000000151e+00,9.730400729367985058e-01,2.688462594810386505e-02,7.530111509766550509e-05
3.080000000000000959e+00,1.295000000000000151e+00,9.739236834394165987e-01,2.600384970651741651e-02,7.246685406596961934e-05
3.120000000000000995e+00,1.295000000000000151e+00,9.747462424734866238e-01,2.518391422328869825e-02,6.984330322465008925e-05
3.160000000000001030e+00,1.295000000000000151e+00,9.755127166033115138e-01,2.441987167609684789e-02,6.741172059166870053e-05
3.200000000000001066e+00,1.295000000000000151e+00,9.762276216218654934e-01,2.370722311102462995e-02,6.515526710990309325e-05
3.240000000000001101e+00,1.295000000000000151e+00,9.768950657868622489e-01,2.304187541832692157e-02,6.305879481089094959e-05
3.280000000000001137e+00,1.295000000000000151e+00,9.775187889300948063e-01,2.242010240984938091e-02,6.110866005589661609e-05
3.320000000000001172e+00,1.295000000000000151e+00,9.781021977928889832e-01,2.183850964833334435e-02,5.929255877762683096e-05
3.360000000000001208e+00,1.295000000000000151e+00,9.786483979223862262e-01,2.129400269658704783e-02,5.759938102672681429e-05
3.400000000000001243e+00,1.295000000000000151e+00,9.791602224428481716e-01,2.078375847468949544e-02,5.601908246215443494e-05
3.440000000000001279e+00,1.295000000000000151e+00,9.796402579944244460e-01,2.030519943485693118e-02,5.454257071866086196e-05
3.480000000000001315e+00,1.295000000000000151e+00,9.800908681096808239e-01,1.985597028547663248e-02,5.316160484252523474e-05
3.520000000000001350e+00,1.295000000000000151e+00,9.805142142763191293e-01,1.943391701746843142e-02,5.186870621258098704e-05
3.560000000000001386e+00,1.295000000000000151e+00,9.809122749133120100e-01,1.903706800712673050e-02,5.065707956122847503e-05
3.600000000000001421e+00,1.295000000000000151e+00,9.812868624674913054e-01,1.866361698962559421e-02,4.952054288294721488e-05
3.640000000000001457e+00,1.295000000000000151e+00,9.816396388185846256e-01,1.831190771624672045e-02,4.845346516884400077e-05
3.680000000000001492e+00,1.295000000000000151e+00,9.819721291629552873e-01,1.798042012600699346e-02,4.745071103768487493e-05
3.720000000000001528e+00,1.295000000000000151e+00,9.822857345298745546e-01,1.766775787867647454e-02,4.650759144906475297e-05
3.760000000000001563e+00,1.295000000000000151e+00,9.825817430690302334e-01,1.737263711118478687e-02,4.561981978495079749e-05
3.800000000000001599e+00,1.295000000000000151e+00,9.828613402341772609e-01,1.709387629314912740e-02,4.478347267366981861e-05
3.840000000000001634e+00,1.295000000000000151e+00,9.831256179752211333e-01,1.683038706977188145e-02,4.399495500710746531e-05
3.880000000000001670e+00,1.295000000000000151e+00,9.833755830396165853e-01,1.658116599171458733e-02,4.325096866887532388e-05
3.920000000000001705e+00,1.295000000000000151e+00,9.836121644736117720e-01,1.634528704183857775e-02,4.254848454972907587e-05
3.960000000000001741e+00,1.295000000000000151e+00,9.838362204045398851e-01,1.612189487798240672e-02,4.188471747767437333e-05
4.000000000000001776e+00,1.295000000000000151e+00,9.840485441769573072e-01,1.591019871930790530e-02,4.125710373491945965e-05
4.040000000000001812e+00,1.295000000000000151e+00,9.842498699078625624e-01,1.570946681126440814e-02,4.066328087296102497e-05
