sepal length (cm),sepal width (cm),setosa,versicolor,virginica
5.259999999999993570e+00,2.000000000000000000e+00,2.401196494662323488e-02,4.388405848452806568e-01,5.371474502080961777e-01
5.319999999999993179e+00,2.000000000000000000e+00,2.135492373493972501e-02,4.323456977009088598e-01,5.462993785641513389e-01
5.379999999999992788e+00,2.000000000000000000e+00,1.908491248415598515e-02,4.259928480567496401e-01,5.549222394590944685e-01
5.439999999999992397e+00,2.000000000000000000e+00,1.713871068544383855e-02,4.198118310312779489e-01,5.630494582832782369e-01
5.499999999999992006e+00,2.000000000000000000e+00,1.546414142869936316e-02,4.138240744776020552e-01,5.707117840936986042e-01
5.559999999999991616e+00,2.000000000000000000e+00,1.401808966825052703e-02,4.080442988338606192e-01,5.779376114978889145e-01
5.619999999999991225e+00,2.000000000000000000e+00,1.276486862130716757e-02,4.024818758384432482e-01,5.847532555402495946e-01
5.679999999999990834e+00,2.000000000000000000e+00,1.167487968621937731e-02,3.971419367674973722e-01,5.911831835462831863e-01
5.739999999999990443e+00,2.000000000000000000e+00,1.072351667958787967e-02,3.920262739050935363e-01,5.972502094153185892e-01
5.799999999999990052e+00,2.000000000000000000e+00,9.890271594754388926e-03,3.871340722023004499e-01,6.029756562029452427e-01
5.859999999999989662e+00,2.000000000000000000e+00,9.158005516663599369e-03,3.824625019498562595e-01,6.083794925334801151e-01
5.919999999999989271e+00,2.000000000000000000e+00,8.512354291461472766e-03,3.780071979426864459e-01,6.134804477658521993e-01
5.979999999999988880e+00,2.000000000000000000e+00,7.941243824429072493e-03,3.737626460698967312e-01,6.182961101056740905e-01
6.039999999999988489e+00,2.000000000000000000e+00,7.434494408128596715e-03,3.697224944645434164e-01,6.228430111273280945e-01
6.099999999999988098e+00,2.000000000000000000e+00,6.983497291448511127e-03,3.658798032059062399e-01,6.271366995026451674e-01
6.159999999999987708e+00,2.000000000000000000e+00,6.580949858706804448e-03,3.622272439878598815e-01,6.311918061534332880e-01
6.219999999999987317e+00,2.000000000000000000e+00,6.220638380898645646e-03,3.587572590590988875e-01,6.350221025600024660e-01
6.279999999999986926e+00,2.000000000000000000e+00,5.897259414617491563e-03,3.554621870228723557e-01,6.386405535625100383e-01
6.339999999999986535e+00,2.000000000000000000e+00,5.606272638127684192e-03,3.523343616853007454e-01,6.420593656765716251e-01
6.399999999999986144e+00,2.000000000000000000e+00,5.343779299226650292e-03,3.493661890033078476e-01,6.452900316974654604e-01
6.459999999999985754e+00,2.000000000000000000e+00,5.106421566458066094e-03,3.465502062569212338e-01,6.483433721766206359e-01
6.519999999999985363e+00,2.000000000000000000e+00,4.891298974684273916e-03,3.438791268162426085e-01,6.512295742090732364e-01
6.579999999999984972e+00,2.000000000000000000e+00,4.695898879926932099e-03,3.413458732583137256e-01,6.539582278617593891e-01
6.639999999999984581e+00,2.000000000000000000e+00,4.518038421008711662e-03,3.389436010870872651e-01,6.565383604919041716e-01
6.699999999999984190e+00,2.000000000000000000e+00,4.355815954675656965e-03,3.366657148994965931e-01,6.589784691458276944e-01
6.759999999999983800e+00,2.000000000000000000e+00,4.207570308977595132e-03,3.345058785050475936e-01,6.612865511859749024e-01
6.819999999999983409e+00,2.000000000000000000e+00,4.071846504761215957e-03,3.324580202315225996e-01,6.634701332637161775e-01
6.879999999999983018e+00,2.000000000000000000e+00,3.947366841637799280e-03,3.305163344241108803e-01,6.655362987342513525e-01
6.939999999999982627e+00,2.000000000000000000e+00,3.833006444293838178e-03,3.286752799604326647e-01,6.674917135952735947e-01
6.999999999999982236e+00,2.000000000000000000e+00,3.727772526766585069e-03,3.269295764521758518e-01,6.693426510210576108e-01
7.059999999999981846e+00,2.000000000000000000e+00,3.630786763704064394e-03,3.252741986794031592e-01,6.710950145568927994e-01
7.119999999999981455e+00,2.000000000000000000e+00,3.541270264581911076e-03,3.237043697011504073e-01,6.727543600342678065e-01
7.179999999999981064e+00,2.000000000000000000e+00,3.458530734088277603e-03,3.222155530017443703e-01,6.743259162641673798e-01
7.239999999999980673e+00,2.000000000000000000e+00,3.381951473201494709e-03,3.208034439630860213e-01,6.758146045637124510e-01
7.299999999999980282e+00,2.000000000000000000e+00,3.310981933907994942e-03,3.194639608962946964e-01,6.772250571697973065e-01
7.359999999999979892e+00,2.000000000000000000e+00,3.245129588479564366e-03,3.181932358194363153e-01,6.785616345920840731e-01
7.419999999999979501e+00,2.000000000000000000e+00,3.183952913706934642e-03,3.169876051297549346e-01,6.798284419565381320e-01
7.479999999999979110e+00,2.000000000000000000e+00,3.127055323050172662e-03,3.158436002874379644e-01,6.810293443895117926e-01
7.539999999999978719e+00,2.000000000000000000e+00,3.074079906587514222e-03,3.147579386022519299e-01,6.821679814911605355e-01
7.599999999999978328e+00,2.000000000000000000e+00,3.024704860951866678e-03,3.137275141933907330e-01,6.832477809456574125e-01
7.659999999999977938e+00,2.000000000000000000e+00,2.978639509971391878e-03,3.127493891757680555e-01,6.842719713142605409e-01
7.719999999999977547e+00,2.000000000000000000e+00,2.935620832152634457e-03,3.118207851120704532e-01,6.852435940557768390e-01
7.779999999999977156e+00,2.000000000000000000e+00,2.895410424011462831e-03,3.109390747586099901e-01,6.861655148173786412e-01
7.839999999999976765e+00,2.000000000000000000e+00,2.857791839015859543e-03,3.101017741239216474e-01,6.870404340370624974e-01
4.299999999999999822e+00,2.040000000000000036e+00,2.942673249114017286e-01,4.461561464261120658e-01,2.595765286624862611e-01
4.359999999999999432e+00,2.040000000000000036e+00,2.533730541536867720e-01,4.625164673886368871e-01,2.841104784576762299e-01
4.419999999999999041e+00,2.040000000000000036e+00,2.170092941524184305e-01,4.751401671274977367e-01,3.078505387200838883e-01
4.479999999999998650e+00,2.040000000000000036e+00,1.851573985553301438e-01,4.842552018543639925e-01,3.305873995903058082e-01
4.539999999999998259e+00,2.040000000000000036e+00,1.576031762170954087e-01,4.902033296489696768e-01,3.521934941339349145e-01
4.599999999999997868e+00,2.040000000000000036e+00,1.340040922745237284e-01,4.933870335834077414e-01,3.726088741420685579e-01
4.659999999999997478e+00,2.040000000000000036e+00,1.139485181761586974e-01,4.942266331492156106e-01,3.918248486746256365e-01
4.719999999999997087e+00,2.040000000000000036e+00,9.700195591591333211e-02,4.931296213342620804e-01,4.098684227498247123e-01
4.779999999999996696e+00,2.040000000000000036e+00,8.273939204432319283e-02,4.904714182699261849e-01,4.267891896857505807e-01
4.839999999999996305e+00,2.040000000000000036e+00,7.076543793890387180e-02,4.865853224645445563e-01,4.426492395965515581e-01
4.899999999999995914e+00,2.040000000000000036e+00,6.072495094791827835e-02,4.817590907872402184e-01,4.575159582648414824e-01
4.959999999999995524e+00,2.040000000000000036e+00,5.230691620111733997e-02,4.762358322652551768e-01,4.714572515336276082e-01
5.019999999999995133e+00,2.040000000000000036e+00,4.524396968187154727e-02,4.702173999766739443e-01,4.845386303414544460e-01
5.079999999999994742e+00,2.040000000000000036e+00,3.930938311465844576e-02,4.638689909755092655e-01,4.968216259098323095e-01
5.139999999999994351e+00,2.040000000000000036e+00,3.431279041080575326e-02,4.573241120023583406e-01,5.083630975868359547e-01
5.199999999999993960e+00,2.040000000000000036e+00,3.009549101121049633e-02,4.506894072382373606e-01,5.192151017505521882e-01
5.259999999999993570e+00,2.040000000000000036e+00,2.652583445705750456e-02,4.440490795174466543e-01,5.294250860254958724e-01
5.319999999999993179e+00,2.040000000000000036e+00,2.349496109849973091e-02,4.374687886637376733e-01,5.390362502377625820e-01
5.379999999999992788e+00,2.040000000000000036e+00,2.091302431306913540e-02,4.309990025395318280e-01,5.480879731473989880e-01
5.439999999999992397e+00,2.040000000000000036e+00,1.870592795258576094e-02,4.246778274090897698e-01,5.566162446383243756e-01
5.499999999999992006e+00,2.040000000000000036e+00,1.681256057701567899e-02,4.185333690566162557e-01,5.646540703663681660e-01
5.559999999999991616e+00,2.040000000000000036e+00,1.518248147872519258e-02,4.125856851290023997e-01,5.722318333922723488e-01
5.619999999999991225e+00,2.040000000000000036e+00,1.377400273985920562e-02,4.068483892620140541e-01,5.793776079981267646e-01
5.679999999999990834e+00,2.040000000000000036e+00,1.255261000489885613e-02,4.013299630393758477e-01,5.861174269557252181e-01
5.739999999999990443e+00,2.040000000000000036e+00,1.148966804128292649e-02,3.960348253415127417e-01,5.924755066172043838e-01
5.799999999999990052e+00,2.040000000000000036e+00,1.056136287594244133e-02,3.909642016569110368e-01,5.984744354671465150e-01
5.859999999999989662e+00,2.040000000000000036e+00,9.747838782703292793e-03,3.861168292451036543e-01,6.041353319721930459e-01
5.919999999999989271e+00,2.040000000000000036e+00,9.032494791422703700e-03,3.814895280263634336e-01,6.094779771822138592e-01
5.979999999999988880e+00,2.040000000000000036e+00,8.401411257365157953e-03,3.770776618583885909e-01,6.145209268842463102e-01
6.039999999999988489e+00,2.040000000000000036e+00,7.842882185721669619e-03,3.728755104434640644e-01,6.192816073708142799e-01
6.099999999999988098e+00,2.040000000000000036e+00,7.347033412832174037e-03,3.688765684259379674e-01,6.237763981612297615e-01
6.159999999999987708e+00,2.040000000000000036e+00,6.905510440656239049e-03,3.650737851987230220e-01,6.280207043606207407e-01
6.219999999999987317e+00,2.040000000000000036e+00,6.511222778269517078e-03,3.614597564434197108e-01,6.320290207783108016e-01
6.279999999999986926e+00,2.040000000000000036e+00,6.158134149888058566e-03,3.580268763915900876e-01,6.358149894585217732e-01
6.339999999999986535e+00,2.040000000000000036e+00,5.841089968857530491e-03,3.547674581348906897e-01,6.393914518962517946e-01
6.399999999999986144e+00,2.040000000000000036e+00,5.555675129947209613e-03,3.516738279608717099e-01,6.427704969091809772e-01
6.459999999999985754e+00,2.040000000000000036e+00,5.298096507292186091e-03,3.487383985920500806e-01,6.459635049006577923e-01
6.519999999999985363e+00,2.040000000000000036e+00,5.065085621348088853e-03,3.459537253111652499e-01,6.489811890674866968e-01
6.579999999999984972e+00,2.040000000000000036e+00,4.853817804497614213e-03,3.433125482267498363e-01,6.518336339687524905e-01
6.639999999999984581e+00,2.040000000000000036e+00,4.661844892045084558e-03,3.408078233389278955e-01,6.545303317690270850e-01
6.699999999999984190e+00,2.040000000000000036e+00,4.487039026356812524e-03,3.384327445803230749e-01,6.570802163933201490e-01
6.759999999999983800e+00,2.040000000000000036e+00,4.327545613668854797e-03,3.361807586105939327e-01,6.594916957757371856e-01
6.819999999999983409e+00,2.040000000000000036e+00,4.181743837205015302e-03,3.340455738188390367e-01,6.617726823439560313e-01
6.879999999999983018e+00,2.040000000000000036e+00,4.048213424090075716e-03,3.320211647225519980e-01,6.639306218533579385e-01
6.939999999999982627e+00,2.040000000000000036e+00,3.925706601017220528e-03,3.301017727341069019e-01,6.659725206648758888e-01
6.999999999999982236e+00,2.040000000000000036e+00,3.813124365866114515e-03,3.282819040871613470e-01,6.679049715469725923e-01
7.059999999999981846e+00,2.040000000000000036e+00,3.709496358368857220e-03,3.265563255687490840e-01,6.697341780728820471e-01
7.119999999999981455e+00,2.040000000000000036e+00,3.613963739598121880e-03,3.249200585824149057e-01,6.714659776779869915e-01
7.179999999999981064e+00,2.040000000000000036e+00,3.525764593193450765e-03,3.233683719688167368e-01,6.731058634379897265e-01
7.239999999999980673e+00,2.040000000000000036e+00,3.444221445398314065e-03,3.218967739289337882e-01,6.746590046256678574e-01
7.299999999999980282e+00,2.040000000000000036e+00,3.368730569796247413e-03,3.205010033282396087e-01,6.761302661019641391e-01
7.359999999999979892e+00,2.040000000000000036e+00,3.298752799030591539e-03,3.191770206053555770e-01,6.775242265956138432e-01
7.419999999999979501e+00,2.040000000000000036e+00,3.233805612115367694e-03,3.179209984636884312e-01,6.788451959241962319e-01
7.479999999999979110e+00,2.040000000000000036e+00,3.173456304079517922e-03,3.167293124876361943e-01,6.800972312082843585e-01
7.539999999999978719e+00,2.040000000000000036e+00,3.117316076153589695e-03,3.155985317947117563e-01,6.812841521291346236e-01
7.599999999999978328e+00,2.040000000000000036e+00,3.065034910731549538e-03,3.145254098102008844e-01,6.824095552790676589e-01
7.659999999999977938e+00,2.040000000000000036e+00,3.016297116912387138e-03,3.135068752307788587e-01,6.834768276523087716e-01
7.719999999999977547e+00,2.040000000000000036e+00,2.970817450348411503e-03,3.125400232270705292e-01,6.844891593225810311e-01
7.779999999999977156e+00,2.040000000000000036e+00,2.928337726051497177e-03,3.116221069217764428e-01,6.854495553521721130e-01
7.839999999999976765e+00,2.040000000000000036e+00,2.888623855264286361e-03,3.107505291691855520e-01,6.863608469755501096e-01
4.299999999999999822e+00,2.080000000000000071e+00,3.312635260683184368e-01,4.296517575650423693e-01,2.390847163666391662e-01
4.359999999999999432e+00,2.080000000000000071e+00,2.867826048652460935e-01,4.491440459565029797e-01,2.640733491782509823e-01
4.419999999999999041e+00,2.080000000000000071e+00,2.466572105701774487e-01,4.648361115820082712e-01,2.885066778478143079e-01
4.479999999999998650e+00,2.080000000000000071e+00,2.110795390560720741e-01,4.768191344041606272e-01,3.121013265397671876e-01
4.539999999999998259e+00,2.080000000000000071e+00,1.799917554414725562e-01,4.853454587512635032e-01,3.346627858072640516e-01
4.599999999999997868e+00,2.080000000000000071e+00,1.531521507530800574e-01,4.907715221473661904e-01,3.560763270995536689e-01
4.659999999999997478e+00,2.080000000000000071e+00,1.302016728874703377e-01,4.935061608351681839e-01,3.762921662773613951e-01
4.719999999999997087e+00,2.080000000000000071e+00,1.107212232427305099e-01,4.939697551888562188e-01,3.953090215684132436e-01
4.779999999999996696e+00,2.080000000000000071e+00,9.427549266495138802e-02,4.925656461050736956e-01,4.131588612299750274e-01
4.839999999999996305e+00,2.080000000000000071e+00,8.044305414985755687e-02,4.896626661005509251e-01,4.298942797495916013e-01
4.899999999999995914e+00,2.080000000000000071e+00,6.883464881830035631e-02,4.855864352930104322e-01,4.455789158886893087e-01
4.959999999999995524e+00,2.080000000000000071e+00,5.910243630379709290e-02,4.806168601187003619e-01,4.602807035775026701e-01
5.019999999999995133e+00,2.080000000000000071e+00,5.094294993497053975e-02,4.749895928478894969e-01,4.740674572171398315e-01
5.079999999999994742e+00,2.080000000000000071e+00,4.409604908104960280e-02,4.688997274680440919e-01,4.870042234509062151e-01
5.139999999999994351e+00,2.080000000000000071e+00,3.834159311551989940e-02,4.625065257968268839e-01,4.991518810876532375e-01
5.199999999999993960e+00,2.080000000000000071e+00,3.349503275990983048e-02,4.559383981209537140e-01,5.105665691191364486e-01
5.259999999999993570e+00,2.080000000000000071e+00,2.940268896980677976e-02,4.492976825704013133e-01,5.212996284597918306e-01
5.319999999999993179e+00,2.080000000000000071e+00,2.593717701765537592e-02,4.426649867388968707e-01,5.313978362434477187e-01
5.379999999999992788e+00,2.080000000000000071e+00,2.299321931875660321e-02,4.361029953021020589e-01,5.409037853791412997e-01
5.439999999999992397e+00,2.080000000000000071e+00,2.048395250144552718e-02,4.296597309085372074e-01,5.498563165900172134e-01
5.499999999999992006e+00,2.080000000000000071e+00,1.833775063429024868e-02,4.233713011018427896e-01,5.582909482638669374e-01
5.559999999999991616e+00,2.080000000000000071e+00,1.649553972920128619e-02,4.172641854330004785e-01,5.662402748377982631e-01
5.619999999999991225e+00,2.080000000000000071e+00,1.490855548699484244e-02,4.113571239315117478e-01,5.737343205814934288e-01
5.679999999999990834e+00,2.080000000000000071e+00,1.353648754176106639e-02,4.056626670953250025e-01,5.808008453629139867e-01
5.739999999999990443e+00,2.080000000000000071e+00,1.234595305940734168e-02,4.001884425199745965e-01,5.874656044206180150e-01
5.799999999999990052e+00,2.080000000000000071e+00,1.130924653228283089e-02,3.949381865990725937e-01,5.937525668686446378e-01
5.859999999999989662e+00,2.080000000000000071e+00,1.040331857984164686e-02,3.899125827339747219e-01,5.996840986861836642e-01
5.919999999999989271e+00,2.080000000000000071e+00,9.608943107408809275e-03,3.851099408895639620e-01,6.052811160030271420e-01
5.979999999999988880e+00,2.080000000000000071e+00,8.910038519242621455e-03,3.805267474420471752e-01,6.105632140387102780e-01
6.039999999999988489e+00,2.080000000000000071e+00,8.293114446898598724e-03,3.761581091824009460e-01,6.155487763707004900e-01
6.099999999999988098e+00,2.080000000000000071e+00,7.746820489127487393e-03,3.719981110488935760e-01,6.202550684619789756e-01
6.159999999999987708e+00,2.080000000000000071e+00,7.261577744860673103e-03,3.680401035919125818e-01,6.246983186632266705e-01
6.219999999999987317e+00,2.080000000000000071e+00,6.829277503611091982e-03,3.642769332311588948e-01,6.288937892652299855e-01
6.279999999999986926e+00,2.080000000000000071e+00,6.443034415776928772e-03,3.607011259537293846e-01,6.328558396304937439e-01
6.339999999999986535e+00,2.080000000000000071e+00,6.096983886144520873e-03,3.573050331331292240e-01,6.365979829807261181e-01
6.399999999999986144e+00,2.080000000000000071e+00,5.786115402485519400e-03,3.540809465458180649e-01,6.401329380516964651e-01
6.459999999999985754e+00,2.080000000000000071e+00,5.506135104954225541e-03,3.510211883570676372e-01,6.434726765379781277e-01
6.519999999999985363e+00,2.080000000000000071e+00,5.253352188527828960e-03,3.481181807862301358e-01,6.466284670252421263e-01
6.579999999999984972e+00,2.080000000000000071e+00,5.024584767286313820e-03,3.453644992973167738e-01,6.496109159353969931e-01
6.639999999999984581e+00,2.080000000000000071e+00,4.817081663625345615e-03,3.427529124567855190e-01,6.524300058795891033e-01
6.699999999999984190e+00,2.080000000000000071e+00,4.628457256773493844e-03,3.402764110263688524e-01,6.550951317168576260e-01
6.759999999999983800e+00,2.080000000000000071e+00,4.456637065208943552e-03,3.379282283901419714e-01,6.576151345446490382e-01
6.819999999999983409e+00,2.080000000000000071e+00,4.299812172605152472e-03,3.357018540320351185e-01,6.599983337953597706e-01
6.879999999999983018e+00,2.080000000000000071e+00,4.156400957608782400e-03,3.335910414666509727e-01,6.622525575757400862e-01
6.939999999999982627e+00,2.080000000000000071e+00,4.025016870786733703e-03,3.315898117696227110e-01,6.643851713595905206e-01
6.999999999999982236e+00,2.080000000000000071e+00,3.904441230863080203e-03,3.296924536433901709e-01,6.664031051257467420e-01
7.059999999999981846e+00,2.080000000000000071e+00,3.793600197612325212e-03,3.278935207817085251e-01,6.683128790206790404e-01
7.119999999999981455e+00,2.080000000000000071e+00,3.691545229044463153e-03,3.261878271545602948e-01,6.701206276163952369e-01
7.179999999999981064e+00,2.080000000000000071e+00,3.597436452653359970e-03,3.245704407188215734e-01,6.718321228285251134e-01
7.239999999999980673e+00,2.080000000000000071e+00,3.510528479973670790e-03,3.230366759644986985e-01,6.734527955555276169e-01
7.299999999999980282e+00,2.080000000000000071e+00,3.430158274881530724e-03,3.215820856278715500e-01,6.749877560972469270e-01
7.359999999999979892e+00,2.080000000000000071e+00,3.355734752485657092e-03,3.202024518384335439e-01,6.764418134090807166e-01
7.419999999999979501e+00,2.080000000000000071e+00,3.286729839900011906e-03,3.188937769136048206e-01,6.778194932464952638e-01
7.479999999999979110e+00,2.080000000000000071e+00,3.222670774924217638e-03,3.176522739717914656e-01,6.791250552532843709e-01
7.539999999999978719e+00,2.080000000000000071e+00,3.163133455498902749e-03,3.164743574987896602e-01,6.803625090457113833e-01
7.599999999999978328e+00,2.080000000000000071e+00,3.107736683212759636e-03,3.153566339734018009e-01,6.815356293433854074e-01
7.659999999999977938e+00,2.080000000000000071e+00,3.056137169296743727e-03,3.142958926343393244e-01,6.826479701963638069e-01
7.719999999999977547e+00,2.080000000000000071e+00,3.008025192403244053e-03,3.132890964510630094e-01,6.837028783565336498e-01
7.779999999999977156e+00,2.080000000000000071e+00,2.963120814807007532e-03,3.123333733454176087e-01,6.847035058397754614e-01
7.839999999999976765e+00,2.080000000000000071e+00,2.921170578108556529e-03,3.114260076981012482e-01,6.856528217237901623e-01
4.299999999999999822e+00,2.120000000000000107e+00,3.709302115386085563e-01,4.106405855618447398e-01,2.184292028995467316e-01
4.359999999999999432e+00,2.120000000000000107e+00,3.231935922321433896e-01,4.331851740769965264e-01,2.436212336908601117e-01
4.419999999999999041e+00,2.120000000000000107e+00,2.794310941772288337e-01,4.520116051815163405e-01,2.685573006412548258e-01
4.479999999999998650e+00,2.120000000000000107e+00,2.400813676500501426e-01,4.670380443969260331e-01,2.928805879530239076e-01
4.539999999999998259e+00,2.120000000000000107e+00,2.052888176655141839e-01,4.783881187241283417e-01,3.163230636103573912e-01
4.599999999999997868e+00,2.120000000000000107e+00,1.749584000620236224e-01,4.863368114431564360e-01,3.387047884948198306e-01
4.659999999999997478e+00,2.120000000000000107e+00,1.488229057325340943e-01,4.912536394720723454e-01,3.599234547953935603e-01
4.719999999999997087e+00,2.120000000000000107e+00,1.265085215133743279e-01,4.935525145678602010e-01,3.799389639187653045e-01
4.779999999999996696e+00,2.120000000000000107e+00,1.075900372610780614e-01,4.936529718408834699e-01,3.987569908980383993e-01
4.839999999999996305e+00,2.120000000000000107e+00,9.163227848637159334e-02,4.919536341725840312e-01,4.164140873410444033e-01
4.899999999999995914e+00,2.120000000000000107e+00,7.821799185102483454e-02,4.888164516155003025e-01,4.329655565334749601e-01
4.959999999999995524e+00,2.120000000000000107e+00,6.696435801313467551e-02,4.845592652541934608e-01,4.484763767326719330e-01
5.019999999999995133e+00,2.120000000000000107e+00,5.753095293559520179e-02,4.794541566150382073e-01,4.630148904493666118e-01
5.079999999999994742e+00,2.120000000000000107e+00,4.962184558460112221e-02,4.737294200193539195e-01,4.766487343960451040e-01
5.139999999999994351e+00,2.120000000000000107e+00,4.298403214284635815e-02,4.675735250377444641e-01,4.894424428194091292e-01
5.199999999999993960e+00,2.120000000000000107e+00,3.740383596967752217e-02,4.611399443612156923e-01,5.014562196691066953e-01
5.259999999999993570e+00,2.120000000000000107e+00,3.270238799042544248e-02,4.545521346932885898e-01,5.127454773162859469e-01
5.319999999999993179e+00,2.120000000000000107e+00,2.873089578760959148e-02,4.479082598319862885e-01,5.233608443804041999e-01
5.379999999999992788e+00,2.120000000000000107e+00,2.536611527906245875e-02,4.412854491693808945e-01,5.333484355515565323e-01
5.439999999999992397e+00,2.120000000000000107e+00,2.250623944067775203e-02,4.347435137233450209e-01,5.427502468359771681e-01
5.499999999999992006e+00,2.120000000000000107e+00,2.006729135144702872e-02,4.283281174929185475e-01,5.516045911556343162e-01
5.559999999999991616e+00,2.120000000000000107e+00,1.798003279445455072e-02,4.220734423040076178e-01,5.599465249015377344e-01
5.619999999999991225e+00,2.120000000000000107e+00,1.618735782742825730e-02,4.160044025663876543e-01,5.678082396061840953e-01
5.679999999999990834e+00,2.120000000000000107e+00,1.464212070905039284e-02,4.101384715504954870e-01,5.752194077404542139e-01
5.739999999999990443e+00,2.120000000000000107e+00,1.330534072017486129e-02,4.044871788088997278e-01,5.822074804709255202e-01
5.799999999999990052e+00,2.120000000000000107e+00,1.214472705631964092e-02,3.990573328731135683e-01,5.887979400705668498e-01
5.859999999999989662e+00,2.120000000000000107e+00,1.113347147425225968e-02,3.938520165156736974e-01,5.950145120100740481e-01
5.919999999999989271e+00,2.120000000000000107e+00,1.024926255129570210e-02,3.888713948857810965e-01,6.008793425629231910e-01
5.979999999999988880e+00,2.120000000000000107e+00,9.473481987417830402e-03,3.841133703201689009e-01,6.064131476924133901e-01
6.039999999999988489e+00,2.120000000000000107e+00,8.790549659116483547e-03,3.795741118668610192e-01,6.116353384740225163e-01
6.099999999999988098e+00,2.120000000000000107e+00,8.187389790111101323e-03,3.752484826101548654e-01,6.165641275997341131e-01
6.159999999999987708e+00,2.120000000000000107e+00,7.652995516209085136e-03,3.711303837200074507e-01,6.212166207637834781e-01
6.219999999999987317e+00,2.120000000000000107e+00,7.178073286336759951e-03,3.672130306899372143e-01,6.256088960237260466e-01
6.279999999999986926e+00,2.120000000000000107e+00,6.754752014070278081e-03,3.634891743798037700e-01,6.297560736061258435e-01
6.339999999999986535e+00,2.120000000000000107e+00,6.376344755320835327e-03,3.599512771484777995e-01,6.336723780962012498e-01
6.399999999999986144e+00,2.120000000000000107e+00,6.037153026013919281e-03,3.565916524593485959e-01,6.373711945146375291e-01
6.459999999999985754e+00,2.120000000000000107e+00,5.732305773013988796e-03,3.534025747927220240e-01,6.408651194342640522e-01
6.519999999999985363e+00,2.120000000000000107e+00,5.457626548178177474e-03,3.503763654388610260e-01,6.441660080129608668e-01
6.579999999999984972e+00,2.120000000000000107e+00,5.209523675143244020e-03,3.475054587199725153e-01,6.472850176048842163e-01
6.639999999999984581e+00,2.120000000000000107e+00,4.984899196929266398e-03,3.447824523546968445e-01,6.502326484483738067e-01
6.699999999999984190e+00,2.120000000000000107e+00,4.781073195918845650e-03,3.422001449985773713e-01,6.530187818055036564e-01
6.759999999999983800e+00,2.120000000000000107e+00,4.595720724181290642e-03,3.397515634393762363e-01,6.556527158364424679e-01
6.819999999999983409e+00,2.120000000000000107e+00,4.426819102313806972e-03,3.374299814733070502e-01,6.581431994243790440e-01
6.879999999999983018e+00,2.120000000000000107e+00,4.272603763906723286e-03,3.352289321181788906e-01,6.604984641179143523e-01
6.939999999999982627e+00,2.120000000000000107e+00,4.131531160475053303e-03,3.331422145166532678e-01,6.627262543228716885e-01
6.999999999999982236e+00,2.120000000000000107e+00,4.002247514334861603e-03,3.311638966348356417e-01,6.648338558508294360e-01
7.059999999999981846e+00,2.120000000000000107e+00,3.883562427327114357e-03,3.292883146581589981e-01,6.668281229145138767e-01
7.119999999999981455e+00,2.120000000000000107e+00,3.774426531810829311e-03,3.275100698197789817e-01,6.687155036484101478e-01
7.179999999999981064e+00,2.120000000000000107e+00,3.673912515198943501e-03,3.258240232598676456e-01,6.705020642249334140e-01
7.239999999999980673e+00,2.120000000000000107e+00,3.581198967076328586e-03,3.242252894018349818e-01,6.721935116310886471e-01
7.299999999999980282e+00,2.120000000000000107e+00,3.495556593883735082e-03,3.227092282392527989e-01,6.737952151668633594e-01
7.359999999999979892e+00,2.120000000000000107e+00,3.416336424485631827e-03,3.212714368514913987e-01,6.753122267240229126e-01
