bill_depth_mm,flipper_length_mm,Torgersen,Biscoe,Dream
1.687999999999999901e+01,1.778999999999999773e+02,1.951559897047905057e-01,2.275259371035011080e-01,5.773180731917083586e-01
1.729999999999999716e+01,1.778999999999999773e+02,1.984007208301632741e-01,2.077194900142579903e-01,5.938797891555787078e-01
1.771999999999999886e+01,1.778999999999999773e+02,2.005821890929749274e-01,1.937546369771743771e-01,6.056631739298506956e-01
1.814000000000000057e+01,1.778999999999999773e+02,2.020748182256491554e-01,1.838333111591938518e-01,6.140918706151570206e-01
1.855999999999999872e+01,1.778999999999999773e+02,2.031133959244903198e-01,1.767310742617539676e-01,6.201555298137557681e-01
1.897999999999999687e+01,1.778999999999999773e+02,2.038468295074378489e-01,1.716118566327649309e-01,6.245413138597971647e-01
1.939999999999999858e+01,1.778999999999999773e+02,2.043713041239856032e-01,1.678998824790318700e-01,6.277288133969826101e-01
1.982000000000000028e+01,1.778999999999999773e+02,2.047502521670929443e-01,1.651945343604330485e-01,6.300552134724740627e-01
2.023999999999999844e+01,1.778999999999999773e+02,2.050263732803347394e-01,1.632142348816311150e-01,6.317593918380342011e-01
2.065999999999999659e+01,1.778999999999999773e+02,2.052289564131549449e-01,1.617592574095041702e-01,6.330117861773408849e-01
2.107999999999999829e+01,1.778999999999999773e+02,2.053784242892553180e-01,1.606868039310589968e-01,6.339347717796857129e-01
1.309999999999999964e+01,1.808499999999999659e+02,2.910729266817540725e-02,9.123908905946691572e-01,5.850181673715536268e-02
1.351999999999999957e+01,1.808499999999999659e+02,4.270558765733480783e-02,8.669538470989950341e-01,9.034056524367020669e-02
1.393999999999999950e+01,1.808499999999999659e+02,6.269202415582998678e-02,7.970826312793777291e-01,1.402253445647923258e-01
1.435999999999999943e+01,1.808499999999999659e+02,8.856405531754731053e-02,7.018046014519470077e-01,2.096313432305056124e-01
1.477999999999999936e+01,1.808499999999999659e+02,1.167914594715072918e-01,5.915777419874107546e-01,2.916307985410820369e-01
1.519999999999999929e+01,1.808499999999999659e+02,1.424979917564549448e-01,4.844620906702761243e-01,3.730399175732687644e-01
1.561999999999999922e+01,1.808499999999999659e+02,1.626113695655790614e-01,3.945475018718466731e-01,4.428411285625744043e-01
1.603999999999999915e+01,1.808499999999999659e+02,1.768192859473196599e-01,3.261888341723896412e-01,4.969918798802907545e-01
1.646000000000000085e+01,1.808499999999999659e+02,1.863266726046668431e-01,2.769700177416684617e-01,5.367033096536646397e-01
1.687999999999999901e+01,1.808499999999999659e+02,1.925685388845060075e-01,2.423431464633364063e-01,5.650883146521575862e-01
1.729999999999999716e+01,1.808499999999999659e+02,1.966752209992374267e-01,2.181088008037060377e-01,5.852159781970565078e-01
1.771999999999999886e+01,1.808499999999999659e+02,1.994121549499792700e-01,2.010880796473572540e-01,5.994997654026634759e-01
1.814000000000000057e+01,1.808499999999999659e+02,2.012675347657997826e-01,1.890502126867021626e-01,6.096822525474979715e-01
1.855999999999999872e+01,1.808499999999999659e+02,2.025474108236176296e-01,1.804703014505758818e-01,6.169822877258064331e-01
1.897999999999999687e+01,1.808499999999999659e+02,2.034444936289955819e-01,1.743100282559430780e-01,6.222454781150613679e-01
1.939999999999999858e+01,1.808499999999999659e+02,2.040819865829263946e-01,1.698581912229780722e-01,6.260598221940956165e-01
1.982000000000000028e+01,1.808499999999999659e+02,2.045402379462246401e-01,1.666229312611446911e-01,6.288368307926306411e-01
2.023999999999999844e+01,1.808499999999999659e+02,2.048727564445430027e-01,1.642605377573238545e-01,6.308667057981330872e-01
2.065999999999999659e+01,1.808499999999999659e+02,2.051158929071381642e-01,1.625284704364144128e-01,6.323556366564474507e-01
2.107999999999999829e+01,1.808499999999999659e+02,2.052947849221855026e-01,1.612540946558318478e-01,6.334511204219827052e-01
1.309999999999999964e+01,1.837999999999999545e+02,2.368974569259172866e-02,9.298896343319154045e-01,4.642061997549303681e-02
1.351999999999999957e+01,1.837999999999999545e+02,3.422158792439009695e-02,8.954628616003345032e-01,7.031555047527546232e-02
1.393999999999999950e+01,1.837999999999999545e+02,5.044991153220637625e-02,8.401843613815256351e-01,1.093657270862679609e-01
1.435999999999999943e+01,1.837999999999999545e+02,7.318932900616986759e-02,7.589059077604090042e-01,1.679047632334209894e-01
1.477999999999999936e+01,1.837999999999999545e+02,1.006468863679155085e-01,6.552325629120631101e-01,2.441205507200215064e-01
1.519999999999999929e+01,1.837999999999999545e+02,1.283352262576520353e-01,5.440834550400611702e-01,3.275813187022868500e-01
1.561999999999999922e+01,1.837999999999999545e+02,1.518369819146020427e-01,4.431805447991925551e-01,4.049824732862054022e-01
1.603999999999999915e+01,1.837999999999999545e+02,1.693263045339663542e-01,3.625070603197961816e-01,4.681666351462373532e-01
1.646000000000000085e+01,1.837999999999999545e+02,1.813370940478293281e-01,3.028838906281283161e-01,5.157790153240423559e-01
1.687999999999999901e+01,1.837999999999999545e+02,1.892849816161477905e-01,2.605114210691720222e-01,5.502035973146801595e-01
1.729999999999999716e+01,1.837999999999999545e+02,1.945009528438877699e-01,2.308179112586445925e-01,5.746811358974676098e-01
1.771999999999999886e+01,1.837999999999999545e+02,1.979511701284086544e-01,2.100215387932063693e-01,5.920272910783850318e-01
1.814000000000000057e+01,1.837999999999999545e+02,2.002686656194521686e-01,1.953764646611541311e-01,6.043548697193937835e-01
1.855999999999999872e+01,1.837999999999999545e+02,2.018528412108121506e-01,1.849852781373611255e-01,6.131618806518267517e-01
1.897999999999999687e+01,1.837999999999999545e+02,2.029541943592526876e-01,1.775556522620451994e-01,6.194901533787020576e-01
1.939999999999999858e+01,1.837999999999999545e+02,2.037314421537579634e-01,1.722061647917013105e-01,6.240623930545408093e-01
1.982000000000000028e+01,1.837999999999999545e+02,2.042869674988807838e-01,1.683307891768783815e-01,6.273822433242408625e-01
2.023999999999999844e+01,1.837999999999999545e+02,2.046881990555259878e-01,1.655085734909403083e-01,6.298032274535337871e-01
2.065999999999999659e+01,1.837999999999999545e+02,2.049804736345576528e-01,1.634441165345100477e-01,6.315754098309322995e-01
2.107999999999999829e+01,1.837999999999999545e+02,2.051948602210856842e-01,1.619281809833965358e-01,6.328769587955178633e-01
1.309999999999999964e+01,1.867499999999999432e+02,1.956722393184250758e-02,9.429587060162468726e-01,3.747407005191063373e-02
1.351999999999999957e+01,1.867499999999999432e+02,2.761437643288284366e-02,9.171655345510409951e-01,5.522008901607614040e-02
1.393999999999999950e+01,1.867499999999999432e+02,4.039029407441017960e-02,8.746656573717965788e-01,8.494404855379311670e-02
1.435999999999999943e+01,1.867499999999999432e+02,5.942185137336058326e-02,8.084948180968410947e-01,1.320833305297983429e-01
1.477999999999999936e+01,1.867499999999999432e+02,8.458681877112529668e-02,7.164196782852552126e-01,1.989935029436195602e-01
1.519999999999999929e+01,1.867499999999999432e+02,1.127613210860489434e-01,6.072283731148407915e-01,2.800103057991104039e-01
1.561999999999999922e+01,1.867499999999999432e+02,1.390619426096168509e-01,4.985872561520527935e-01,3.623508012383304111e-01
1.603999999999999915e+01,1.867499999999999432e+02,1.600331541741931707e-01,4.057549842803979123e-01,4.342118615454088615e-01
1.646000000000000085e+01,1.867499999999999432e+02,1.750222574239201356e-01,3.344124316418073950e-01,4.905653109342723028e-01
1.687999999999999901e+01,1.867499999999999432e+02,1.851117299920385928e-01,2.827785518240942264e-01,5.321097181838672086e-01
1.729999999999999716e+01,1.867499999999999432e+02,1.917499254871763426e-01,2.463925502947745261e-01,5.618575242180491314e-01
1.771999999999999886e+01,1.867499999999999432e+02,1.961179306181281001e-01,2.209321490910504948e-01,5.829499202908213773e-01
1.814000000000000057e+01,1.867499999999999432e+02,1.990268694660474180e-01,2.030684288223420786e-01,5.979047017116105867e-01
1.855999999999999872e+01,1.867499999999999432e+02,2.009969103355586928e-01,1.904503705227596766e-01,6.085527191416816306e-01
1.897999999999999687e+01,1.867499999999999432e+02,2.023546130999366033e-01,1.814682584273408228e-01,6.161771284727225462e-01
1.939999999999999858e+01,1.867499999999999432e+02,2.033055087162112529e-01,1.750265895330064825e-01,6.216679017507823479e-01
1.982000000000000028e+01,1.867499999999999432e+02,2.039808365277593349e-01,1.703760476372646049e-01,6.256431158349761157e-01
2.023999999999999844e+01,1.867499999999999432e+02,2.044660653691405539e-01,1.669992827953729608e-01,6.285346518354864020e-01
2.065999999999999659e+01,1.867499999999999432e+02,2.048180400441669269e-01,1.645353690001269964e-01,6.306465909557060767e-01
2.107999999999999829e+01,1.867499999999999432e+02,2.050753359932015463e-01,1.627300013932277134e-01,6.321946626135707126e-01
1.309999999999999964e+01,1.896999999999999318e+02,1.643968567732326247e-02,9.527114946346276758e-01,3.084881968804889171e-02
1.351999999999999957e+01,1.896999999999999318e+02,2.255253598443170138e-02,9.334557914316992111e-01,4.399167258386920548e-02
1.393999999999999950e+01,1.896999999999999318e+02,3.240647677468205812e-02,9.013693008941020546e-01,6.622422233121591506e-02
1.435999999999999943e+01,1.896999999999999318e+02,4.772587474760642268e-02,8.494407468481801615e-01,1.028333784042134297e-01
1.477999999999999936e+01,1.896999999999999318e+02,6.955811760556798728e-02,7.718633043967151330e-01,1.585785779977170185e-01
1.519999999999999929e+01,1.896999999999999318e+02,9.655555642849820985e-02,6.706314900221391762e-01,2.328129535493627111e-01
1.561999999999999922e+01,1.896999999999999318e+02,1.244994155682349751e-01,5.593545796391574676e-01,3.161460047926076267e-01
1.603999999999999915e+01,1.896999999999999318e+02,1.487610070114059879e-01,4.561410299844702587e-01,3.950979630041236978e-01
1.646000000000000085e+01,1.896999999999999318e+02,1.671035570741274678e-01,3.723935237633702044e-01,4.605029191625023000e-01
1.687999999999999901e+01,1.896999999999999318e+02,1.798140735500758369e-01,3.099922783163351347e-01,5.101936481335890283e-01
1.729999999999999716e+01,1.896999999999999318e+02,1.882588654914347792e-01,2.654931059627964607e-01,5.462480285457687046e-01
1.771999999999999886e+01,1.896999999999999318e+02,1.938069276153412679e-01,2.342874446287931955e-01,5.719056277558655088e-01
1.814000000000000057e+01,1.896999999999999318e+02,1.974754673415987372e-01,2.124459143610719636e-01,5.900786182973292160e-01
1.855999999999999872e+01,1.896999999999999318e+02,1.999373543473464687e-01,1.970827160457384597e-01,6.029799296069150438e-01
1.897999999999999687e+01,1.896999999999999318e+02,2.016185511004226216e-01,1.861959445503803823e-01,6.121855043491969406e-01
1.939999999999999858e+01,1.896999999999999318e+02,2.027863241792143834e-01,1.784214191396016058e-01,6.187922566811839831e-01
1.982000000000000028e+01,1.896999999999999318e+02,2.036098629946165028e-01,1.728296377922517446e-01,6.235604992131317248e-01
2.023999999999999844e+01,1.896999999999999318e+02,2.041981563064025618e-01,1.687825172981002042e-01,6.270193263954971785e-01
2.065999999999999659e+01,1.896999999999999318e+02,2.046228828000755950e-01,1.658375846732508263e-01,6.295395325266736064e-01
2.107999999999999829e+01,1.896999999999999318e+02,2.049321776194246159e-01,1.636848308810897878e-01,6.313829914994856241e-01
1.309999999999999964e+01,1.926499999999999204e+02,1.406238598153258107e-02,9.600189597660644392e-01,2.591865425240300752e-02
1.351999999999999957e+01,1.926499999999999204e+02,1.870560637916672195e-02,9.456134899178596509e-01,3.568090370297340164e-02
1.393999999999999950e+01,1.926499999999999204e+02,2.621948085697348163e-02,9.216090526340381395e-01,5.217146650898837890e-02
1.435999999999999943e+01,1.926499999999999204e+02,3.820773221002368714e-02,8.819003863660632714e-01,7.989188142391308312e-02
1.477999999999999936e+01,1.926499999999999204e+02,5.628598496278892915e-02,8.193769523130512988e-01,1.243370627241597304e-01
1.519999999999999929e+01,1.926499999999999204e+02,8.067896428660167873e-02,7.306894540247738101e-01,1.886315816886246222e-01
1.561999999999999922e+01,1.926499999999999204e+02,1.086945861601434360e-01,6.229132720233719889e-01,2.683921418164845196e-01
1.603999999999999915e+01,1.926499999999999204e+02,1.355152483180525891e-01,5.130630434543216323e-01,3.514217082276258619e-01
1.646000000000000085e+01,1.926499999999999204e+02,1.573311688817734255e-01,4.174164257637538178e-01,4.252524053544728400e-01
1.687999999999999901e+01,1.926499999999999204e+02,1.731237466157637961e-01,3.430411241751384344e-01,4.838351292090978806e-01
1.729999999999999716e+01,1.926499999999999204e+02,1.838242465407633752e-01,2.888954676691876666e-01,5.272802857900489304e-01
1.771999999999999886e+01,1.926499999999999204e+02,1.908822065723225769e-01,2.506609510109232830e-01,5.584568424167541956e-01
1.814000000000000057e+01,1.926499999999999204e+02,1.955277949866052190e-01,2.239070511443104761e-01,5.805651538690842495e-01
1.855999999999999872e+01,1.926499999999999204e+02,1.986194309148457127e-01,2.051531703584030808e-01,5.962273987267512343e-01
1.897999999999999687e+01,1.926499999999999204e+02,2.007110996260790259e-01,1.919227863439584014e-01,6.073661140299626560e-01
1.939999999999999858e+01,1.926499999999999204e+02,2.021512199877786298e-01,1.825166572050751224e-01,6.153321228071463311e-01
1.982000000000000028e+01,1.926499999999999204e+02,2.031590126408291952e-01,1.757786903261644718e-01,6.210622970330063053e-01
2.023999999999999844e+01,1.926499999999999204e+02,2.038742907705235197e-01,1.709191637476292491e-01,6.252065454818471757e-01
2.065999999999999659e+01,1.926499999999999204e+02,2.043879758459999918e-01,1.673937277763199449e-01,6.282182963776801188e-01
2.107999999999999829e+01,1.926499999999999204e+02,2.047604569869264091e-01,1.648232481038236497e-01,6.304162949092498858e-01
1.309999999999999964e+01,1.955999999999999091e+02,1.224585921459003975e-02,9.655336861212988619e-01,2.222045466411111045e-02
1.351999999999999957e+01,1.955999999999999091e+02,1.578670564113207608e-02,9.546922809643291208e-01,2.952101339453871293e-02
1.393999999999999950e+01,1.955999999999999091e+02,2.149217111054107024e-02,9.367694584381545120e-01,4.173837045130442819e-02
1.435999999999999943e+01,1.955999999999999091e+02,3.070566687588947852e-02,9.068798641349545830e-01,6.241446898915593150e-02
1.477999999999999936e+01,1.955999999999999091e+02,4.514184606062338762e-02,8.581760471105794874e-01,9.668210682879710416e-02
1.519999999999999929e+01,1.955999999999999091e+02,6.604199005988677096e-02,7.843358502935401377e-01,1.496221596465731052e-01
1.561999999999999922e+01,1.955999999999999091e+02,9.248908890921013481e-02,6.858367701585157405e-01,2.216741409322741940e-01
1.603999999999999915e+01,1.955999999999999091e+02,1.205880043176111860e-01,5.748178483450867571e-01,3.045941473373019459e-01
1.646000000000000085e+01,1.955999999999999091e+02,1.455622082676911733e-01,4.695222816007943445e-01,3.849155101315144267e-01
1.687999999999999901e+01,1.955999999999999091e+02,1.647643204505471748e-01,3.827249859985039082e-01,4.525106935509488060e-01
1.729999999999999716e+01,1.955999999999999091e+02,1.782022235573897107e-01,3.174659020201931470e-01,5.043318744224172256e-01
1.771999999999999886e+01,1.955999999999999091e+02,1.871711441145130217e-01,2.707426887319220321e-01,5.420861671535649462e-01
1.814000000000000057e+01,1.955999999999999091e+02,1.930715484058772025e-01,2.379444627621398745e-01,5.689839888319829786e-01
1.855999999999999872e+01,1.955999999999999091e+02,1.969720383079406334e-01,2.149995714278033765e-01,5.880283902642560179e-01
1.897999999999999687e+01,1.955999999999999091e+02,1.995872132155567524e-01,1.988781528919938146e-01,6.015346338924494329e-01
1.939999999999999858e+01,1.955999999999999091e+02,2.013712487929396333e-01,1.874685631831016497e-01,6.111601880239587725e-01
1.982000000000000028e+01,1.955999999999999091e+02,2.026093069574891048e-01,1.793306116050295274e-01,6.180600814374813678e-01
2.023999999999999844e+01,1.955999999999999091e+02,2.034817579171009083e-01,1.734838287937528201e-01,6.230344132891462161e-01
2.065999999999999659e+01,1.955999999999999091e+02,2.041046329807854054e-01,1.692561564839148436e-01,6.266392105352996955e-01
2.107999999999999829e+01,1.955999999999999091e+02,2.045541319367649713e-01,1.661823397205008934e-01,6.292635283427341353e-01
1.309999999999999964e+01,1.985499999999998977e+02,1.084778010495364778e-02,9.697329912801183616e-01,1.941922861492798025e-02
1.351999999999999957e+01,1.985499999999998977e+02,1.356548841017031666e-02,9.615057308638740308e-01,2.492878072595554675e-02
1.393999999999999950e+01,1.985499999999998977e+02,1.790258194930740426e-02,9.480803446471988138e-01,3.401707340349382352e-02
1.435999999999999943e+01,1.985499999999998977e+02,2.491708030770327723e-02,9.257420300306979932e-01,4.934088966159875383e-02
1.477999999999999936e+01,1.985499999999998977e+02,3.615393585763921475e-02,8.886763478896041457e-01,7.516971625275652158e-02
1.519999999999999929e+01,1.985499999999998977e+02,5.328788465076663566e-02,8.297238208203798759e-01,1.169882945288534815e-01
1.561999999999999922e+01,1.985499999999998977e+02,7.685387705538784808e-02,7.445704650910316413e-01,1.785756578535804828e-01
1.603999999999999915e+01,1.985499999999998977e+02,1.046062058814242329e-01,6.385752072660240142e-01,2.568185868525517113e-01
1.646000000000000085e+01,1.985499999999998977e+02,1.318647693398612986e-01,5.278567022840392475e-01,3.402785283760993984e-01
1.687999999999999901e+01,1.985499999999998977e+02,1.545043834073498989e-01,4.295294236005618438e-01,4.159661929920883128e-01
1.729999999999999716e+01,1.985499999999998977e+02,1.711197058470967647e-01,3.520872378847717532e-01,4.767930562681315099e-01
1.771999999999999886e+01,1.985499999999998977e+02,1.824602822019252835e-01,2.953352474796632765e-01,5.222044703184114400e-01
1.814000000000000057e+01,1.985499999999998977e+02,1.899624477292786162e-01,2.551601981259153940e-01,5.548773541448059898e-01
1.855999999999999872e+01,1.985499999999998977e+02,1.949028221905114155e-01,2.270420778915412385e-01,5.780550999179474569e-01
1.897999999999999687e+01,1.985499999999998977e+02,1.981885209766427458e-01,2.073482295933209152e-01,5.944632494300362557e-01
1.939999999999999858e+01,1.985499999999998977e+02,2.004092259935805753e-01,1.934715071513569695e-01,6.061192668550624552e-01
1.982000000000000028e+01,1.985499999999998977e+02,2.019366384806260961e-01,1.836182687649642875e-01,6.144450927544096164e-01
2.023999999999999844e+01,1.985499999999998977e+02,2.030045959875449169e-01,1.765682439792889691e-01,6.204271600331661141e-01
2.065999999999999659e+01,1.985499999999998977e+02,2.037620611366115220e-01,1.714888742375257069e-01,6.247490646258628821e-01
2.107999999999999829e+01,1.985499999999998977e+02,2.043057631662474061e-01,1.678072066210846702e-01,6.278870302126678959e-01
1.309999999999999964e+01,2.014999999999998863e+02,9.762909526048454967e-03,9.729620014310764731e-01,1.727508904287490196e-02
1.351999999999999957e+01,2.014999999999998863e+02,1.186527072611246250e-02,9.666588701949125895e-01,2.147585907897490987e-02
1.393999999999999950e+01,2.014999999999998863e+02,1.517773012051543136e-02,9.565348854826887237e-01,2.828738439679579636e-02
1.435999999999999943e+01,2.014999999999998863e+02,2.050370183544738059e-02,9.398481241319276425e-01,3.964817403262479306e-02
1.477999999999999936e+01,2.014999999999998863e+02,2.911374014174206160e-02,9.120159772381244423e-01,5.887028262013365570e-02
1.519999999999999929e+01,2.014999999999998863e+02,4.269626192020028327e-02,8.664016159092488012e-01,9.090212217055100574e-02
1.561999999999999922e+01,2.014999999999998863e+02,6.264894325923095475e-02,7.963018784765428792e-01,1.410491782642261660e-01
1.603999999999999915e+01,2.014999999999998863e+02,8.846305320299592545e-02,7.007937800661053762e-01,2.107431667308987122e-01
1.646000000000000085e+01,2.014999999999998863e+02,1.166131379463545004e-01,5.904232200818787524e-01,2.929636419717668305e-01
1.687999999999999901e+01,2.014999999999998863e+02,1.422435522878438552e-01,4.833058026539093222e-01,3.744506450582468227e-01
1.729999999999999716e+01,2.014999999999998863e+02,1.623057165726663476e-01,3.935074053811932759e-01,4.441868780461403210e-01
1.771999999999999886e+01,2.014999999999998863e+02,1.764973219778791791e-01,3.253190373699527127e-01,4.981836406521679694e-01
1.814000000000000057e+01,2.014999999999998863e+02,1.860182816805407147e-01,2.762737824240910633e-01,5.377079358953682497e-01
1.855999999999999872e+01,2.014999999999998863e+02,1.922923144939433782e-01,2.417993785664908635e-01,5.659083069395658416e-01
1.897999999999999687e+01,2.014999999999998863e+02,1.964392123951592684e-01,2.176898548772828457e-01,5.858709327275579692e-01
1.939999999999999858e+01,2.014999999999998863e+02,1.992171366672091659e-01,2.007678142500611829e-01,6.000150490827296235e-01
1.982000000000000028e+01,2.014999999999998863e+02,2.011101941998768294e-01,1.888065760650085856e-01,6.100832297351146405e-01
2.023999999999999844e+01,2.014999999999998863e+02,2.024226376388509607e-01,1.802855943491867563e-01,6.172917680119621719e-01
2.065999999999999659e+01,2.014999999999998863e+02,2.033467752344000345e-01,1.741703778698177607e-01,6.224828468957821492e-01
2.107999999999999829e+01,2.014999999999998863e+02,2.040061481701088142e-01,1.697528559558419414e-01,6.262409958740492444e-01
1.309999999999999964e+01,2.044499999999998749e+02,8.913920250313680030e-03,9.754695016258391194e-01,1.561657812384711908e-02
1.351999999999999957e+01,2.044499999999998749e+02,1.055399623168721060e-02,9.705925303177437291e-01,1.885347345056888682e-02
1.393999999999999950e+01,2.044499999999998749e+02,1.310143628211605897e-02,9.628912658733567165e-01,2.400729784452739976e-02
1.435999999999999943e+01,2.044499999999998749e+02,1.715410452913213729e-02,9.503730243450740911e-01,3.247287112579395896e-02
1.477999999999999936e+01,2.044499999999998749e+02,2.370173495643778869e-02,9.295844491936009479e-01,4.671381584996125991e-02
1.519999999999999929e+01,2.044499999999998749e+02,3.422439339961864946e-02,8.950132733567428556e-01,7.076233324363848110e-02
1.561999999999999922e+01,2.044499999999998749e+02,5.042957697078875867e-02,8.395351228243634889e-01,1.100353002048478218e-01
1.603999999999999915e+01,2.044499999999998749e+02,7.312377770989625381e-02,7.580242308880569269e-01,1.688519914020468748e-01
1.646000000000000085e+01,2.044499999999998749e+02,1.005116669549195457e-01,6.541561140889414760e-01,2.453322189561389643e-01
1.687999999999999901e+01,2.044499999999998749e+02,1.281187542597413687e-01,5.429306471497381548e-01,3.289505985905206153e-01
1.729999999999999716e+01,2.044499999999998749e+02,1.515526186272501963e-01,4.420879953154786546e-01,4.063593860572712324e-01
1.771999999999999886e+01,2.044499999999998749e+02,1.690062719606432728e-01,3.615619509778148499e-01,4.694317770615419327e-01
