bill_length_mm,flipper_length_mm,Torgersen,Biscoe,Dream
5.547500000000000142e+01,1.720000000000000000e+02,4.889921174234940909e-03,3.817147221783597638e-02,9.569386066079290654e-01
5.685000000000000142e+01,1.720000000000000000e+02,4.811185995405372652e-03,3.786767464025199426e-02,9.573211393643427103e-01
5.822500000000000142e+01,1.720000000000000000e+02,4.762521645281526592e-03,3.770359439844776089e-02,9.575338839562707038e-01
3.210000000000000142e+01,1.749499999999999886e+02,1.875207303342050491e-01,5.645630824336913545e-01,2.479161872321036797e-01
3.347500000000000142e+01,1.749499999999999886e+02,1.767270056511055787e-01,5.738627654328515293e-01,2.494102289160429198e-01
3.485000000000000142e+01,1.749499999999999886e+02,1.644416290567498051e-01,5.798716704155132406e-01,2.556867005277370097e-01
3.622500000000000142e+01,1.749499999999999886e+02,1.504308665455568461e-01,5.790539611289313715e-01,2.705151723255116991e-01
3.760000000000000142e+01,1.749499999999999886e+02,1.343094341068387099e-01,5.653410028620098338e-01,3.003495630311512898e-01
3.897500000000000142e+01,1.749499999999999886e+02,1.154719180884958424e-01,5.287581879918549221e-01,3.557698939196492494e-01
4.035000000000000142e+01,1.749499999999999886e+02,9.315815906634450361e-02,4.567020715595546676e-01,4.501397693741008288e-01
4.172500000000000142e+01,1.749499999999999886e+02,6.772353293670749230e-02,3.471661308735483065e-01,5.851103361897442845e-01
4.310000000000000142e+01,1.749499999999999886e+02,4.343980140861924966e-02,2.296714990793460587e-01,7.268886995120346084e-01
4.447500000000000142e+01,1.749499999999999886e+02,2.599776598231184552e-02,1.431385543940176530e-01,8.308636796236704702e-01
4.585000000000000142e+01,1.749499999999999886e+02,1.603354560339929208e-02,9.371139875321450596e-02,8.902550556433862505e-01
4.722500000000000142e+01,1.749499999999999886e+02,1.084595851831470989e-02,6.788486994178276335e-02,9.212691715399025094e-01
4.860000000000000142e+01,1.749499999999999886e+02,8.143855092887114858e-03,5.431842475527204339e-02,9.375377201518407810e-01
4.997500000000000142e+01,1.749499999999999886e+02,6.686602846026307861e-03,4.696623544572783165e-02,9.463471617082458431e-01
5.135000000000000142e+01,1.749499999999999886e+02,5.870111209214313314e-03,4.286932629516943677e-02,9.512605624956161909e-01
5.272500000000000142e+01,1.749499999999999886e+02,5.398059285261768390e-03,4.054617031913356623e-02,9.540557703956046298e-01
5.410000000000000142e+01,1.749499999999999886e+02,5.118725987201977468e-03,3.921919191117566317e-02,9.556620821016222900e-01
5.547500000000000142e+01,1.749499999999999886e+02,4.950647963571004097e-03,3.846243682914926576e-02,9.565869152072796755e-01
5.685000000000000142e+01,1.749499999999999886e+02,4.848273166189338498e-03,3.803519608256724499e-02,9.571165307512433662e-01
5.822500000000000142e+01,1.749499999999999886e+02,4.785330573271536977e-03,3.779872960117405117e-02,9.574159398255545073e-01
3.210000000000000142e+01,1.778999999999999773e+02,1.914118119568987142e-01,5.614890855924504764e-01,2.470991024506507261e-01
3.347500000000000142e+01,1.778999999999999773e+02,1.813218759653739409e-01,5.718151230908535831e-01,2.468630009437724759e-01
3.485000000000000142e+01,1.778999999999999773e+02,1.698900828899985727e-01,5.800416768805601864e-01,2.500682402294412410e-01
3.622500000000000142e+01,1.778999999999999773e+02,1.569510666878757843e-01,5.835173518509209067e-01,2.595315814612033090e-01
3.760000000000000142e+01,1.778999999999999773e+02,1.422094511532804584e-01,5.777348978771258414e-01,2.800556509695936724e-01
3.897500000000000142e+01,1.778999999999999773e+02,1.251801058980978043e-01,5.550072059622099818e-01,3.198126881396921584e-01
4.035000000000000142e+01,1.778999999999999773e+02,1.051271522396285962e-01,5.035642445077030960e-01,3.913086032526684188e-01
4.172500000000000142e+01,1.778999999999999773e+02,8.145437117127191096e-02,4.128093286236998449e-01,5.057363002050281331e-01
4.310000000000000142e+01,1.778999999999999773e+02,5.596576712979837304e-02,2.935946709297916901e-01,6.504395619404099715e-01
4.447500000000000142e+01,1.778999999999999773e+02,3.442240570164954716e-02,1.863333029579585798e-01,7.792442913403918592e-01
4.585000000000000142e+01,1.778999999999999773e+02,2.066295355187734717e-02,1.174027100715346467e-01,8.619343363765880062e-01
4.722500000000000142e+01,1.778999999999999773e+02,1.323732019505548425e-02,8.022578129043095307e-02,9.065368985145135783e-01
4.860000000000000142e+01,1.778999999999999773e+02,9.397277631903202394e-03,6.087635090148386247e-02,9.297263714666129664e-01
4.997500000000000142e+01,1.778999999999999773e+02,7.368560171473366449e-03,5.057129367409041176e-02,9.420601461544362287e-01
5.135000000000000142e+01,1.778999999999999773e+02,6.254881068654155607e-03,4.490654200118979200e-02,9.488385769301561634e-01
5.272500000000000142e+01,1.778999999999999773e+02,5.621439895233245818e-03,4.171797554429228228e-02,9.526605845604745326e-01
5.410000000000000142e+01,1.778999999999999773e+02,5.251116207639747527e-03,3.989937553168913797e-02,9.548495082606710538e-01
5.547500000000000142e+01,1.778999999999999773e+02,5.030261505041677163e-03,3.885814679911431951e-02,9.561115916958439209e-01
5.685000000000000142e+01,1.778999999999999773e+02,4.896649931384217461e-03,3.826460631189841644e-02,9.568387437567174025e-01
5.822500000000000142e+01,1.778999999999999773e+02,4.814956827422309932e-03,3.793052637678464428e-02,9.572545167957930978e-01
3.210000000000000142e+01,1.808499999999999659e+02,1.949917845828850749e-01,5.580903597308363162e-01,2.469178556862786644e-01
3.347500000000000142e+01,1.808499999999999659e+02,1.855228553754871557e-01,5.690422318660447454e-01,2.454349127584681822e-01
3.485000000000000142e+01,1.808499999999999659e+02,1.748273718407789001e-01,5.787849486302772961e-01,2.463876795289436927e-01
3.622500000000000142e+01,1.808499999999999659e+02,1.627993381188864441e-01,5.853048452320221973e-01,2.518958166490912753e-01
3.760000000000000142e+01,1.808499999999999659e+02,1.492236514023311533e-01,5.852429903341138662e-01,2.655333582635550083e-01
3.897500000000000142e+01,1.808499999999999659e+02,1.337218426010629568e-01,5.728540413568956602e-01,2.934241160420414940e-01
4.035000000000000142e+01,1.808499999999999659e+02,1.156830002543852570e-01,5.385742125094765687e-01,3.457427872361381049e-01
4.172500000000000142e+01,1.808499999999999659e+02,9.428138014365940178e-02,4.696880085739518207e-01,4.360306112823887914e-01
4.310000000000000142e+01,1.808499999999999659e+02,6.954095860342163204e-02,3.620316582949453244e-01,5.684273831016330991e-01
4.447500000000000142e+01,1.808499999999999659e+02,4.520825645956485367e-02,2.421879151125924945e-01,7.126038284278427559e-01
4.585000000000000142e+01,1.808499999999999659e+02,2.716764139482136242e-02,1.509587616395579313e-01,8.218735969656207896e-01
4.722500000000000142e+01,1.808499999999999659e+02,1.666731059401889078e-02,9.795262409370324164e-02,8.853800653122778641e-01
4.860000000000000142e+01,1.808499999999999659e+02,1.117192288869261162e-02,7.015536509685359190e-02,9.186727120144537739e-01
4.997500000000000142e+01,1.808499999999999659e+02,8.313953932747690512e-03,5.557941833497751644e-02,9.361066277322748208e-01
5.135000000000000142e+01,1.808499999999999659e+02,6.778178377608823704e-03,4.769808211979593288e-02,9.455237395025951619e-01
5.272500000000000142e+01,1.808499999999999659e+02,5.920807433954592032e-03,4.331067309885809624e-02,9.507685194671872120e-01
5.410000000000000142e+01,1.808499999999999659e+02,5.426662461423801577e-03,4.082078252027048632e-02,9.537525550183058032e-01
5.547500000000000142e+01,1.808499999999999659e+02,5.135022038401542734e-03,3.939452492479624673e-02,9.554704530368022253e-01
5.685000000000000142e+01,1.808499999999999659e+02,4.959945515181586086e-03,3.857688577019093706e-02,9.564631687146274430e-01
5.822500000000000142e+01,1.808499999999999659e+02,4.853544011276867028e-03,3.811138907478062859e-02,9.570350669139425781e-01
3.210000000000000142e+01,1.837999999999999545e+02,1.983020095888843315e-01,5.545017844319253264e-01,2.471962059791903421e-01
3.347500000000000142e+01,1.837999999999999545e+02,1.893887129008354209e-01,5.657812796412131640e-01,2.448300074579513874e-01
3.485000000000000142e+01,1.837999999999999545e+02,1.793349540245642304e-01,5.765240697892065613e-01,2.441409761862293193e-01
3.622500000000000142e+01,1.837999999999999545e+02,1.680839298389703584e-01,5.851799630522034334e-01,2.467361071088262081e-01
3.760000000000000142e+01,1.837999999999999545e+02,1.554920615212526114e-01,5.892165395667714467e-01,2.552913989119759974e-01
3.897500000000000142e+01,1.837999999999999545e+02,1.412743086734757902e-01,5.843700810012391056e-01,2.743556103252850487e-01
4.035000000000000142e+01,1.837999999999999545e+02,1.249460769790882442e-01,5.633449419343334874e-01,3.117089810865782962e-01
4.172500000000000142e+01,1.837999999999999545e+02,1.057534947682736148e-01,5.146903964693553268e-01,3.795561087623712249e-01
4.310000000000000142e+01,1.837999999999999545e+02,8.295301834723319001e-02,4.269682719432018048e-01,4.900787097095650746e-01
4.447500000000000142e+01,1.837999999999999545e+02,5.786353903878187210e-02,3.079188347027428940e-01,6.342176262584751090e-01
4.585000000000000142e+01,1.837999999999999545e+02,3.594396461894667355e-02,1.967356220818294588e-01,7.673204132992238469e-01
4.722500000000000142e+01,1.837999999999999545e+02,2.156236672389915537e-02,1.233742648738805486e-01,8.550633684022203029e-01
4.860000000000000142e+01,1.837999999999999545e+02,1.370767561038783132e-02,8.340999613485783337e-02,9.028823282547543405e-01
4.997500000000000142e+01,1.837999999999999545e+02,9.639997791276134001e-03,6.260315327199640623e-02,9.277568489367274962e-01
5.135000000000000142e+01,1.837999999999999545e+02,7.497105201933662935e-03,5.154831573593957744e-02,9.409545790621267614e-01
5.272500000000000142e+01,1.837999999999999545e+02,6.325107674808406154e-03,4.548279314291435449e-02,9.481920991822772038e-01
5.410000000000000142e+01,1.837999999999999545e+02,5.660749082418946310e-03,4.206981622451885089e-02,9.522694346930622444e-01
5.547500000000000142e+01,1.837999999999999545e+02,5.273452580783234526e-03,4.012034145026886073e-02,9.546062059689478518e-01
5.685000000000000142e+01,1.837999999999999545e+02,5.043034630263672040e-03,3.900024099359884755e-02,9.559567243761374344e-01
5.822500000000000142e+01,1.837999999999999545e+02,4.903944430873219407e-03,3.835789249345389340e-02,9.567381630756729427e-01
3.210000000000000142e+01,1.867499999999999432e+02,2.013754069146984627e-01,5.508232699089662399e-01,2.478013231763352697e-01
3.347500000000000142e+01,1.867499999999999432e+02,1.929667005460933005e-01,5.622068944810009183e-01,2.448264049729058645e-01
3.485000000000000142e+01,1.867499999999999432e+02,1.834799678578367399e-01,5.735663033319642334e-01,2.429537288101989989e-01
3.622500000000000142e+01,1.867499999999999432e+02,1.728967365917367938e-01,5.836938130280482362e-01,2.434094503802150256e-01
3.760000000000000142e+01,1.867499999999999432e+02,1.611353744271174504e-01,5.906503481094383945e-01,2.482142774634440996e-01
3.897500000000000142e+01,1.867499999999999432e+02,1.479944397833092007e-01,5.912504878885836979e-01,2.607550723281071847e-01
4.035000000000000142e+01,1.867499999999999432e+02,1.330988556834743763e-01,5.800660184380862505e-01,2.868351258784394009e-01
4.172500000000000142e+01,1.867499999999999432e+02,1.158334175467169574e-01,5.479579658008685294e-01,3.362086166524146380e-01
4.310000000000000142e+01,1.867499999999999432e+02,9.532478265045395138e-02,4.822210759362568488e-01,4.224541414132892414e-01
4.447500000000000142e+01,1.867499999999999432e+02,7.131348009853305525e-02,3.767798273416862465e-01,5.519066925597807538e-01
4.585000000000000142e+01,1.867499999999999432e+02,4.701119012998232483e-02,2.550593334840349780e-01,6.979294763859825723e-01
4.722500000000000142e+01,1.867499999999999432e+02,2.839834374238334180e-02,1.591960288631756038e-01,8.124056273944411100e-01
4.860000000000000142e+01,1.867499999999999432e+02,1.734329904046739285e-02,1.024496607640549978e-01,8.802070401954776857e-01
4.997500000000000142e+01,1.867499999999999432e+02,1.152075758036846982e-02,7.255502275519441768e-02,9.159242196644370448e-01
5.135000000000000142e+01,1.867499999999999432e+02,8.495898686365984873e-03,5.690317889251148703e-02,9.346009224211224709e-01
5.272500000000000142e+01,1.867499999999999432e+02,6.876040689709634821e-03,4.846047483304728037e-02,9.446634844772431316e-01
5.410000000000000142e+01,1.867499999999999432e+02,5.974981908334816086e-03,4.376680939164821760e-02,9.502582087000168709e-01
5.547500000000000142e+01,1.867499999999999432e+02,5.457268519194015399e-03,4.110230576227985599e-02,9.534404257185260523e-01
5.685000000000000142e+01,1.867499999999999432e+02,5.152510289307427743e-03,3.957277959188707644e-02,9.552747101188056034e-01
5.822500000000000142e+01,1.867499999999999432e+02,4.969971801827518555e-03,3.869225089740632728e-02,9.563377773007661897e-01
3.210000000000000142e+01,1.896999999999999318e+02,2.042380851326176250e-01,5.471289902429049556e-01,2.486329246244774749e-01
3.347500000000000142e+01,1.896999999999999318e+02,1.962943479453709006e-01,5.584486113811120145e-01,2.452570406735170294e-01
3.485000000000000142e+01,1.896999999999999318e+02,1.873167675574464730e-01,5.701369263037951995e-01,2.425463061387583275e-01
3.622500000000000142e+01,1.896999999999999318e+02,1.773144235585019102e-01,5.812451417037890478e-01,2.414404347377089588e-01
3.760000000000000142e+01,1.896999999999999318e+02,1.662568934164962986e-01,5.902643850147811788e-01,2.434787215687224393e-01
3.897500000000000142e+01,1.896999999999999318e+02,1.540173329207780994e-01,5.947799887479465752e-01,2.512026783312753531e-01
4.035000000000000142e+01,1.896999999999999318e+02,1.403167919785577589e-01,5.907661576298729456e-01,2.689170503915693233e-01
4.172500000000000142e+01,1.896999999999999318e+02,1.246695324652510595e-01,5.713151467949107998e-01,3.040153207398381130e-01
4.310000000000000142e+01,1.896999999999999318e+02,1.063100136555131525e-01,5.253417966914174508e-01,3.683481896530693689e-01
4.447500000000000142e+01,1.896999999999999318e+02,8.437976954700558696e-02,4.407681860840461652e-01,4.748520443689481230e-01
4.585000000000000142e+01,1.896999999999999318e+02,5.975359719030093331e-02,3.223605536327963650e-01,6.178858491769027017e-01
4.722500000000000142e+01,1.896999999999999318e+02,3.752098874549431029e-02,2.075721089404992947e-01,7.549069023140064782e-01
4.860000000000000142e+01,1.896999999999999318e+02,2.251616248935321696e-02,1.296939020516146568e-01,8.477899354590320291e-01
4.997500000000000142e+01,1.896999999999999318e+02,1.421047651775096156e-02,8.678423755091195513e-02,8.990052859313369948e-01
5.135000000000000142e+01,1.896999999999999318e+02,9.899707984993766016e-03,6.442366069473266788e-02,9.256766313202734464e-01
5.272500000000000142e+01,1.896999999999999318e+02,7.634510000283780545e-03,5.257106446821531442e-02,9.397944255315009432e-01
5.410000000000000142e+01,1.896999999999999318e+02,6.400120630916436744e-03,4.608145085924231915e-02,9.475184285098412484e-01
5.547500000000000142e+01,1.896999999999999318e+02,5.702753861805651657e-03,4.243250523783820283e-02,9.518647409003559989e-01
5.685000000000000142e+01,1.896999999999999318e+02,5.297363704844743580e-03,4.034630709187569247e-02,9.543563292032796186e-01
5.822500000000000142e+01,1.896999999999999318e+02,5.056755334775050147e-03,3.914435576799811523e-02,9.557988888972267505e-01
3.210000000000000142e+01,1.926499999999999204e+02,2.069107733295639240e-01,5.434739442900250461e-01,2.496152823804110299e-01
3.347500000000000142e+01,1.926499999999999204e+02,1.994011971094726277e-01,5.546030991533593690e-01,2.459957037371680866e-01
3.485000000000000142e+01,1.926499999999999204e+02,1.908886433552063333e-01,5.664026431334506784e-01,2.427087135113430161e-01
3.622500000000000142e+01,1.926499999999999204e+02,1.813997302722482607e-01,5.781245555759674248e-01,2.404757141517844810e-01
3.760000000000000142e+01,1.926499999999999204e+02,1.709438671898759476e-01,5.885778291720681343e-01,2.404783036380558903e-01
3.897500000000000142e+01,1.926499999999999204e+02,1.594588869433000433e-01,5.958984145607968408e-01,2.446426984959031437e-01
4.035000000000000142e+01,1.926499999999999204e+02,1.467523155605768015e-01,5.970712079648355930e-01,2.561764764745876888e-01
4.172500000000000142e+01,1.926499999999999204e+02,1.324494251380065601e-01,5.869777307537134003e-01,2.805728441082799840e-01
4.310000000000000142e+01,1.926499999999999204e+02,1.159316060544084426e-01,5.569113248068332522e-01,3.271570691387583607e-01
4.447500000000000142e+01,1.926499999999999204e+02,9.629301603588420744e-02,4.942813144996709984e-01,4.094256694644446415e-01
4.585000000000000142e+01,1.926499999999999204e+02,7.303661328658270224e-02,3.913504242634203156e-01,5.356129624499970099e-01
4.722500000000000142e+01,1.926499999999999204e+02,4.884248066051802978e-02,2.682456655841653492e-01,6.829118537553167112e-01
4.860000000000000142e+01,1.926499999999999204e+02,2.969008971191388832e-02,1.678569590690373314e-01,8.024529512190489156e-01
4.997500000000000142e+01,1.926499999999999204e+02,1.806366140367579240e-02,1.072177259792005954e-01,8.747186126171235809e-01
5.135000000000000142e+01,1.926499999999999204e+02,1.189395284105326973e-02,7.509369228785264805e-02,9.130123548710940007e-01
5.272500000000000142e+01,1.926499999999999204e+02,8.690472503747321067e-03,5.829508958815954323e-02,9.330144379080932415e-01
5.410000000000000142e+01,1.926499999999999204e+02,6.980579504317007203e-03,4.925638229506479338e-02,9.437630382006182428e-01
5.547500000000000142e+01,1.926499999999999204e+02,6.032830047928500021e-03,4.423945971439326857e-02,9.497277102376782132e-01
5.685000000000000142e+01,1.926499999999999204e+02,5.489977461771522113e-03,4.139179830199286869e-02,9.531182242362357115e-01
5.822500000000000142e+01,1.926499999999999204e+02,5.171242648424799471e-03,3.975463605717019511e-02,9.550741212944050540e-01
3.210000000000000142e+01,1.955999999999999091e+02,2.094100349644229808e-01,5.398986681382128561e-01,2.506912968973642464e-01
3.347500000000000142e+01,1.955999999999999091e+02,2.023103879887612200e-01,5.507427615530900988e-01,2.469468504581487367e-01
3.485000000000000142e+01,1.955999999999999091e+02,1.942295903098708310e-01,5.624879206210309235e-01,2.432824890690981623e-01
3.622500000000000142e+01,1.955999999999999091e+02,1.852030194108126027e-01,5.745459351249395663e-01,2.402510454642478310e-01
3.760000000000000142e+01,1.955999999999999091e+02,1.752686564771654409e-01,5.859666477264778850e-01,2.387646957963565908e-01
3.897500000000000142e+01,1.955999999999999091e+02,1.644179068020127366e-01,5.952839364753800266e-01,2.402981567226071813e-01
4.035000000000000142e+01,1.955999999999999091e+02,1.525357768512521084e-01,6.002001092459565701e-01,2.472641139027913493e-01
4.172500000000000142e+01,1.955999999999999091e+02,1.393455779823263019e-01,5.969213621036389972e-01,2.637330599140346177e-01
4.310000000000000142e+01,1.955999999999999091e+02,1.243589880458303293e-01,5.789214785025780241e-01,2.967195334515915772e-01
4.447500000000000142e+01,1.955999999999999091e+02,1.068038992496385814e-01,5.355157618333442615e-01,3.576803389170171710e-01
4.585000000000000142e+01,1.955999999999999091e+02,8.573535655396649635e-02,4.541705435375121280e-01,4.600940999085214589e-01
4.722500000000000142e+01,1.955999999999999091e+02,6.162890925466146808e-02,3.368588816273098141e-01,6.015122091180287178e-01
4.860000000000000142e+01,1.955999999999999091e+02,3.915032429790007984e-02,2.188275562143145447e-01,7.420221194877852922e-01
4.997500000000000142e+01,1.955999999999999091e+02,2.352602962715374252e-02,1.363758228757084578e-01,8.400981474971378482e-01
5.135000000000000142e+01,1.955999999999999091e+02,1.474766083281184997e-02,9.036156792456016829e-02,8.948907712426279470e-01
5.272500000000000142e+01,1.955999999999999091e+02,1.017753942164997469e-02,6.634541349032402335e-02,9.234770470880259152e-01
5.410000000000000142e+01,1.955999999999999091e+02,7.781348346033309209e-03,5.364363688494951793e-02,9.385750147690170575e-01
5.547500000000000142e+01,1.955999999999999091e+02,6.480206151721385963e-03,4.670482040484733033e-02,9.468149734434313514e-01
5.685000000000000142e+01,1.955999999999999091e+02,5.747599503413083726e-03,4.280741200967547178e-02,9.514449884869113916e-01
5.822500000000000142e+01,1.955999999999999091e+02,5.322924794221732363e-03,4.057812802882132530e-02,9.540989471769569796e-01
3.210000000000000142e+01,1.985499999999998977e+02,2.117492672450368985e-01,5.364326635020846279e-01,2.518180692528784181e-01
3.347500000000000142e+01,1.985499999999998977e+02,2.050400463931182360e-01,5.469218398211646015e-01,2.480381137857173013e-01
3.485000000000000142e+01,1.985499999999998977e+02,1.973660061928660947e-01,5.584863908857694570e-01,2.441476029213644483e-01
3.622500000000000142e+01,1.985499999999998977e+02,1.887639851091408860e-01,5.706683943076383825e-01,2.405676205832206205e-01
3.760000000000000142e+01,1.985499999999998977e+02,1.792900604323397762e-01,5.827055058814322175e-01,2.380044336862281174e-01
3.897500000000000142e+01,1.985499999999998977e+02,1.689774641766913221e-01,5.934252238403568969e-01,2.375973119829517810e-01
4.035000000000000142e+01,1.985499999999998977e+02,1.577786383754152533e-01,6.010395619713666537e-01,2.411817996532179820e-01
4.172500000000000142e+01,1.985499999999998977e+02,1.455057434656350512e-01,6.027006136250770973e-01,2.517936429092879069e-01
4.310000000000000142e+01,1.985499999999998977e+02,1.317818004241792240e-01,5.935911607336219475e-01,2.746270388421987452e-01
4.447500000000000142e+01,1.985499999999998977e+02,1.159855058378174708e-01,5.654388004349243380e-01,3.185756937272581912e-01
4.585000000000000142e+01,1.985499999999998977e+02,9.719103748237037377e-02,5.058547565648808808e-01,3.969542059527487177e-01
4.722500000000000142e+01,1.985499999999998977e+02,7.470670262403052153e-02,4.056876500109724004e-01,5.196056473649971474e-01
4.860000000000000142e+01,1.985499999999998977e+02,5.069558882985342879e-02,2.817023403253793856e-01,6.676020708447673035e-01
4.997500000000000142e+01,1.985499999999998977e+02,3.104259260802932213e-02,1.769452499134536727e-01,7.920121574785169427e-01
5.135000000000000142e+01,1.985499999999998977e+02,1.883052354549107424e-02,1.122721875083163429e-01,8.688972889461925586e-01
5.272500000000000142e+01,1.985499999999998977e+02,1.229307753934238273e-02,7.778176910384898557e-02,9.099251533568086803e-01
5.410000000000000142e+01,1.985499999999998977e+02,8.898514721874986599e-03,5.976087298093876038e-02,9.313406122971863432e-01
5.547500000000000142e+01,1.985499999999998977e+02,7.092215163670687918e-03,5.008894515484396681e-02,9.428188396814853878e-01
5.685000000000000142e+01,1.985499999999998977e+02,6.094563393831442175e-03,4.473043043953704029e-02,9.491750061666314187e-01
5.822500000000000142e+01,1.985499999999998977e+02,5.524898049620808639e-03,4.169035520043760240e-02,9.527847467499415135e-01
3.210000000000000142e+01,2.014999999999998863e+02,2.139395033699491855e-01,5.330969278774487785e-01,2.529635687526020638e-01
3.347500000000000142e+01,2.014999999999998863e+02,2.076044576359881988e-01,5.431807919543296670e-01,2.492147504096821342e-01
3.485000000000000142e+01,2.014999999999998863e+02,2.003182371745863832e-01,5.544688538034419079e-01,2.452129090219717922e-01
3.622500000000000142e+01,2.014999999999998863e+02,1.921133932805490496e-01,5.666115489991347953e-01,2.412750577203162106e-01
3.760000000000000142e+01,2.014999999999998863e+02,1.830548658402052775e-01,5.789973424604970553e-01,2.379477916992976672e-01
3.897500000000000142e+01,2.014999999999998863e+02,1.732060778427962633e-01,5.906764764737576501e-01,2.361174456834461699e-01
4.035000000000000142e+01,2.014999999999998863e+02,1.625756246292253682e-01,6.002277292926424535e-01,2.371966460781321784e-01
4.172500000000000142e+01,2.014999999999998863e+02,1.510557375303068495e-01,6.054698890517080656e-01,2.434743734179851127e-01
4.310000000000000142e+01,2.014999999999998863e+02,1.383686385199719981e-01,6.028348524798567976e-01,2.587965090001712043e-01
4.447500000000000142e+01,2.014999999999998863e+02,1.240222840560781387e-01,5.861691931118754306e-01,2.898085228320463891e-01
4.585000000000000142e+01,2.014999999999998863e+02,1.072421095336575786e-01,5.452135447121559952e-01,3.475443457541864123e-01
4.722500000000000142e+01,2.014999999999998863e+02,8.702122964023172036e-02,4.671435189005040955e-01,4.458352514592641147e-01
4.860000000000000142e+01,2.014999999999998863e+02,6.348278595830288140e-02,3.513529227581579373e-01,5.851642912835391952e-01
4.997500000000000142e+01,2.014999999999998863e+02,4.082814049321571021e-02,2.304818281163151517e-01,7.286900313904691728e-01
5.135000000000000142e+01,2.014999999999998863e+02,2.459341363216034984e-02,1.434331316851756022e-01,8.319734546826640376e-01
5.272500000000000142e+01,2.014999999999998863e+02,1.532122040991275476e-02,9.415554613538602846e-02,8.905232334547011908e-01
5.410000000000000142e+01,2.014999999999998863e+02,1.047469535261543773e-02,6.837640902254706055e-02,9.211488956248374826e-01
5.547500000000000142e+01,2.014999999999998863e+02,7.938237277575307255e-03,5.477038083610552555e-02,9.372913818863192192e-01
5.685000000000000142e+01,2.014999999999998863e+02,6.565673386128630107e-03,4.735533027509911813e-02,9.460789963387722379e-01
5.822500000000000142e+01,2.014999999999998863e+02,5.795443475032188013e-03,4.319596365275498590e-02,9.510085928722129545e-01
3.210000000000000142e+01,2.044499999999998749e+02,2.159900417878729273e-01,5.299058505176427181e-01,2.541041076944842714e-01
3.347500000000000142e+01,2.044499999999998749e+02,2.100150306368955833e-01,5.395494785715896358e-01,2.504354907915148920e-01
3.485000000000000142e+01,2.044499999999998749e+02,2.031019278995234711e-01,5.504889428080901315e-01,2.464091292923864529e-01
3.622500000000000142e+01,2.044499999999998749e+02,1.952747434026456397e-01,5.624661446997384351e-01,2.422591118976159807e-01
3.760000000000000142e+01,2.044499999999998749e+02,1.865995360197651720e-01,5.749939564030681627e-01,2.384065075771666653e-01
3.897500000000000142e+01,2.044499999999998749e+02,1.771590453804575693e-01,5.872970819234788475e-01,2.355438726960635276e-01
4.035000000000000142e+01,2.044499999999998749e+02,1.670060657325426190e-01,5.982241658536322504e-01,2.347697684138251584e-01
4.172500000000000142e+01,2.044499999999998749e+02,1.561029258473540793e-01,6.060647539332923994e-01,2.378323202193534935e-01
4.310000000000000142e+01,2.044499999999998749e+02,1.442625189177676182e-01,6.081349635304811319e-01,2.476025175517512777e-01
4.447500000000000142e+01,2.044499999999998749e+02,1.311034960392057913e-01,5.999094156798766564e-01,2.689870882809176078e-01
4.585000000000000142e+01,2.044499999999998749e+02,1.160024975971139793e-01,5.735471985142882589e-01,3.104503038885977895e-01
4.722500000000000142e+01,2.044499999999998749e+02,9.802397215905987726e-02,5.169329610951048926e-01,3.850430667458352163e-01
