bill_length_mm,bill_depth_mm,Torgersen,Biscoe,Dream
3.347500000000000142e+01,1.393999999999999950e+01,1.405112158771470998e-01,2.774987985148661407e-01,5.819899856079867595e-01
3.485000000000000142e+01,1.393999999999999950e+01,1.114315460930607599e-01,3.080628368205453604e-01,5.805056170863939213e-01
3.622500000000000142e+01,1.393999999999999950e+01,8.665135595515945088e-02,3.591925566878760856e-01,5.541560873569645329e-01
3.760000000000000142e+01,1.393999999999999950e+01,6.539962370208460274e-02,4.392860802136703269e-01,4.953142960842449316e-01
3.897500000000000142e+01,1.393999999999999950e+01,4.670622507445973404e-02,5.502032138482535473e-01,4.030905610772866909e-01
4.035000000000000142e+01,1.393999999999999950e+01,3.074609836794753304e-02,6.772139034377657740e-01,2.920399981942867207e-01
4.172500000000000142e+01,1.393999999999999950e+01,1.867994028881110602e-02,7.914926697822903812e-01,1.898273899288985267e-01
4.310000000000000142e+01,1.393999999999999950e+01,1.092671907377972505e-02,8.728009162689658318e-01,1.162723646572543096e-01
4.447500000000000142e+01,1.393999999999999950e+01,6.536579954046256753e-03,9.217343662210798483e-01,7.172905382487394788e-02
4.585000000000000142e+01,1.393999999999999950e+01,4.186908996604693338e-03,9.489140171258537704e-01,4.689907387754162910e-02
4.722500000000000142e+01,1.393999999999999950e+01,2.926984262797310051e-03,9.638192128966174277e-01,3.325380284058530866e-02
4.860000000000000142e+01,1.393999999999999950e+01,2.228609029266535261e-03,9.721894513321925890e-01,2.558193963854072522e-02
4.997500000000000142e+01,1.393999999999999950e+01,1.824467490597409458e-03,9.770648986042285156e-01,2.111063390517421701e-02
5.135000000000000142e+01,1.393999999999999950e+01,1.580739884378635921e-03,9.800100157210632768e-01,1.840924439455798520e-02
5.272500000000000142e+01,1.393999999999999950e+01,1.428518543189888183e-03,9.818451131575649526e-01,1.672636829924506116e-02
5.410000000000000142e+01,1.393999999999999950e+01,1.330742611127850141e-03,9.830169732615856582e-01,1.565228412728662463e-02
5.547500000000000142e+01,1.393999999999999950e+01,1.266538782462966377e-03,9.837794923742548825e-01,1.495396884328228232e-02
5.685000000000000142e+01,1.393999999999999950e+01,1.223641616346832217e-03,9.842827760244986512e-01,1.449358235915453041e-02
5.822500000000000142e+01,1.393999999999999950e+01,1.194578534132154698e-03,9.846185962432105754e-01,1.418682522265714806e-02
3.210000000000000142e+01,1.435999999999999943e+01,1.986570129498436421e-01,2.470687181462437043e-01,5.542742689039126258e-01
3.347500000000000142e+01,1.435999999999999943e+01,1.650262590093588000e-01,2.584030710212547044e-01,5.765706699693864401e-01
3.485000000000000142e+01,1.435999999999999943e+01,1.334264379196177519e-01,2.767803942287765939e-01,5.897931678516056264e-01
3.622500000000000142e+01,1.435999999999999943e+01,1.058409972716381209e-01,3.083998925872570296e-01,5.857591101411049328e-01
3.760000000000000142e+01,1.435999999999999943e+01,8.251837267713284241e-02,3.616270623505101756e-01,5.558545649723569682e-01
3.897500000000000142e+01,1.435999999999999943e+01,6.241764144124931774e-02,4.446324668189312601e-01,4.929498917398193458e-01
4.035000000000000142e+01,1.435999999999999943e+01,4.455971241601555666e-02,5.582291999354154211e-01,3.972110876485691056e-01
4.172500000000000142e+01,1.435999999999999943e+01,2.925684481957403077e-02,6.860003278534655413e-01,2.847428273269603793e-01
4.310000000000000142e+01,1.435999999999999943e+01,1.774474169617539301e-02,7.986443821309935354e-01,1.836108761728311167e-01
4.447500000000000142e+01,1.435999999999999943e+01,1.040137440979825058e-02,8.774305968512051690e-01,1.121680287389966862e-01
4.585000000000000142e+01,1.435999999999999943e+01,6.259720338699176212e-03,9.243680430989650310e-01,6.937223656233564018e-02
4.722500000000000142e+01,1.435999999999999943e+01,4.041891223154542301e-03,9.503484171656859658e-01,4.560969161115960291e-02
4.860000000000000142e+01,1.435999999999999943e+01,2.848618477004621809e-03,9.646066953120432386e-01,3.254468621095220338e-02
4.997500000000000142e+01,1.435999999999999943e+01,2.184262373403447234e-03,9.726350130514918035e-01,2.518072457510469805e-02
5.135000000000000142e+01,1.435999999999999943e+01,1.798163193956125007e-03,9.773259291945538552e-01,2.087590761149017704e-02
5.272500000000000142e+01,1.435999999999999943e+01,1.564472551812998635e-03,9.801678174465398019e-01,1.826771000164715414e-02
5.410000000000000142e+01,1.435999999999999943e+01,1.418101887108985616e-03,9.819429699373730669e-01,1.663892817551798284e-02
5.547500000000000142e+01,1.435999999999999943e+01,1.323880004736792708e-03,9.830788576819093905e-01,1.559726231335380707e-02
5.685000000000000142e+01,1.435999999999999943e+01,1.261911251534966576e-03,9.838192091790340932e-01,1.491887956943091682e-02
5.822500000000000142e+01,1.435999999999999943e+01,1.220460412724693215e-03,9.843085492849651397e-01,1.447099030231008970e-02
3.210000000000000142e+01,1.477999999999999936e+01,2.232477272270483037e-01,2.387593415615677783e-01,5.379929312113840290e-01
3.347500000000000142e+01,1.477999999999999936e+01,1.901810007124589696e-01,2.462863165604861626e-01,5.635326827270548122e-01
3.485000000000000142e+01,1.477999999999999936e+01,1.570693664194727779e-01,2.573530475851485422e-01,5.855775859953786799e-01
3.622500000000000142e+01,1.477999999999999936e+01,1.266930596588256297e-01,2.760577914660730103e-01,5.972491488751013877e-01
3.760000000000000142e+01,1.477999999999999936e+01,1.006286252811566806e-01,3.089096488292868981e-01,5.904617258895564769e-01
3.897500000000000142e+01,1.477999999999999936e+01,7.869824443559263194e-02,3.643893829015317776e-01,5.569123726628755211e-01
4.035000000000000142e+01,1.477999999999999936e+01,5.965388697116165428e-02,4.503755747181314995e-01,4.899705383107067491e-01
4.172500000000000142e+01,1.477999999999999936e+01,4.255325029841655615e-02,5.665554534588898017e-01,3.908912962426935311e-01
4.310000000000000142e+01,1.477999999999999936e+01,2.785841083445816588e-02,6.948446608234647437e-01,2.772969283420770870e-01
4.447500000000000142e+01,1.477999999999999936e+01,1.686808530743393736e-02,8.056654757341661366e-01,1.774664389583999746e-01
4.585000000000000142e+01,1.477999999999999936e+01,9.910163405225571459e-03,8.819015437545562053e-01,1.081882928402182892e-01
4.722500000000000142e+01,1.477999999999999936e+01,6.000766999771490681e-03,9.268916309690587996e-01,6.710760203116962475e-02
4.860000000000000142e+01,1.477999999999999936e+01,3.905853358143869091e-03,9.517203060484071830e-01,4.437384059344898213e-02
4.997500000000000142e+01,1.477999999999999936e+01,2.774810489018523542e-03,9.653607524030609621e-01,3.186443710792057071e-02
5.135000000000000142e+01,1.477999999999999936e+01,2.142334579433582790e-03,9.730626324486525425e-01,2.479503297191390856e-02
5.272500000000000142e+01,1.477999999999999936e+01,1.773217445646698039e-03,9.775770377271051359e-01,2.064974482724821203e-02
5.410000000000000142e+01,1.477999999999999936e+01,1.549012497249208607e-03,9.803199302587694008e-01,1.813105724398162213e-02
5.547500000000000142e+01,1.477999999999999936e+01,1.408189646689057351e-03,9.820374536093169349e-01,1.655435674399399759e-02
5.685000000000000142e+01,1.477999999999999936e+01,1.317346179731053880e-03,9.831386859515642840e-01,1.554396786870471114e-02
5.822500000000000142e+01,1.477999999999999936e+01,1.257505550746208312e-03,9.838576454512252267e-01,1.488484899802853048e-02
3.210000000000000142e+01,1.519999999999999929e+01,2.460396808638295463e-01,2.327391638667712648e-01,5.212211552693991612e-01
3.347500000000000142e+01,1.519999999999999929e+01,2.149092804259785106e-01,2.382730609021347645e-01,5.468176586718868082e-01
3.485000000000000142e+01,1.519999999999999929e+01,1.817550899102128303e-01,2.453061824371438049e-01,5.729387276526434203e-01
3.622500000000000142e+01,1.519999999999999929e+01,1.493659476649007445e-01,2.561874532807544846e-01,5.944465990543447154e-01
3.760000000000000142e+01,1.519999999999999929e+01,1.203312529397487507e-01,2.753720567636348537e-01,6.042966902966163678e-01
3.897500000000000142e+01,1.519999999999999929e+01,9.578670519184613596e-02,3.096286163435609251e-01,5.945846784645929528e-01
4.035000000000000142e+01,1.519999999999999929e+01,7.517059519422264469e-02,3.675001749302794218e-01,5.573292298754979335e-01
4.172500000000000142e+01,1.519999999999999929e+01,5.708866915096651867e-02,4.565145663211263027e-01,4.863967645279071439e-01
4.310000000000000142e+01,1.519999999999999929e+01,4.067334919398309101e-02,5.751588243829286462e-01,3.841678264230882212e-01
4.447500000000000142e+01,1.519999999999999929e+01,2.654301468990197255e-02,7.037174748494023913e-01,2.697395104606957195e-01
4.585000000000000142e+01,1.519999999999999929e+01,1.604545369372870761e-02,8.125411654217521429e-01,1.714133808845190454e-01
4.722500000000000142e+01,1.519999999999999929e+01,9.450466922513058379e-03,8.862126044093961985e-01,1.043369286680906755e-01
4.860000000000000142e+01,1.519999999999999929e+01,5.758338244415848670e-03,9.293078762662464465e-01,6.493378548933750882e-02
4.997500000000000142e+01,1.519999999999999929e+01,3.778119207673328976e-03,9.530320030459354941e-01,4.318987774639111016e-02
5.135000000000000142e+01,1.519999999999999929e+01,2.705233560235503851e-03,9.660827417106097048e-01,3.121202472915466861e-02
5.272500000000000142e+01,1.519999999999999929e+01,2.102662207245420845e-03,9.734730329168153062e-01,2.442430487593922825e-02
5.410000000000000142e+01,1.519999999999999929e+01,1.749543498992987877e-03,9.778186072025077946e-01,2.043184929849914747e-02
5.547500000000000142e+01,1.519999999999999929e+01,1.534310485635531456e-03,9.804665625061689260e-01,1.799912700819558328e-02
5.685000000000000142e+01,1.519999999999999929e+01,1.398752015705321443e-03,9.821286818330818846e-01,1.647256615121280715e-02
5.822500000000000142e+01,1.519999999999999929e+01,1.311122042506985197e-03,9.831965270045828209e-01,1.549235095291019541e-02
3.210000000000000142e+01,1.561999999999999922e+01,2.664671230960664050e-01,2.280719023825426572e-01,5.054609745213909378e-01
3.347500000000000142e+01,1.561999999999999922e+01,2.381957102858687225e-01,2.325871357460478350e-01,5.292171539680833314e-01
3.485000000000000142e+01,1.561999999999999922e+01,2.064721948196943657e-01,2.375808466132628971e-01,5.559469585670427927e-01
3.622500000000000142e+01,1.561999999999999922e+01,1.734358365095271803e-01,2.441408060551950032e-01,5.824233574352777332e-01
3.760000000000000142e+01,1.561999999999999922e+01,1.419586611970166112e-01,2.549394915958220764e-01,6.031018472071613123e-01
3.897500000000000142e+01,1.561999999999999922e+01,1.143531862510852315e-01,2.747639032236124934e-01,6.108829105253023029e-01
4.035000000000000142e+01,1.561999999999999922e+01,9.130268918640879749e-02,3.105891151343236900e-01,5.981081956792675403e-01
4.172500000000000142e+01,1.561999999999999922e+01,7.191410794150587815e-02,3.709751182797909053e-01,5.571107737787032166e-01
4.310000000000000142e+01,1.561999999999999922e+01,5.470329385377033921e-02,4.630444896331963323e-01,4.822522165130333494e-01
4.447500000000000142e+01,1.561999999999999922e+01,3.890780110491042637e-02,5.840139946161596596e-01,3.770782042789299626e-01
4.585000000000000142e+01,1.561999999999999922e+01,2.530373453780189463e-02,7.125902088372551013e-01,2.621060566249429069e-01
4.722500000000000142e+01,1.561999999999999922e+01,1.527278253720860957e-02,8.192586751451776950e-01,1.654685423176137649e-01
4.860000000000000142e+01,1.561999999999999922e+01,9.019906423781627255e-03,8.903636816334766779e-01,1.006164119427417764e-01
4.997500000000000142e+01,1.561999999999999922e+01,5.531176843582903679e-03,9.316197831632232473e-01,6.284903999319399470e-02
5.135000000000000142e+01,1.561999999999999922e+01,3.658072310430339480e-03,9.542858364404944727e-01,4.205609124907513929e-02
5.272500000000000142e+01,1.561999999999999922e+01,2.639588694327957979e-03,9.667739941845061580e-01,3.058641712116593261e-02
5.410000000000000142e+01,1.561999999999999922e+01,2.065094966085996315e-03,9.738669184160008152e-01,2.406798661791318197e-02
5.547500000000000142e+01,1.561999999999999922e+01,1.727061190936687906e-03,9.780510098660327722e-01,2.022192894303041777e-02
5.685000000000000142e+01,1.561999999999999922e+01,1.520320820874136161e-03,9.806079169161026066e-01,1.787176226302308532e-02
5.822500000000000142e+01,1.561999999999999922e+01,1.389761236820585919e-03,9.822167692963178487e-01,1.639346946686179307e-02
3.210000000000000142e+01,1.603999999999999915e+01,2.843343631926421033e-01,2.242495640249684286e-01,4.914160727823894681e-01
3.347500000000000142e+01,1.603999999999999915e+01,2.593324785966183987e-01,2.282136544396160260e-01,5.124538669637656030e-01
3.485000000000000142e+01,1.603999999999999915e+01,2.301428152939747340e-01,2.322532504400204312e-01,5.376039342660048348e-01
3.622500000000000142e+01,1.603999999999999915e+01,1.979865871215256978e-01,2.366800348911126117e-01,5.653333779873617182e-01
3.760000000000000142e+01,1.603999999999999915e+01,1.652788267130547439e-01,2.428087003251726550e-01,5.919124729617725178e-01
3.897500000000000142e+01,1.603999999999999915e+01,1.348831018360980571e-01,2.536456762998213765e-01,6.114712218640805386e-01
4.035000000000000142e+01,1.603999999999999915e+01,1.087634513406603998e-01,2.742723531668430637e-01,6.169641954924964811e-01
4.172500000000000142e+01,1.603999999999999915e+01,8.716026918616751051e-02,3.118188683015526430e-01,6.010208625122798187e-01
4.310000000000000142e+01,1.603999999999999915e+01,6.890719350227186846e-02,3.748252589029854587e-01,5.562675475947426174e-01
4.447500000000000142e+01,1.603999999999999915e+01,5.248024842755243113e-02,4.699568128125316546e-01,4.775629387599159004e-01
4.585000000000000142e+01,1.603999999999999915e+01,3.724563442326263296e-02,5.930940130123710796e-01,3.696603525643661903e-01
4.722500000000000142e+01,1.603999999999999915e+01,2.413442255669049491e-02,7.214354988925378853e-01,2.544300785507715990e-01
4.860000000000000142e+01,1.603999999999999915e+01,1.454640732877701681e-02,8.258071997541759357e-01,1.596463929170470475e-01
4.997500000000000142e+01,1.603999999999999915e+01,8.616317732172560501e-03,8.943556090486483034e-01,9.702807321917923666e-02
5.135000000000000142e+01,1.603999999999999915e+01,5.318137181098864762e-03,9.338305531209089017e-01,6.085130969799227435e-02
5.272500000000000142e+01,1.603999999999999915e+01,3.545149937653768474e-03,9.554841248187553315e-01,4.097072524359111900e-02
5.410000000000000142e+01,1.603999999999999915e+01,2.577601949096887130e-03,9.674358091824576400e-01,2.998658886844544902e-02
5.547500000000000142e+01,1.603999999999999915e+01,2.029494502174729494e-03,9.742449720676872316e-01,2.372553343013808491e-02
5.685000000000000142e+01,1.603999999999999915e+01,1.705696369358067821e-03,9.782746067170660087e-01,2.001969691357599612e-02
5.822500000000000142e+01,1.603999999999999915e+01,1.507001055990871011e-03,9.807441903699828378e-01,1.774880857402630005e-02
3.210000000000000142e+01,1.646000000000000085e+01,2.997191095737404276e-01,2.210030732195751024e-01,4.792778172066844977e-01
3.347500000000000142e+01,1.646000000000000085e+01,2.779928454640846480e-01,2.246126551225873236e-01,4.973944994133279729e-01
3.485000000000000142e+01,1.646000000000000085e+01,2.519272132858939028e-01,2.282132030674287881e-01,5.198595836466772813e-01
3.622500000000000142e+01,1.646000000000000085e+01,2.219156968627480075e-01,2.317249683786818115e-01,5.463593347585702364e-01
3.760000000000000142e+01,1.646000000000000085e+01,1.895063037580657084e-01,2.355731245781239880e-01,5.749205716638103869e-01
3.897500000000000142e+01,1.646000000000000085e+01,1.573368063570051989e-01,2.413340558969526428e-01,6.013291377460421305e-01
4.035000000000000142e+01,1.646000000000000085e+01,1.281670107535831937e-01,2.523444439689870866e-01,6.194885452774296919e-01
4.172500000000000142e+01,1.646000000000000085e+01,1.035597962153422813e-01,2.739336188697049090e-01,6.225065849149529207e-01
4.310000000000000142e+01,1.646000000000000085e+01,8.334040395562045123e-02,3.133408726845383629e-01,6.033187233598411581e-01
4.447500000000000142e+01,1.646000000000000085e+01,6.612852548649372775e-02,3.790574503816976359e-01,5.548140241318086918e-01
4.585000000000000142e+01,1.646000000000000085e+01,5.040330957193252942e-02,4.772399342977703962e-01,4.723567561302969842e-01
4.722500000000000142e+01,1.646000000000000085e+01,3.567704785765547781e-02,6.023707753988195579e-01,3.619521767435250892e-01
4.860000000000000142e+01,1.646000000000000085e+01,2.302962179283612326e-02,7.302274408478331980e-01,2.467429373593304776e-01
4.997500000000000142e+01,1.646000000000000085e+01,1.386301581318834242e-02,8.321778337751285504e-01,1.539591504116832321e-01
5.135000000000000142e+01,1.646000000000000085e+01,8.237727953313690385e-03,8.981900299022473888e-01,9.357224214443898846e-02
5.272500000000000142e+01,1.646000000000000085e+01,5.118173883215943257e-03,9.359435314248160109e-01,5.893829469196795734e-02
5.410000000000000142e+01,1.646000000000000085e+01,3.438837760862780042e-03,9.566291615490321032e-01,3.993200069010507947e-02
5.547500000000000142e+01,1.646000000000000085e+01,2.519022037105016643e-03,9.680694506039168035e-01,2.941152735897806236e-02
5.685000000000000142e+01,1.646000000000000085e+01,1.995733310582089096e-03,9.746078551589045791e-01,2.339641153051351050e-02
5.822500000000000142e+01,1.646000000000000085e+01,1.685380375816915993e-03,9.784897471839477667e-01,1.982487244023546993e-02
3.210000000000000142e+01,1.687999999999999901e+01,3.128513771236109964e-01,2.181881199904197322e-01,4.689605028859691882e-01
3.347500000000000142e+01,1.687999999999999901e+01,2.941631780398867302e-01,2.215123886310180479e-01,4.843244333290951387e-01
3.485000000000000142e+01,1.687999999999999901e+01,2.713601425552168989e-01,2.248755051029477647e-01,5.037643523418353642e-01
3.622500000000000142e+01,1.687999999999999901e+01,2.442693550345654552e-01,2.280541082365881433e-01,5.276765367288462905e-01
3.760000000000000142e+01,1.687999999999999901e+01,2.135550341944038866e-01,2.309927536116192504e-01,5.554522121939768908e-01
3.897500000000000142e+01,1.687999999999999901e+01,1.810874627314464913e-01,2.342682748794718550e-01,5.846442623890816259e-01
4.035000000000000142e+01,1.687999999999999901e+01,1.496579179939053206e-01,2.397460403117208372e-01,6.105960416943738700e-01
4.172500000000000142e+01,1.687999999999999901e+01,1.218299369093332751e-01,2.510747081083218868e-01,6.270953549823448103e-01
4.310000000000000142e+01,1.687999999999999901e+01,9.873407010452890653e-02,2.737802576702189628e-01,6.274856722252520891e-01
4.447500000000000142e+01,1.687999999999999901e+01,7.982225836842957167e-02,3.151735027544784185e-01,6.050042388770919821e-01
4.585000000000000142e+01,1.687999999999999901e+01,6.355744842736855971e-02,3.836748454017497312e-01,5.527677061708817785e-01
4.722500000000000142e+01,1.687999999999999901e+01,4.845759061369170340e-02,4.848796522643415430e-01,4.666627571219668091e-01
4.860000000000000142e+01,1.687999999999999901e+01,3.419333113248098494e-02,6.118154505630241102e-01,3.539912183044948146e-01
4.997500000000000142e+01,1.687999999999999901e+01,2.198448750169625793e-02,7.389417912223218421e-01,2.390737212759818930e-01
5.135000000000000142e+01,1.687999999999999901e+01,1.321960591041960488e-02,8.383634753382412930e-01,1.484169187513391663e-01
5.272500000000000142e+01,1.687999999999999901e+01,7.882335195674269185e-03,9.018692815960448472e-01,9.024838320828108829e-02
5.410000000000000142e+01,1.687999999999999901e+01,4.930331747557906673e-03,9.379621604401420232e-01,5.710750781230008316e-02
5.547500000000000142e+01,1.687999999999999901e+01,3.338665107108406121e-03,9.577232020880640517e-01,3.893813280482733008e-02
5.685000000000000142e+01,1.687999999999999901e+01,2.463618181406218924e-03,9.686761439972724208e-01,2.886023782132129262e-02
5.822500000000000142e+01,1.687999999999999901e+01,1.963693757483692386e-03,9.749562064913046555e-01,2.308009975121145738e-02
3.210000000000000142e+01,1.729999999999999716e+01,3.240181652261163170e-01,2.157227495385002913e-01,4.602590852353834472e-01
3.347500000000000142e+01,1.729999999999999716e+01,3.080233347648164699e-01,2.187796751955001506e-01,4.731969900396832962e-01
3.485000000000000142e+01,1.729999999999999716e+01,2.883224952542709496e-01,2.219582959360812124e-01,4.897192088096479212e-01
3.622500000000000142e+01,1.729999999999999716e+01,2.644412866324697964e-01,2.250220633418275884e-01,5.105366500257025875e-01
3.760000000000000142e+01,1.729999999999999716e+01,2.363826331477271447e-01,2.277208322797451001e-01,5.358965345725278384e-01
3.897500000000000142e+01,1.729999999999999716e+01,2.051070024885568999e-01,2.300509075337099363e-01,5.648420899777331083e-01
4.035000000000000142e+01,1.729999999999999716e+01,1.727867413168240329e-01,2.327795301261022798e-01,5.944337285570736595e-01
4.172500000000000142e+01,1.729999999999999716e+01,1.422841833139690260e-01,2.380777819565303710e-01,6.196380347295006308e-01
4.310000000000000142e+01,1.729999999999999716e+01,1.158833360990143280e-01,2.498744724088736435e-01,6.342421914921120285e-01
4.447500000000000142e+01,1.729999999999999716e+01,9.427328363564918545e-02,2.738406235739552774e-01,6.318860927903956481e-01
4.585000000000000142e+01,1.729999999999999716e+01,7.658402188373333863e-02,3.173307942633871170e-01,6.060851838528795721e-01
4.722500000000000142e+01,1.729999999999999716e+01,6.117427239938659500e-02,3.886773973840250140e-01,5.501483302165884881e-01
4.860000000000000142e+01,1.729999999999999716e+01,4.662954261865674688e-02,4.928595846897854682e-01,4.605108726915576600e-01
4.997500000000000142e+01,1.729999999999999716e+01,3.278677842634943052e-02,6.213988553358584799e-01,3.458143662377921035e-01
5.135000000000000142e+01,1.729999999999999716e+01,2.099471410885460007e-02,7.475561134555597231e-01,2.314491724355856594e-01
5.272500000000000142e+01,1.729999999999999716e+01,1.261344872973911221e-02,8.443587123014034690e-01,1.430278389688574014e-01
5.410000000000000142e+01,1.729999999999999716e+01,7.548490753640050253e-03,9.053962874907192093e-01,8.705522175564063547e-02
5.547500000000000142e+01,1.729999999999999716e+01,4.753736811685545759e-03,9.398899391896757827e-01,5.535632399863860825e-02
5.685000000000000142e+01,1.729999999999999716e+01,3.244200731528717845e-03,9.587684537770634341e-01,3.798734549140779515e-02
5.822500000000000142e+01,1.729999999999999716e+01,2.411178196866436713e-03,9.692570744951150008e-01,2.833174730801873639e-02
3.210000000000000142e+01,1.771999999999999886e+01,3.335058228729698149e-01,2.135555210546459526e-01,4.529386560723841493e-01
3.347500000000000142e+01,1.771999999999999886e+01,3.198401660153597503e-01,2.163476591688334449e-01,4.638121748158068880e-01
3.485000000000000142e+01,1.771999999999999886e+01,3.029310997370233682e-01,2.193368389194649826e-01,4.777320613435115382e-01
3.622500000000000142e+01,1.771999999999999886e+01,2.821940094771567265e-01,2.223272835889313903e-01,4.954787069339117167e-01
3.760000000000000142e+01,1.771999999999999886e+01,2.572454607315487474e-01,2.250358232820938997e-01,5.177187159863573251e-01
3.897500000000000142e+01,1.771999999999999886e+01,2.282967737016999010e-01,2.271994468964257941e-01,5.445037794018743327e-01
4.035000000000000142e+01,1.771999999999999886e+01,1.966224349962826246e-01,2.288983370501417869e-01,5.744792279535755330e-01
4.172500000000000142e+01,1.771999999999999886e+01,1.646595177304013835e-01,2.311267172132103476e-01,6.042137650563883522e-01
4.310000000000000142e+01,1.771999999999999886e+01,1.352503440479969066e-01,2.363651162732570421e-01,6.283845396787460791e-01
4.447500000000000142e+01,1.771999999999999886e+01,1.103310529199402201e-01,2.487796057984291986e-01,6.408893412816306645e-01
4.585000000000000142e+01,1.771999999999999886e+01,9.016069645852214931e-02,2.741386066300349200e-01,6.357006969114429307e-01
4.722500000000000142e+01,1.771999999999999886e+01,7.360359056555433599e-02,3.198228520074882786e-01,6.065735574269575103e-01
