bill_depth_mm,body_mass_g,Torgersen,Biscoe,Dream
1.771999999999999886e+01,3.060000000000000000e+03,2.266105173421248675e-01,4.067680301964178291e-01,3.666214524614572756e-01
1.814000000000000057e+01,3.060000000000000000e+03,2.266105196730141824e-01,4.067680261621323679e-01,3.666214541648534775e-01
1.855999999999999872e+01,3.060000000000000000e+03,2.266105219866594023e-01,4.067680221576926436e-01,3.666214558556478154e-01
1.897999999999999687e+01,3.060000000000000000e+03,2.266105242831882582e-01,4.067680181828781105e-01,3.666214575339336035e-01
1.939999999999999858e+01,3.060000000000000000e+03,2.266105265627272602e-01,4.067680142374693886e-01,3.666214591998032679e-01
1.982000000000000028e+01,3.060000000000000000e+03,2.266105288254021133e-01,4.067680103212490406e-01,3.666214608533487906e-01
2.023999999999999844e+01,3.060000000000000000e+03,2.266105310713376342e-01,4.067680064340011281e-01,3.666214624946613210e-01
2.065999999999999659e+01,3.060000000000000000e+03,2.266105333006575573e-01,4.067680025755112116e-01,3.666214641238311756e-01
2.107999999999999829e+01,3.060000000000000000e+03,2.266105355134848121e-01,4.067679987455666835e-01,3.666214657409483935e-01
1.309999999999999964e+01,3.240000000000000000e+03,2.266106594157211163e-01,4.067677842965613522e-01,3.666215562877175316e-01
1.351999999999999957e+01,3.240000000000000000e+03,2.266106606955409219e-01,4.067677820814596945e-01,3.666215572229993835e-01
1.393999999999999950e+01,3.240000000000000000e+03,2.266106619658925792e-01,4.067677798827455393e-01,3.666215581513619370e-01
1.435999999999999943e+01,3.240000000000000000e+03,2.266106632268460042e-01,4.067677777002976502e-01,3.666215590728562623e-01
1.477999999999999936e+01,3.240000000000000000e+03,2.266106644784708357e-01,4.067677755339957901e-01,3.666215599875334297e-01
1.519999999999999929e+01,3.240000000000000000e+03,2.266106657208360464e-01,4.067677733837203324e-01,3.666215608954436211e-01
1.561999999999999922e+01,3.240000000000000000e+03,2.266106669540101370e-01,4.067677712493528164e-01,3.666215617966370188e-01
1.603999999999999915e+01,3.240000000000000000e+03,2.266106681780610810e-01,4.067677691307754473e-01,3.666215626911633607e-01
1.646000000000000085e+01,3.240000000000000000e+03,2.266106693930564076e-01,4.067677670278716517e-01,3.666215635790719407e-01
1.687999999999999901e+01,3.240000000000000000e+03,2.266106705990631187e-01,4.067677649405252449e-01,3.666215644604117196e-01
1.729999999999999716e+01,3.240000000000000000e+03,2.266106717961476891e-01,4.067677628686212632e-01,3.666215653352312143e-01
1.771999999999999886e+01,3.240000000000000000e+03,2.266106729843761214e-01,4.067677608120452981e-01,3.666215662035786638e-01
1.814000000000000057e+01,3.240000000000000000e+03,2.266106741638138911e-01,4.067677587706841069e-01,3.666215670655020298e-01
1.855999999999999872e+01,3.240000000000000000e+03,2.266106753345261404e-01,4.067677567444251130e-01,3.666215679210488299e-01
1.897999999999999687e+01,3.240000000000000000e+03,2.266106764965773457e-01,4.067677547331564614e-01,3.666215687702661929e-01
1.939999999999999858e+01,3.240000000000000000e+03,2.266106776500315945e-01,4.067677527367674628e-01,3.666215696132009705e-01
1.982000000000000028e+01,3.240000000000000000e+03,2.266106787949525025e-01,4.067677507551478722e-01,3.666215704498996808e-01
2.023999999999999844e+01,3.240000000000000000e+03,2.266106799314031583e-01,4.067677487881884990e-01,3.666215712804083426e-01
2.065999999999999659e+01,3.240000000000000000e+03,2.266106810594463172e-01,4.067677468357808745e-01,3.666215721047729192e-01
2.107999999999999829e+01,3.240000000000000000e+03,2.266106821791439851e-01,4.067677448978171961e-01,3.666215729230386522e-01
1.309999999999999964e+01,3.420000000000000000e+03,2.266107448740111163e-01,4.067676363860719957e-01,3.666216187399168325e-01
1.351999999999999957e+01,3.420000000000000000e+03,2.266107455216027355e-01,4.067676352652259686e-01,3.666216192131712681e-01
1.393999999999999950e+01,3.420000000000000000e+03,2.266107461644034649e-01,4.067676341526720862e-01,3.666216196829245044e-01
1.435999999999999943e+01,3.420000000000000000e+03,2.266107468024486371e-01,4.067676330483489533e-01,3.666216201492024096e-01
1.477999999999999936e+01,3.420000000000000000e+03,2.266107474357735574e-01,4.067676319521957295e-01,3.666216206120307408e-01
1.519999999999999929e+01,3.420000000000000000e+03,2.266107480644129757e-01,4.067676308641519078e-01,3.666216210714350887e-01
1.561999999999999922e+01,3.420000000000000000e+03,2.266107486884017530e-01,4.067676297841576472e-01,3.666216215274407109e-01
1.603999999999999915e+01,3.420000000000000000e+03,2.266107493077741397e-01,4.067676287121532175e-01,3.666216219800726983e-01
1.646000000000000085e+01,3.420000000000000000e+03,2.266107499225643307e-01,4.067676276480796105e-01,3.666216224293560866e-01
1.687999999999999901e+01,3.420000000000000000e+03,2.266107505328062433e-01,4.067676265918780953e-01,3.666216228753155781e-01
1.729999999999999716e+01,3.420000000000000000e+03,2.266107511385335727e-01,4.067676255434905519e-01,3.666216233179758754e-01
1.771999999999999886e+01,3.420000000000000000e+03,2.266107517397796256e-01,4.067676245028589710e-01,3.666216237573613479e-01
1.814000000000000057e+01,3.420000000000000000e+03,2.266107523365776533e-01,4.067676234699262316e-01,3.666216241934961428e-01
1.855999999999999872e+01,3.420000000000000000e+03,2.266107529289604350e-01,4.067676224446351019e-01,3.666216246264044076e-01
1.897999999999999687e+01,3.420000000000000000e+03,2.266107535169608056e-01,4.067676214269292934e-01,3.666216250561099566e-01
1.939999999999999858e+01,3.420000000000000000e+03,2.266107541006109616e-01,4.067676204167525178e-01,3.666216254826364929e-01
1.982000000000000028e+01,3.420000000000000000e+03,2.266107546799433214e-01,4.067676194140491530e-01,3.666216259060074978e-01
2.023999999999999844e+01,3.420000000000000000e+03,2.266107552549896931e-01,4.067676184187639654e-01,3.666216263262464525e-01
2.065999999999999659e+01,3.420000000000000000e+03,2.266107558257817456e-01,4.067676174308418324e-01,3.666216267433763387e-01
2.107999999999999829e+01,3.420000000000000000e+03,2.266107563923510926e-01,4.067676164502285197e-01,3.666216271574202490e-01
1.309999999999999964e+01,3.600000000000000000e+03,2.266107881160639992e-01,4.067675615431029512e-01,3.666216503408329386e-01
1.351999999999999957e+01,3.600000000000000000e+03,2.266107884437464082e-01,4.067675609759532906e-01,3.666216505803003289e-01
1.393999999999999950e+01,3.600000000000000000e+03,2.266107887690044786e-01,4.067675604129993849e-01,3.666216508179960809e-01
1.435999999999999943e+01,3.600000000000000000e+03,2.266107890918563350e-01,4.067675598542103699e-01,3.666216510539334617e-01
1.477999999999999936e+01,3.600000000000000000e+03,2.266107894123196576e-01,4.067675592995552147e-01,3.666216512881251832e-01
1.519999999999999929e+01,3.600000000000000000e+03,2.266107897304121543e-01,4.067675587490035549e-01,3.666216515205843463e-01
1.561999999999999922e+01,3.600000000000000000e+03,2.266107900461513391e-01,4.067675582025248593e-01,3.666216517513237738e-01
1.603999999999999915e+01,3.600000000000000000e+03,2.266107903595546980e-01,4.067675576600890963e-01,3.666216519803561780e-01
1.646000000000000085e+01,3.600000000000000000e+03,2.266107906706394393e-01,4.067675571216663455e-01,3.666216522076941597e-01
1.687999999999999901e+01,3.600000000000000000e+03,2.266107909794227993e-01,4.067675565872269638e-01,3.666216524333503202e-01
1.729999999999999716e+01,3.600000000000000000e+03,2.266107912859216533e-01,4.067675560567413084e-01,3.666216526573369827e-01
1.771999999999999886e+01,3.600000000000000000e+03,2.266107915901530157e-01,4.067675555301802914e-01,3.666216528796665819e-01
1.814000000000000057e+01,3.600000000000000000e+03,2.266107918921336783e-01,4.067675550075148805e-01,3.666216531003513857e-01
1.855999999999999872e+01,3.600000000000000000e+03,2.266107921918802670e-01,4.067675544887162098e-01,3.666216533194035510e-01
1.897999999999999687e+01,3.600000000000000000e+03,2.266107924894092129e-01,4.067675539737556911e-01,3.666216535368351792e-01
1.939999999999999858e+01,3.600000000000000000e+03,2.266107927847370862e-01,4.067675534626047917e-01,3.666216537526580943e-01
1.982000000000000028e+01,3.600000000000000000e+03,2.266107930778800961e-01,4.067675529552355340e-01,3.666216539668844532e-01
2.023999999999999844e+01,3.600000000000000000e+03,2.266107933688543130e-01,4.067675524516197738e-01,3.666216541795258022e-01
2.065999999999999659e+01,3.600000000000000000e+03,2.266107936576759463e-01,4.067675519517299221e-01,3.666216543905941316e-01
2.107999999999999829e+01,3.600000000000000000e+03,2.266107939443608166e-01,4.067675514555382232e-01,3.666216546001008769e-01
1.309999999999999964e+01,3.780000000000000000e+03,2.266108099966001044e-01,4.067675236724647148e-01,3.666216663309352364e-01
1.351999999999999957e+01,3.780000000000000000e+03,2.266108101624077498e-01,4.067675233854863293e-01,3.666216664521059765e-01
1.393999999999999950e+01,3.780000000000000000e+03,2.266108103269886820e-01,4.067675231006310788e-01,3.666216665723803225e-01
1.435999999999999943e+01,3.780000000000000000e+03,2.266108104903520604e-01,4.067675228178830871e-01,3.666216666917647138e-01
1.477999999999999936e+01,3.780000000000000000e+03,2.266108106525069055e-01,4.067675225372270331e-01,3.666216668102660337e-01
1.519999999999999929e+01,3.780000000000000000e+03,2.266108108134620713e-01,4.067675222586472628e-01,3.666216669278906659e-01
1.561999999999999922e+01,3.780000000000000000e+03,2.266108109732264675e-01,4.067675219821284549e-01,3.666216670446450498e-01
1.603999999999999915e+01,3.780000000000000000e+03,2.266108111318088925e-01,4.067675217076553995e-01,3.666216671605356803e-01
1.646000000000000085e+01,3.780000000000000000e+03,2.266108112892181448e-01,4.067675214352128865e-01,3.666216672755689965e-01
1.687999999999999901e+01,3.780000000000000000e+03,2.266108114454628286e-01,4.067675211647859279e-01,3.666216673897511602e-01
1.729999999999999716e+01,3.780000000000000000e+03,2.266108116005516038e-01,4.067675208963596467e-01,3.666216675030887218e-01
1.771999999999999886e+01,3.780000000000000000e+03,2.266108117544930467e-01,4.067675206299192214e-01,3.666216676155877319e-01
1.814000000000000057e+01,3.780000000000000000e+03,2.266108119072955951e-01,4.067675203654499416e-01,3.666216677272544633e-01
1.855999999999999872e+01,3.780000000000000000e+03,2.266108120589677144e-01,4.067675201029372078e-01,3.666216678380950778e-01
1.897999999999999687e+01,3.780000000000000000e+03,2.266108122095176480e-01,4.067675198423665872e-01,3.666216679481156815e-01
1.939999999999999858e+01,3.780000000000000000e+03,2.266108123589538892e-01,4.067675195837237578e-01,3.666216680573223252e-01
1.982000000000000028e+01,3.780000000000000000e+03,2.266108125072845703e-01,4.067675193269943423e-01,3.666216681657210597e-01
2.023999999999999844e+01,3.780000000000000000e+03,2.266108126545178514e-01,4.067675190721642409e-01,3.666216682733178800e-01
2.065999999999999659e+01,3.780000000000000000e+03,2.266108128006618927e-01,4.067675188192193536e-01,3.666216683801186149e-01
2.107999999999999829e+01,3.780000000000000000e+03,2.266108129457247711e-01,4.067675185681458583e-01,3.666216684861292596e-01
1.309999999999999964e+01,3.960000000000000000e+03,2.266108210681744839e-01,4.067675045098825271e-01,3.666216744219430446e-01
1.351999999999999957e+01,3.960000000000000000e+03,2.266108211520732885e-01,4.067675043646712396e-01,3.666216744832556107e-01
1.393999999999999950e+01,3.960000000000000000e+03,2.266108212353513951e-01,4.067675042205340930e-01,3.666216745441144287e-01
1.435999999999999943e+01,3.960000000000000000e+03,2.266108213180134667e-01,4.067675040774634265e-01,3.666216746045231623e-01
1.477999999999999936e+01,3.960000000000000000e+03,2.266108214000639443e-01,4.067675039354511912e-01,3.666216746644849200e-01
1.519999999999999929e+01,3.960000000000000000e+03,2.266108214815074073e-01,4.067675037944895600e-01,3.666216747240030327e-01
1.561999999999999922e+01,3.960000000000000000e+03,2.266108215623482969e-01,4.067675036545707057e-01,3.666216747830808309e-01
1.603999999999999915e+01,3.960000000000000000e+03,2.266108216425911925e-01,4.067675035156871344e-01,3.666216748417216453e-01
1.646000000000000085e+01,3.960000000000000000e+03,2.266108217222404242e-01,4.067675033778309635e-01,3.666216748999285846e-01
1.687999999999999901e+01,3.960000000000000000e+03,2.266108218013003772e-01,4.067675032409946434e-01,3.666216749577049239e-01
1.729999999999999716e+01,3.960000000000000000e+03,2.266108218797754925e-01,4.067675031051707357e-01,3.666216750150538273e-01
1.771999999999999886e+01,3.960000000000000000e+03,2.266108219576699889e-01,4.067675029703515799e-01,3.666216750719784034e-01
1.814000000000000057e+01,3.960000000000000000e+03,2.266108220349882241e-01,4.067675028365299039e-01,3.666216751284818720e-01
1.855999999999999872e+01,3.960000000000000000e+03,2.266108221117344446e-01,4.067675027036982693e-01,3.666216751845673416e-01
1.897999999999999687e+01,3.960000000000000000e+03,2.266108221879128692e-01,4.067675025718492376e-01,3.666216752402378654e-01
1.939999999999999858e+01,3.960000000000000000e+03,2.266108222635277447e-01,4.067675024409757034e-01,3.666216752954965519e-01
1.982000000000000028e+01,3.960000000000000000e+03,2.266108223385831788e-01,4.067675023110703392e-01,3.666216753503463432e-01
2.023999999999999844e+01,3.960000000000000000e+03,2.266108224130834181e-01,4.067675021821262060e-01,3.666216754047905146e-01
2.065999999999999659e+01,3.960000000000000000e+03,2.266108224870324039e-01,4.067675020541357545e-01,3.666216754588317306e-01
2.107999999999999829e+01,3.960000000000000000e+03,2.266108225604343829e-01,4.067675019270924341e-01,3.666216755124732662e-01
1.309999999999999964e+01,4.140000000000000000e+03,2.266108266704013052e-01,4.067674948135984736e-01,3.666216785160002489e-01
1.351999999999999957e+01,4.140000000000000000e+03,2.266108267128541798e-01,4.067674947401214158e-01,3.666216785470244877e-01
1.393999999999999950e+01,4.140000000000000000e+03,2.266108267549930000e-01,4.067674946671879233e-01,3.666216785778191323e-01
1.435999999999999943e+01,4.140000000000000000e+03,2.266108267968199863e-01,4.067674945947939991e-01,3.666216786083859591e-01
1.477999999999999936e+01,4.140000000000000000e+03,2.266108268383376367e-01,4.067674945229357020e-01,3.666216786387266890e-01
1.519999999999999929e+01,4.140000000000000000e+03,2.266108268795481162e-01,4.067674944516089797e-01,3.666216786688428764e-01
1.561999999999999922e+01,4.140000000000000000e+03,2.266108269204537284e-01,4.067674943808100019e-01,3.666216786987363530e-01
1.603999999999999915e+01,4.140000000000000000e+03,2.266108269610566661e-01,4.067674943105346608e-01,3.666216787284085621e-01
1.646000000000000085e+01,4.140000000000000000e+03,2.266108270013592607e-01,4.067674942407794036e-01,3.666216787578613356e-01
1.687999999999999901e+01,4.140000000000000000e+03,2.266108270413636772e-01,4.067674941715401227e-01,3.666216787870962834e-01
1.729999999999999716e+01,4.140000000000000000e+03,2.266108270810721359e-01,4.067674941028130431e-01,3.666216788161147933e-01
1.771999999999999886e+01,4.140000000000000000e+03,2.266108271204868019e-01,4.067674940345945012e-01,3.666216788449187525e-01
1.814000000000000057e+01,4.140000000000000000e+03,2.266108271596099233e-01,4.067674939668805556e-01,3.666216788735094934e-01
1.855999999999999872e+01,4.140000000000000000e+03,2.266108271984435818e-01,4.067674938996676537e-01,3.666216789018888478e-01
1.897999999999999687e+01,4.140000000000000000e+03,2.266108272369899146e-01,4.067674938329519652e-01,3.666216789300581480e-01
1.939999999999999858e+01,4.140000000000000000e+03,2.266108272752511421e-01,4.067674937667298263e-01,3.666216789580190594e-01
1.982000000000000028e+01,4.140000000000000000e+03,2.266108273132292628e-01,4.067674937009976843e-01,3.666216789857731917e-01
2.023999999999999844e+01,4.140000000000000000e+03,2.266108273509263860e-01,4.067674936357517090e-01,3.666216790133218772e-01
2.065999999999999659e+01,4.140000000000000000e+03,2.266108273883446489e-01,4.067674935709884587e-01,3.666216790406668369e-01
2.107999999999999829e+01,4.140000000000000000e+03,2.266108274254861055e-01,4.067674935067044362e-01,3.666216790678094584e-01
1.309999999999999964e+01,4.320000000000000000e+03,2.266108295051328103e-01,4.067674899072704631e-01,3.666216805875965878e-01
1.351999999999999957e+01,4.320000000000000000e+03,2.266108295266140438e-01,4.067674898700909814e-01,3.666216806032948639e-01
1.393999999999999950e+01,4.320000000000000000e+03,2.266108295479363210e-01,4.067674898331866684e-01,3.666216806188771216e-01
1.435999999999999943e+01,4.320000000000000000e+03,2.266108295691008634e-01,4.067674897965553038e-01,3.666216806343439161e-01
1.477999999999999936e+01,4.320000000000000000e+03,2.266108295901088088e-01,4.067674897601948891e-01,3.666216806496963021e-01
1.519999999999999929e+01,4.320000000000000000e+03,2.266108296109613507e-01,4.067674897241035370e-01,3.666216806649352233e-01
1.561999999999999922e+01,4.320000000000000000e+03,2.266108296316595994e-01,4.067674896882791935e-01,3.666216806800612904e-01
1.603999999999999915e+01,4.320000000000000000e+03,2.266108296522047205e-01,4.067674896527198047e-01,3.666216806950754470e-01
1.646000000000000085e+01,4.320000000000000000e+03,2.266108296725978799e-01,4.067674896174235388e-01,3.666216807099785813e-01
1.687999999999999901e+01,4.320000000000000000e+03,2.266108296928401045e-01,4.067674895823884529e-01,3.666216807247714149e-01
1.729999999999999716e+01,4.320000000000000000e+03,2.266108297129326432e-01,4.067674895476124930e-01,3.666216807394548360e-01
1.771999999999999886e+01,4.320000000000000000e+03,2.266108297328765508e-01,4.067674895130938828e-01,3.666216807540296774e-01
1.814000000000000057e+01,4.320000000000000000e+03,2.266108297526728266e-01,4.067674894788305684e-01,3.666216807684966605e-01
1.855999999999999872e+01,4.320000000000000000e+03,2.266108297723226916e-01,4.067674894448207179e-01,3.666216807828565627e-01
1.897999999999999687e+01,4.320000000000000000e+03,2.266108297918272008e-01,4.067674894110625550e-01,3.666216807971102720e-01
1.939999999999999858e+01,4.320000000000000000e+03,2.266108298111873809e-01,4.067674893775540812e-01,3.666216808112585102e-01
1.982000000000000028e+01,4.320000000000000000e+03,2.266108298304043422e-01,4.067674893442935757e-01,3.666216808253021653e-01
2.023999999999999844e+01,4.320000000000000000e+03,2.266108298494791118e-01,4.067674893112790402e-01,3.666216808392417925e-01
2.065999999999999659e+01,4.320000000000000000e+03,2.266108298684127997e-01,4.067674892785088092e-01,3.666216808530783355e-01
2.107999999999999829e+01,4.320000000000000000e+03,2.266108298872063775e-01,4.067674892459809954e-01,3.666216808668125160e-01
1.309999999999999964e+01,4.500000000000000000e+03,2.266108309395093723e-01,4.067674874246645644e-01,3.666216816358261466e-01
1.351999999999999957e+01,4.500000000000000000e+03,2.266108309503788720e-01,4.067674874058516687e-01,3.666216816437694037e-01
1.393999999999999950e+01,4.500000000000000000e+03,2.266108309611679361e-01,4.067674873871780505e-01,3.666216816516539856e-01
1.435999999999999943e+01,4.500000000000000000e+03,2.266108309718772029e-01,4.067674873686425441e-01,3.666216816594802252e-01
1.477999999999999936e+01,4.500000000000000000e+03,2.266108309825072276e-01,4.067674873502441502e-01,3.666216816672485668e-01
1.519999999999999929e+01,4.500000000000000000e+03,2.266108309930586762e-01,4.067674873319819251e-01,3.666216816749594543e-01
1.561999999999999922e+01,4.500000000000000000e+03,2.266108310035319928e-01,4.067674873138547587e-01,3.666216816826132763e-01
1.603999999999999915e+01,4.500000000000000000e+03,2.266108310139278714e-01,4.067674872958616517e-01,3.666216816902104769e-01
1.646000000000000085e+01,4.500000000000000000e+03,2.266108310242467561e-01,4.067674872780017714e-01,3.666216816977514448e-01
1.687999999999999901e+01,4.500000000000000000e+03,2.266108310344893684e-01,4.067674872602739522e-01,3.666216817052366794e-01
1.729999999999999716e+01,4.500000000000000000e+03,2.266108310446562080e-01,4.067674872426772503e-01,3.666216817126664584e-01
1.771999999999999886e+01,4.500000000000000000e+03,2.266108310547478022e-01,4.067674872252108331e-01,3.666216817200413369e-01
1.814000000000000057e+01,4.500000000000000000e+03,2.266108310647647894e-01,4.067674872078736459e-01,3.666216817273617035e-01
1.855999999999999872e+01,4.500000000000000000e+03,2.266108310747076138e-01,4.067674871906645784e-01,3.666216817346277801e-01
1.897999999999999687e+01,4.500000000000000000e+03,2.266108310845769414e-01,4.067674871735829090e-01,3.666216817418401774e-01
1.939999999999999858e+01,4.500000000000000000e+03,2.266108310943731885e-01,4.067674871566275829e-01,3.666216817489992286e-01
1.982000000000000028e+01,4.500000000000000000e+03,2.266108311040969936e-01,4.067674871397977121e-01,3.666216817561052110e-01
2.023999999999999844e+01,4.500000000000000000e+03,2.266108311137488285e-01,4.067674871230923528e-01,3.666216817631587355e-01
2.065999999999999659e+01,4.500000000000000000e+03,2.266108311233293315e-01,4.067674871065106723e-01,3.666216817701601349e-01
2.107999999999999829e+01,4.500000000000000000e+03,2.266108311328388913e-01,4.067674870900515049e-01,3.666216817771095760e-01
1.309999999999999964e+01,4.680000000000000000e+03,2.266108316653050458e-01,4.067674861684639209e-01,3.666216821662310887e-01
1.351999999999999957e+01,4.680000000000000000e+03,2.266108316708049797e-01,4.067674861589445912e-01,3.666216821702503736e-01
1.393999999999999950e+01,4.680000000000000000e+03,2.266108316762642794e-01,4.067674861494957050e-01,3.666216821742399601e-01
1.435999999999999943e+01,4.680000000000000000e+03,2.266108316816832224e-01,4.067674861401168185e-01,3.666216821782001256e-01
1.477999999999999936e+01,4.680000000000000000e+03,2.266108316870620032e-01,4.067674861308071543e-01,3.666216821821308702e-01
1.519999999999999929e+01,4.680000000000000000e+03,2.266108316924010102e-01,4.067674861215664905e-01,3.666216821860325825e-01
1.561999999999999922e+01,4.680000000000000000e+03,2.266108316977005210e-01,4.067674861123941055e-01,3.666216821899053735e-01
1.603999999999999915e+01,4.680000000000000000e+03,2.266108317029608410e-01,4.067674861032895550e-01,3.666216821937495762e-01
1.646000000000000085e+01,4.680000000000000000e+03,2.266108317081822476e-01,4.067674860942524506e-01,3.666216821975653573e-01
1.687999999999999901e+01,4.680000000000000000e+03,2.266108317133649352e-01,4.067674860852821261e-01,3.666216822013528276e-01
1.729999999999999716e+01,4.680000000000000000e+03,2.266108317185094034e-01,4.067674860763782485e-01,3.666216822051123758e-01
1.771999999999999886e+01,4.680000000000000000e+03,2.266108317236157632e-01,4.067674860675402071e-01,3.666216822088440574e-01
